step,m_k0,m_k1,m_k2
0,-0.017934,-0.024713,-0.005498
1,-0.017101,-0.023565,-0.005243
2,-0.016309,-0.022473,-0.005000
3,-0.015555,-0.021435,-0.004769
4,-0.014838,-0.020447,-0.004549
5,-0.014156,-0.019507,-0.004340
6,-0.013508,-0.018613,-0.004141
7,-0.012890,-0.017762,-0.003952
8,-0.012303,-0.016954,-0.003772
9,-0.011745,-0.016184,-0.003601
10,-0.018772,-0.025812,-0.005832
11,-0.017937,-0.024665,-0.005573
12,-0.017144,-0.023574,-0.005326
13,-0.016389,-0.022536,-0.005092
14,-0.015671,-0.021549,-0.004868
15,-0.014988,-0.020609,-0.004656
16,-0.014338,-0.019716,-0.004454
17,-0.013720,-0.018866,-0.004262
18,-0.013132,-0.018058,-0.004079
19,-0.012573,-0.017289,-0.003905
20,-0.019530,-0.026888,-0.006023
21,-0.018696,-0.025740,-0.005766
22,-0.017903,-0.024649,-0.005521
23,-0.017149,-0.023610,-0.005289
24,-0.016431,-0.022622,-0.005068
25,-0.015749,-0.021683,-0.004857
26,-0.015100,-0.020789,-0.004657
27,-0.014482,-0.019939,-0.004466
28,-0.013895,-0.019130,-0.004285
29,-0.013336,-0.018361,-0.004113
30,-0.020253,-0.027906,-0.006224
31,-0.019420,-0.026758,-0.005968
32,-0.018628,-0.025666,-0.005725
33,-0.017874,-0.024627,-0.005493
34,-0.017157,-0.023639,-0.005273
35,-0.016475,-0.022699,-0.005064
36,-0.015826,-0.021805,-0.004864
37,-0.015208,-0.020954,-0.004675
38,-0.014621,-0.020145,-0.004494
39,-0.014063,-0.019376,-0.004323
40,-0.020947,-0.028865,-0.006440
41,-0.020114,-0.027717,-0.006184
42,-0.019322,-0.026625,-0.005941
43,-0.018568,-0.025586,-0.005709
44,-0.017851,-0.024598,-0.005489
45,-0.017169,-0.023658,-0.005279
46,-0.016520,-0.022764,-0.005080
47,-0.015903,-0.021913,-0.004890
48,-0.015316,-0.021104,-0.004710
49,-0.014757,-0.020334,-0.004538
50,-0.021613,-0.029771,-0.006655
51,-0.020780,-0.028624,-0.006399
52,-0.019987,-0.027532,-0.006155
53,-0.019233,-0.026493,-0.005923
54,-0.018516,-0.025505,-0.005702
55,-0.017834,-0.024565,-0.005492
56,-0.017185,-0.023671,-0.005292
57,-0.016567,-0.022821,-0.005102
58,-0.015980,-0.022012,-0.004921
59,-0.015422,-0.021242,-0.004749
60,-0.022236,-0.030641,-0.006836
61,-0.021403,-0.029493,-0.006580
62,-0.020611,-0.028401,-0.006337
63,-0.019857,-0.027362,-0.006105
64,-0.019140,-0.026374,-0.005885
65,-0.018458,-0.025434,-0.005675
66,-0.017809,-0.024540,-0.005476
67,-0.017192,-0.023689,-0.005286
68,-0.016605,-0.022880,-0.005106
69,-0.016046,-0.022110,-0.004934
70,-0.022830,-0.031463,-0.007020
71,-0.021997,-0.030315,-0.006764
72,-0.021205,-0.029223,-0.006520
73,-0.020451,-0.028184,-0.006289
74,-0.019734,-0.027196,-0.006068
75,-0.019052,-0.026256,-0.005859
76,-0.018403,-0.025362,-0.005659
77,-0.017786,-0.024511,-0.005470
78,-0.017199,-0.023702,-0.005289
79,-0.016641,-0.022932,-0.005118
80,-0.023401,-0.032241,-0.007208
81,-0.022568,-0.031093,-0.006951
82,-0.021775,-0.030001,-0.006707
83,-0.021021,-0.028962,-0.006475
84,-0.020304,-0.027974,-0.006254
85,-0.019622,-0.027034,-0.006044
86,-0.018973,-0.026140,-0.005844
87,-0.018356,-0.025290,-0.005654
88,-0.017769,-0.024481,-0.005473
89,-0.017210,-0.023711,-0.005301
90,-0.023933,-0.032987,-0.007363
91,-0.023100,-0.031839,-0.007107
92,-0.022308,-0.030747,-0.006863
93,-0.021555,-0.029708,-0.006631
94,-0.020838,-0.028720,-0.006411
95,-0.020156,-0.027780,-0.006201
96,-0.019507,-0.026885,-0.006002
97,-0.018890,-0.026035,-0.005812
98,-0.018303,-0.025226,-0.005631
99,-0.017745,-0.024456,-0.005460
100,-0.024458,-0.033681,-0.007562
101,-0.023624,-0.032534,-0.007304
102,-0.022831,-0.031442,-0.007058
103,-0.022077,-0.030403,-0.006825
104,-0.021360,-0.029416,-0.006603
105,-0.020677,-0.028476,-0.006391
106,-0.020028,-0.027582,-0.006190
107,-0.019411,-0.026732,-0.005999
108,-0.018823,-0.025923,-0.005817
109,-0.018265,-0.025154,-0.005644
110,-0.024933,-0.034362,-0.007672
111,-0.024100,-0.033214,-0.007415
112,-0.023308,-0.032122,-0.007172
113,-0.022554,-0.031083,-0.006940
114,-0.021837,-0.030095,-0.006719
115,-0.021155,-0.029154,-0.006510
116,-0.020506,-0.028260,-0.006310
117,-0.019889,-0.027410,-0.006120
118,-0.019302,-0.026600,-0.005940
119,-0.018744,-0.025831,-0.005768
120,-0.025394,-0.034999,-0.007815
121,-0.024561,-0.033851,-0.007558
122,-0.023769,-0.032758,-0.007315
123,-0.023015,-0.031719,-0.007083
124,-0.022298,-0.030731,-0.006862
125,-0.021616,-0.029791,-0.006652
126,-0.020967,-0.028897,-0.006453
127,-0.020350,-0.028046,-0.006263
128,-0.019763,-0.027237,-0.006082
129,-0.019205,-0.026467,-0.005911
130,-0.025837,-0.035600,-0.007963
131,-0.025003,-0.034452,-0.007707
132,-0.024211,-0.033360,-0.007462
133,-0.023457,-0.032321,-0.007230
134,-0.022740,-0.031333,-0.007009
135,-0.022058,-0.030393,-0.006798
136,-0.021409,-0.029498,-0.006598
137,-0.020792,-0.028648,-0.006408
138,-0.020204,-0.027839,-0.006227
139,-0.019646,-0.027069,-0.006055
140,-0.026247,-0.036178,-0.008081
141,-0.025414,-0.035030,-0.007824
142,-0.024622,-0.033938,-0.007581
143,-0.023868,-0.032899,-0.007349
144,-0.023151,-0.031910,-0.007128
145,-0.022470,-0.030970,-0.006918
146,-0.021821,-0.030076,-0.006718
147,-0.021204,-0.029225,-0.006528
148,-0.020617,-0.028416,-0.006348
149,-0.020059,-0.027646,-0.006176
150,-0.026963,-0.036541,-0.009476
151,-0.026115,-0.035402,-0.009161
152,-0.025309,-0.034317,-0.008861
153,-0.024542,-0.033286,-0.008575
154,-0.023812,-0.032305,-0.008303
155,-0.023118,-0.031372,-0.008045
156,-0.022458,-0.030484,-0.007799
157,-0.021830,-0.029640,-0.007566
158,-0.021232,-0.028836,-0.007343
159,-0.020664,-0.028072,-0.007132
160,-0.027023,-0.037267,-0.008440
161,-0.026191,-0.036117,-0.008180
162,-0.025399,-0.035023,-0.007934
163,-0.024646,-0.033983,-0.007699
164,-0.023929,-0.032993,-0.007476
165,-0.023248,-0.032052,-0.007263
166,-0.022599,-0.031156,-0.007061
167,-0.021983,-0.030305,-0.006869
168,-0.021396,-0.029494,-0.006687
169,-0.020838,-0.028724,-0.006513
170,-0.027344,-0.037718,-0.008525
171,-0.026513,-0.036570,-0.008267
172,-0.025723,-0.035478,-0.008022
173,-0.024971,-0.034440,-0.007788
174,-0.024256,-0.033452,-0.007566
175,-0.023576,-0.032512,-0.007354
176,-0.022929,-0.031618,-0.007153
177,-0.022313,-0.030768,-0.006962
178,-0.021728,-0.029959,-0.006780
179,-0.021171,-0.029189,-0.006607
180,-0.027714,-0.038161,-0.008698
181,-0.026881,-0.037014,-0.008436
182,-0.026090,-0.035924,-0.008188
183,-0.025336,-0.034886,-0.007951
184,-0.024620,-0.033899,-0.007726
185,-0.023938,-0.032960,-0.007512
186,-0.023290,-0.032067,-0.007308
187,-0.022674,-0.031218,-0.007115
188,-0.022087,-0.030410,-0.006930
189,-0.021529,-0.029641,-0.006755
190,-0.028028,-0.038626,-0.008721
191,-0.027196,-0.037479,-0.008463
192,-0.026405,-0.036387,-0.008218
193,-0.025652,-0.035349,-0.007985
194,-0.024936,-0.034361,-0.007763
195,-0.024254,-0.033421,-0.007552
196,-0.023606,-0.032527,-0.007351
197,-0.022990,-0.031677,-0.007160
198,-0.022404,-0.030868,-0.006978
199,-0.021846,-0.030099,-0.006805
200,-0.028351,-0.039040,-0.008852
201,-0.027518,-0.037893,-0.008592
202,-0.026726,-0.036801,-0.008345
203,-0.025972,-0.035763,-0.008110
204,-0.025255,-0.034776,-0.007887
205,-0.024573,-0.033836,-0.007674
206,-0.023925,-0.032943,-0.007472
207,-0.023308,-0.032093,-0.007280
208,-0.022721,-0.031284,-0.007097
209,-0.022162,-0.030515,-0.006923
210,-0.028657,-0.039437,-0.008968
211,-0.027824,-0.038290,-0.008708
212,-0.027031,-0.037199,-0.008459
213,-0.026276,-0.036161,-0.008223
214,-0.025559,-0.035173,-0.007999
215,-0.024876,-0.034234,-0.007785
216,-0.024227,-0.033341,-0.007582
217,-0.023609,-0.032491,-0.007389
218,-0.023022,-0.031682,-0.007205
219,-0.022463,-0.030913,-0.007030
220,-0.028915,-0.039839,-0.008968
221,-0.028082,-0.038691,-0.008711
222,-0.027290,-0.037599,-0.008467
223,-0.026537,-0.036560,-0.008234
224,-0.025820,-0.035572,-0.008013
225,-0.025138,-0.034632,-0.007803
226,-0.024489,-0.033738,-0.007603
