condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.050781,0.026100,24.2,1
closed_loop,0,1,0.014431,0.006835,10.5,1
closed_loop,0,2,0.031793,0.028709,3.2,1
closed_loop,0,3,0.064562,0.021202,4.4,1
closed_loop,0,4,0.015734,0.013177,11.3,1
closed_loop,0,5,0.015299,0.007443,9.5,1
closed_loop,0,6,0.001411,0.001969,12.4,1
closed_loop,0,7,0.015082,0.002965,12.3,1
closed_loop,1,0,0.049696,0.025868,6.8,1
closed_loop,1,1,0.021810,0.011354,8.7,1
closed_loop,1,2,0.057834,0.043784,3.2,1
closed_loop,1,3,0.040473,0.025714,3.8,1
closed_loop,1,4,0.012804,0.011990,8.0,1
closed_loop,1,5,0.018012,0.006967,6.1,1
closed_loop,1,6,0.001411,0.001773,12.1,1
closed_loop,1,7,0.013021,0.002932,11.5,1
closed_loop,2,0,0.073242,0.036887,11.2,1
closed_loop,2,1,0.017470,0.010870,10.5,1
closed_loop,2,2,0.017470,0.015047,5.2,1
closed_loop,2,3,0.039171,0.025058,3.5,1
closed_loop,2,4,0.028971,0.022408,3.2,1
closed_loop,2,5,0.018989,0.007224,5.1,1
closed_loop,2,6,0.001411,0.001862,28.5,1
closed_loop,2,7,0.010417,0.002964,10.8,1
closed_loop,3,0,0.046766,0.027239,6.2,1
closed_loop,3,1,0.015082,0.008504,27.9,1
closed_loop,3,2,0.017144,0.012978,4.4,1
closed_loop,3,3,0.038303,0.024635,3.4,1
closed_loop,3,4,0.015408,0.009396,7.0,1
closed_loop,3,5,0.012261,0.005457,7.4,1
closed_loop,3,6,0.001519,0.001964,10.0,1
closed_loop,3,7,0.013346,0.003640,12.8,1
closed_loop,4,0,0.063368,0.033606,5.5,1
closed_loop,4,1,0.015734,0.007373,10.0,1
closed_loop,4,2,0.012804,0.006641,8.2,1
closed_loop,4,3,0.031141,0.020788,5.2,1
closed_loop,4,4,0.015734,0.011735,8.9,1
closed_loop,4,5,0.019097,0.008018,6.5,1
closed_loop,4,6,0.001411,0.001942,9.3,1
closed_loop,4,7,0.016276,0.002965,11.5,1
static,0,0,0.061957,0.030038,5.8,1
static,0,1,0.016602,0.008445,11.8,1
