donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,12.45,12.28,0.022407,0.014507,0.013124,0.009478,3.1
s0,0.875,8.61,7.24,0.056803,0.029278,0.022620,0.014518,0.7
s1,1.000,9.13,6.39,0.023329,0.016813,0.012448,0.006968,0.7
s3,0.000,0.84,0.70,0.227051,0.050166,0.115073,0.022916,0.7
s4,1.000,10.85,6.63,0.023397,0.020546,0.013409,0.009077,0.7
