donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,11.44,13.01,0.029121,0.018452,0.017489,0.011899,1.0
own,ctrl,1,1.000,11.56,9.35,0.031874,0.020216,0.018960,0.013779,0.4
own,ctrl,2,1.000,15.90,14.51,0.030857,0.018058,0.018132,0.011956,0.4
s0,ctrl,0,0.000,0.12,0.31,0.467638,0.056845,0.239971,0.026957,0.4
s0,ctrl,1,0.000,0.18,0.48,0.475111,0.037618,0.235841,0.027250,0.3
s0,ctrl,2,0.000,0.08,0.20,0.468248,0.031907,0.233390,0.024989,0.4
s2,ctrl,0,0.875,5.84,2.65,0.043945,0.032770,0.020356,0.013908,0.4
s2,ctrl,1,0.875,6.40,3.47,0.042969,0.036290,0.018293,0.014877,0.4
s2,ctrl,2,1.000,7.83,6.46,0.042792,0.027597,0.020563,0.013385,0.4
s3,ctrl,0,1.000,6.63,3.78,0.034383,0.023264,0.018976,0.012663,0.3
s3,ctrl,1,1.000,11.64,9.55,0.038723,0.027865,0.019176,0.015188,0.4
s3,ctrl,2,0.875,5.97,3.26,0.036201,0.028755,0.019276,0.013288,0.4
s4,ctrl,0,1.000,9.38,6.56,0.028781,0.019759,0.018137,0.012198,0.4
s4,ctrl,1,1.000,9.88,7.43,0.030002,0.019411,0.015545,0.011035,0.3
s4,ctrl,2,1.000,11.71,8.56,0.031698,0.019418,0.017068,0.011354,0.4
own_tonic,tonic,0,1.000,7.17,3.84,0.030816,0.018195,0.018249,0.012873,0.6
own_tonic,tonic,1,1.000,9.62,8.01,0.029351,0.016337,0.016208,0.010749,0.3
own_tonic,tonic,2,1.000,11.65,12.66,0.028551,0.017481,0.018043,0.011781,0.3
s0_tonic,tonic,0,0.000,0.01,0.03,0.358493,0.040989,0.198914,0.017064,0.6
s0_tonic,tonic,1,0.000,0.00,0.00,0.353217,0.042435,0.200941,0.019871,0.3
s0_tonic,tonic,2,0.000,0.09,0.23,0.347968,0.056789,0.199204,0.024008,0.3
s2_tonic,tonic,0,1.000,6.38,3.39,0.039931,0.026205,0.018366,0.012638,0.6
s2_tonic,tonic,1,0.875,8.07,6.43,0.045898,0.032847,0.022805,0.015728,0.3
s2_tonic,tonic,2,1.000,8.80,6.95,0.040460,0.028716,0.019613,0.014512,0.3
s3_tonic,tonic,0,1.000,5.95,3.25,0.036675,0.025737,0.019513,0.013724,0.6
s3_tonic,tonic,1,1.000,9.23,6.69,0.032254,0.022851,0.017382,0.011371,0.3
s3_tonic,tonic,2,1.000,8.03,6.72,0.040243,0.022551,0.020231,0.011560,0.3
s4_tonic,tonic,0,1.000,10.97,9.50,0.027913,0.018955,0.016004,0.011462,0.6
s4_tonic,tonic,1,1.000,8.13,5.88,0.030613,0.018931,0.016877,0.011002,0.3
s4_tonic,tonic,2,1.000,11.91,12.68,0.028022,0.017715,0.016246,0.011116,0.3
