step,m_k0,m_k1,m_k2
0,0.013116,0.010253,-0.019945
1,0.012507,0.009777,-0.019019
2,0.011928,0.009324,-0.018138
3,0.011376,0.008893,-0.017300
4,0.010852,0.008483,-0.016502
5,0.010353,0.008093,-0.015744
6,0.009879,0.007722,-0.015022
7,0.009427,0.007369,-0.014336
8,0.008998,0.007034,-0.013683
9,0.008590,0.006715,-0.013062
10,0.013697,0.010713,-0.020832
11,0.013089,0.010237,-0.019906
12,0.012510,0.009784,-0.019026
13,0.011959,0.009353,-0.018188
14,0.011435,0.008944,-0.017391
15,0.010937,0.008554,-0.016633
16,0.010463,0.008183,-0.015912
17,0.010012,0.007831,-0.015227
18,0.009583,0.007495,-0.014574
19,0.009175,0.007176,-0.013954
20,0.014260,0.011151,-0.021678
21,0.013652,0.010675,-0.020752
22,0.013073,0.010222,-0.019872
23,0.012522,0.009792,-0.019035
24,0.011998,0.009382,-0.018239
25,0.011500,0.008992,-0.017481
26,0.011026,0.008622,-0.016761
27,0.010575,0.008269,-0.016075
28,0.010146,0.007934,-0.015423
29,0.009738,0.007615,-0.014803
30,0.014802,0.011568,-0.022487
31,0.014193,0.011092,-0.021562
32,0.013614,0.010640,-0.020682
33,0.013063,0.010209,-0.019845
34,0.012539,0.009799,-0.019049
35,0.012040,0.009410,-0.018292
36,0.011566,0.009039,-0.017571
37,0.011115,0.008687,-0.016886
38,0.010686,0.008351,-0.016234
39,0.010278,0.008032,-0.015614
40,0.015296,0.011966,-0.023256
41,0.014688,0.011490,-0.022332
42,0.014109,0.011037,-0.021452
43,0.013559,0.010607,-0.020615
44,0.013035,0.010197,-0.019819
45,0.012537,0.009807,-0.019062
46,0.012063,0.009437,-0.018341
47,0.011613,0.009084,-0.017656
48,0.011184,0.008749,-0.017004
49,0.010776,0.008430,-0.016384
50,0.015800,0.012342,-0.023991
51,0.015190,0.011867,-0.023066
52,0.014611,0.011414,-0.022186
53,0.014059,0.010983,-0.021349
54,0.013535,0.010574,-0.020553
55,0.013036,0.010184,-0.019796
56,0.012562,0.009814,-0.019075
57,0.012110,0.009461,-0.018390
58,0.011681,0.009126,-0.017738
59,0.011273,0.008807,-0.017119
60,0.016260,0.012700,-0.024688
61,0.015651,0.012224,-0.023763
62,0.015071,0.011772,-0.022883
63,0.014520,0.011341,-0.022046
64,0.013995,0.010931,-0.021250
65,0.013496,0.010542,-0.020493
66,0.013022,0.010171,-0.019772
67,0.012570,0.009819,-0.019087
68,0.012141,0.009484,-0.018435
69,0.011733,0.009165,-0.017815
70,0.016696,0.013041,-0.025350
71,0.016087,0.012565,-0.024425
72,0.015507,0.012112,-0.023545
73,0.014956,0.011682,-0.022708
74,0.014431,0.011272,-0.021912
75,0.013933,0.010883,-0.021155
76,0.013458,0.010512,-0.020434
77,0.013007,0.010159,-0.019749
78,0.012577,0.009824,-0.019097
79,0.012169,0.009505,-0.018477
80,0.017104,0.013364,-0.025977
81,0.016495,0.012888,-0.025052
82,0.015916,0.012435,-0.024173
83,0.015364,0.012005,-0.023336
84,0.014840,0.011595,-0.022540
85,0.014342,0.011206,-0.021782
86,0.013867,0.010835,-0.021062
87,0.013416,0.010483,-0.020377
88,0.012987,0.010148,-0.019725
89,0.012579,0.009829,-0.019105
90,0.017504,0.013671,-0.026575
91,0.016895,0.013195,-0.025650
92,0.016316,0.012742,-0.024770
93,0.015764,0.012312,-0.023933
94,0.015240,0.011902,-0.023137
95,0.014741,0.011513,-0.022380
96,0.014266,0.011142,-0.021660
97,0.013815,0.010790,-0.020975
98,0.013386,0.010455,-0.020323
99,0.012977,0.010136,-0.019703
100,0.017878,0.013963,-0.027142
101,0.017269,0.013487,-0.026218
102,0.016689,0.013035,-0.025338
103,0.016138,0.012604,-0.024501
104,0.015613,0.012195,-0.023705
105,0.015115,0.011805,-0.022948
106,0.014640,0.011435,-0.022228
107,0.014189,0.011082,-0.021542
108,0.013759,0.010747,-0.020891
109,0.013351,0.010428,-0.020271
110,0.018226,0.014241,-0.027680
111,0.017617,0.013765,-0.026756
112,0.017038,0.013313,-0.025876
113,0.016487,0.012882,-0.025039
114,0.015963,0.012472,-0.024243
115,0.015464,0.012083,-0.023486
116,0.014990,0.011712,-0.022766
117,0.014539,0.011360,-0.022081
118,0.014110,0.011025,-0.021429
119,0.013701,0.010706,-0.020809
120,0.018571,0.014504,-0.028193
121,0.017962,0.014028,-0.027269
122,0.017382,0.013575,-0.026389
123,0.016831,0.013145,-0.025552
124,0.016307,0.012735,-0.024756
125,0.015808,0.012346,-0.023999
126,0.015333,0.011975,-0.023279
127,0.014882,0.011623,-0.022593
128,0.014452,0.011287,-0.021942
129,0.014044,0.010969,-0.021322
130,0.018892,0.014754,-0.028680
131,0.018283,0.014278,-0.027755
132,0.017703,0.013826,-0.026875
133,0.017152,0.013395,-0.026038
134,0.016627,0.012986,-0.025242
135,0.016129,0.012596,-0.024485
136,0.015654,0.012226,-0.023765
137,0.015203,0.011873,-0.023080
138,0.014773,0.011538,-0.022428
139,0.014365,0.011219,-0.021808
140,0.019197,0.014992,-0.029142
141,0.018588,0.014516,-0.028217
142,0.018008,0.014063,-0.027338
143,0.017457,0.013633,-0.026501
144,0.016932,0.013223,-0.025705
145,0.016433,0.012834,-0.024948
146,0.015959,0.012463,-0.024227
147,0.015507,0.012111,-0.023542
148,0.015078,0.011776,-0.022890
149,0.014670,0.011457,-0.022271
150,0.018912,0.015180,-0.029306
151,0.018329,0.014706,-0.028394
152,0.017775,0.014255,-0.027526
153,0.017248,0.013826,-0.026701
154,0.016746,0.013418,-0.025916
155,0.016269,0.013030,-0.025169
156,0.015815,0.012661,-0.024459
157,0.015384,0.012310,-0.023783
158,0.014973,0.011976,-0.023141
159,0.014583,0.011658,-0.022529
160,0.019761,0.015393,-0.029929
