gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.015252,0.015252,0.030726,58.5
1,0.015141,0.015141,0.022764,115.1
2,0.015569,0.015141,0.019506,174.8
3,0.015062,0.015062,0.018790,240.0
4,0.014609,0.014609,0.019379,301.0
5,0.015294,0.014609,0.019171,362.1
6,0.015584,0.014609,0.018814,424.0
7,0.015814,0.014609,0.018858,488.8
8,0.014933,0.014609,0.018482,549.9
9,0.014169,0.014169,0.018732,611.1
10,0.015039,0.014169,0.018376,672.6
11,0.014670,0.014169,0.018830,735.0
12,0.015805,0.014169,0.018889,797.9
13,0.015416,0.014169,0.018314,860.6
14,0.013673,0.013673,0.018869,923.2
15,0.015195,0.013673,0.018375,985.6
16,0.014014,0.013673,0.018775,1048.0
17,0.015301,0.013673,0.018767,1110.5
18,0.015124,0.013673,0.019270,1172.9
19,0.014604,0.013673,0.018544,1235.4
20,0.014846,0.013673,0.018549,1297.8
21,0.015482,0.013673,0.018361,1360.1
22,0.014416,0.013673,0.018400,1422.4
23,0.015610,0.013673,0.019176,1484.7
24,0.014737,0.013673,0.018445,1547.0
25,0.014063,0.013673,0.018312,1609.3
26,0.015147,0.013673,0.018553,1671.5
27,0.014969,0.013673,0.018219,1733.8
28,0.013606,0.013606,0.018406,1796.0
29,0.014702,0.013606,0.018780,1858.2
30,0.013594,0.013594,0.018270,1920.5
31,0.014211,0.013594,0.018985,1982.9
32,0.014413,0.013594,0.018516,2045.3
33,0.014947,0.013594,0.018367,2107.8
34,0.014228,0.013594,0.018390,2170.3
35,0.014345,0.013594,0.018266,2232.9
36,0.014828,0.013594,0.018511,2295.3
37,0.014971,0.013594,0.018315,2357.3
38,0.015157,0.013594,0.018542,2419.4
39,0.014213,0.013594,0.018245,2481.6
40,0.014850,0.013594,0.018454,2544.0
41,0.016000,0.013594,0.018476,2606.3
42,0.013865,0.013594,0.018338,2668.6
43,0.015328,0.013594,0.018672,2731.0
44,0.015221,0.013594,0.018559,2793.4
45,0.014096,0.013594,0.018635,2855.8
46,0.015226,0.013594,0.018785,2918.1
47,0.014600,0.013594,0.018058,2980.4
48,0.014451,0.013594,0.018388,3042.8
49,0.015743,0.013594,0.018811,3105.2
50,0.014988,0.013594,0.018869,3167.4
51,0.014041,0.013594,0.018421,3229.7
52,0.014949,0.013594,0.018586,3291.8
53,0.014611,0.013594,0.018506,3354.0
54,0.013674,0.013594,0.018369,3416.3
55,0.014025,0.013594,0.018437,3478.6
56,0.014259,0.013594,0.018476,3541.0
57,0.014735,0.013594,0.018833,3603.4
58,0.015079,0.013594,0.018619,3665.9
59,0.014880,0.013594,0.018406,3728.4
60,0.014162,0.013594,0.018661,3790.8
61,0.013377,0.013377,0.018833,3853.1
62,0.015710,0.013377,0.018352,3915.6
63,0.015102,0.013377,0.018373,3978.1
64,0.015613,0.013377,0.018625,4040.4
65,0.015686,0.013377,0.018614,4102.5
66,0.014676,0.013377,0.018516,4164.4
67,0.015240,0.013377,0.018513,4226.6
68,0.015355,0.013377,0.018568,4288.9
69,0.015484,0.013377,0.018815,4351.0
70,0.014186,0.013377,0.018444,4413.4
71,0.014324,0.013377,0.018778,4475.6
72,0.014839,0.013377,0.018554,4538.0
73,0.013642,0.013377,0.018215,4600.4
74,0.014014,0.013377,0.018187,4662.8
75,0.014048,0.013377,0.018151,4725.2
76,0.014734,0.013377,0.018461,4787.8
77,0.015232,0.013377,0.018244,4850.4
78,0.015716,0.013377,0.018785,4913.0
79,0.013171,0.013171,0.018283,4975.5
80,0.013043,0.013043,0.018253,5038.0
81,0.014894,0.013043,0.018544,5100.6
82,0.013843,0.013043,0.018498,5163.2
83,0.015697,0.013043,0.018960,5225.9
84,0.015561,0.013043,0.018818,5288.4
85,0.014884,0.013043,0.018877,5351.0
86,0.014829,0.013043,0.018877,5413.4
87,0.014382,0.013043,0.018588,5475.7
88,0.013721,0.013043,0.018658,5538.0
89,0.014686,0.013043,0.018281,5600.3
90,0.014348,0.013043,0.018515,5662.7
91,0.014427,0.013043,0.018716,5725.2
92,0.014885,0.013043,0.018735,5787.7
93,0.014858,0.013043,0.018105,5850.2
94,0.015445,0.013043,0.018419,5912.7
95,0.015860,0.013043,0.018390,5975.2
96,0.015167,0.013043,0.018636,6037.8
97,0.013738,0.013043,0.018163,6100.0
98,0.013887,0.013043,0.018807,6162.3
99,0.016194,0.013043,0.018939,6224.5
100,0.014850,0.013043,0.018627,6286.9
101,0.014726,0.013043,0.018830,6349.2
102,0.015172,0.013043,0.018646,6411.7
103,0.015967,0.013043,0.018932,6474.2
104,0.012668,0.012668,0.018512,6536.8
105,0.014966,0.012668,0.018513,6599.3
106,0.015127,0.012668,0.018697,6662.0
107,0.014505,0.012668,0.018693,6724.6
108,0.014884,0.012668,0.018637,6787.2
109,0.014882,0.012668,0.018484,6849.9
110,0.013377,0.012668,0.018934,6912.6
111,0.015503,0.012668,0.018486,6975.2
112,0.014682,0.012668,0.018268,7037.6
113,0.014197,0.012668,0.018288,7099.7
114,0.014438,0.012668,0.018487,7161.7
115,0.014989,0.012668,0.018622,7223.5
116,0.015778,0.012668,0.018577,7285.7
117,0.015014,0.012668,0.018423,7348.0
118,0.013380,0.012668,0.018256,7410.3
119,0.014192,0.012668,0.018499,7472.8
120,0.015920,0.012668,0.018133,7535.1
121,0.014655,0.012668,0.018195,7597.4
122,0.015461,0.012668,0.018432,7659.7
123,0.014253,0.012668,0.018674,7721.9
124,0.014820,0.012668,0.018989,7784.0
125,0.013934,0.012668,0.018251,7846.2
126,0.015664,0.012668,0.018874,7908.1
127,0.014385,0.012668,0.018376,7970.2
128,0.014558,0.012668,0.018170,8032.1
129,0.014482,0.012668,0.018416,8094.0
130,0.014453,0.012668,0.018976,8156.2
131,0.014374,0.012668,0.018719,8218.5
132,0.014205,0.012668,0.018703,8280.8
133,0.015116,0.012668,0.018400,8343.0
134,0.014156,0.012668,0.018484,8405.4
135,0.013951,0.012668,0.018570,8467.7
136,0.013497,0.012668,0.018268,8529.9
137,0.012742,0.012668,0.018201,8592.2
138,0.014133,0.012668,0.018563,8654.6
139,0.014646,0.012668,0.018327,8716.9
140,0.014809,0.012668,0.018351,8779.1
141,0.014719,0.012668,0.018139,8841.2
142,0.013164,0.012668,0.018469,8903.4
143,0.013971,0.012668,0.018606,8965.8
144,0.014379,0.012668,0.018826,9028.2
145,0.013766,0.012668,0.018258,9090.7
146,0.013828,0.012668,0.018452,9153.2
147,0.014854,0.012668,0.018313,9215.7
148,0.015025,0.012668,0.018695,9278.3
149,0.014481,0.012668,0.018797,9340.9
150,0.014587,0.012668,0.018476,9403.4
151,0.013428,0.012668,0.018305,9465.9
152,0.015669,0.012668,0.018495,9528.4
153,0.015132,0.012668,0.018322,9591.0
154,0.015155,0.012668,0.018581,9653.5
155,0.014975,0.012668,0.018791,9716.0
156,0.015689,0.012668,0.018366,9778.5
157,0.013681,0.012668,0.018359,9841.0
158,0.014914,0.012668,0.018936,9903.4
159,0.015106,0.012668,0.018539,9965.7
160,0.015127,0.012668,0.018837,10028.0
161,0.014814,0.012668,0.018605,10090.3
162,0.015623,0.012668,0.018639,10152.6
163,0.014499,0.012668,0.018247,10214.9
164,0.014666,0.012668,0.018402,10277.4
165,0.014861,0.012668,0.018054,10339.8
166,0.014606,0.012668,0.018337,10402.2
167,0.014308,0.012668,0.018166,10464.7
168,0.014233,0.012668,0.018882,10527.2
169,0.014785,0.012668,0.018433,10589.7
170,0.015093,0.012668,0.018519,10652.1
171,0.015315,0.012668,0.018753,10714.6
172,0.015591,0.012668,0.018637,10777.1
173,0.014923,0.012668,0.018752,10839.6
174,0.014211,0.012668,0.018481,10902.0
175,0.015479,0.012668,0.018408,10964.4
176,0.014265,0.012668,0.018523,11026.9
177,0.015411,0.012668,0.018717,11089.5
178,0.014162,0.012668,0.018494,11152.0
179,0.015190,0.012668,0.018550,11214.4
180,0.015472,0.012668,0.018571,11276.7
181,0.013587,0.012668,0.018683,11339.1
182,0.015472,0.012668,0.018476,11401.3
183,0.015371,0.012668,0.018714,11463.7
184,0.015091,0.012668,0.018143,11526.1
185,0.014980,0.012668,0.018733,11588.5
186,0.014930,0.012668,0.018727,11650.9
187,0.014996,0.012668,0.018426,11713.3
188,0.015542,0.012668,0.018657,11775.8
189,0.014918,0.012668,0.018483,11838.2
190,0.015003,0.012668,0.018887,11900.7
191,0.015074,0.012668,0.019027,11963.3
192,0.015807,0.012668,0.018582,12025.9
193,0.013891,0.012668,0.018564,12088.4
194,0.015147,0.012668,0.018204,12151.0
195,0.014951,0.012668,0.018463,12213.6
196,0.015064,0.012668,0.018690,12276.2
197,0.014146,0.012668,0.018413,12338.8
198,0.014213,0.012668,0.018227,12401.3
199,0.013670,0.012668,0.018860,12463.9
200,0.014350,0.012668,0.018205,12526.4
201,0.014780,0.012668,0.018456,12589.0
202,0.013446,0.012668,0.018365,12651.4
203,0.013831,0.012668,0.018517,12713.7
204,0.015983,0.012668,0.018738,12775.7
205,0.015386,0.012668,0.018638,12838.1
206,0.014559,0.012668,0.018676,12900.5
207,0.013702,0.012668,0.018625,12962.9
208,0.014894,0.012668,0.018666,13025.3
209,0.014563,0.012668,0.018721,13087.8
210,0.015053,0.012668,0.018785,13150.3
211,0.014837,0.012668,0.019197,13212.9
212,0.014065,0.012668,0.018350,13275.3
213,0.014875,0.012668,0.018346,13337.8
214,0.015489,0.012668,0.018786,13400.3
215,0.015813,0.012668,0.018698,13462.9
216,0.013472,0.012668,0.018036,13525.3
217,0.015287,0.012668,0.018646,13587.9
218,0.015875,0.012668,0.018738,13650.4
219,0.015978,0.012668,0.018794,13713.0
220,0.014707,0.012668,0.018474,13775.3
221,0.015336,0.012668,0.018825,13837.5
222,0.015835,0.012668,0.018792,13899.7
223,0.015250,0.012668,0.018494,13962.0
224,0.014849,0.012668,0.018316,14024.5
225,0.014426,0.012668,0.018464,14086.8
226,0.014388,0.012668,0.018507,14149.2
227,0.013983,0.012668,0.018311,14211.6
228,0.014980,0.012668,0.018429,14274.0
229,0.015179,0.012668,0.018318,14336.5
230,0.013853,0.012668,0.018107,14399.0
231,0.015158,0.012668,0.018301,14461.6
232,0.015031,0.012668,0.018150,14523.9
233,0.014850,0.012668,0.019776,14586.3
234,0.015120,0.012668,0.018915,14648.5
235,0.014345,0.012668,0.018248,14710.9
236,0.015793,0.012668,0.018695,14773.4
237,0.015132,0.012668,0.018533,14836.0
238,0.013561,0.012668,0.018309,14898.5
239,0.015061,0.012668,0.018773,14961.1
240,0.014345,0.012668,0.018464,15023.7
241,0.015130,0.012668,0.018516,15086.2
242,0.014002,0.012668,0.018715,15148.9
243,0.013714,0.012668,0.017917,15211.5
244,0.013975,0.012668,0.018446,15274.0
245,0.012567,0.012567,0.018675,15336.7
246,0.015340,0.012567,0.018694,15399.3
247,0.014958,0.012567,0.018814,15461.9
248,0.015882,0.012567,0.018994,15524.6
249,0.016009,0.012567,0.018888,15587.2
250,0.014670,0.012567,0.018638,15649.5
251,0.015079,0.012567,0.018033,15711.7
252,0.014280,0.012567,0.018182,15774.0
253,0.015240,0.012567,0.018734,15836.3
254,0.014607,0.012567,0.018959,15898.7
255,0.015378,0.012567,0.018691,15961.1
256,0.015383,0.012567,0.018852,16023.5
257,0.014935,0.012567,0.018649,16085.9
258,0.015326,0.012567,0.018907,16148.3
259,0.014992,0.012567,0.018386,16210.7
260,0.014044,0.012567,0.018471,16273.2
261,0.014593,0.012567,0.018572,16335.6
262,0.015447,0.012567,0.018708,16398.2
263,0.015189,0.012567,0.018399,16460.7
264,0.015095,0.012567,0.018890,16523.3
265,0.015367,0.012567,0.018209,16585.8
266,0.014766,0.012567,0.018955,16648.5
267,0.015209,0.012567,0.018306,16711.0
268,0.014895,0.012567,0.018896,16773.6
269,0.014523,0.012567,0.018907,16836.2
270,0.015172,0.012567,0.018710,16898.7
271,0.014262,0.012567,0.018188,16961.2
272,0.014857,0.012567,0.018449,17023.8
273,0.014455,0.012567,0.018819,17086.4
274,0.014375,0.012567,0.018162,17148.9
