condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.072049,0.035908,4.5,1
closed_loop,0,1,0.009115,0.006904,9.2,1
closed_loop,0,2,0.028754,0.024484,4.2,1
closed_loop,0,3,0.041558,0.027548,3.2,1
closed_loop,0,4,0.038628,0.030043,1.4,1
closed_loop,0,5,0.014540,0.008867,8.2,1
closed_loop,0,6,0.001302,0.002378,12.5,1
closed_loop,0,7,0.015951,0.003093,9.9,1
closed_loop,1,0,0.063368,0.033274,25.3,1
closed_loop,1,1,0.012153,0.008773,10.3,1
closed_loop,1,2,0.029405,0.025367,4.4,1
closed_loop,1,3,0.042752,0.028188,3.2,1
closed_loop,1,4,0.044705,0.032819,1.3,1
closed_loop,1,5,0.038303,0.022525,3.8,1
closed_loop,1,6,0.001411,0.002342,10.5,1
closed_loop,1,7,0.013672,0.003297,11.2,1
closed_loop,2,0,0.032118,0.022473,10.9,1
closed_loop,2,1,0.014865,0.007573,19.5,1
closed_loop,2,2,0.030273,0.022677,5.5,1
closed_loop,2,3,0.043077,0.026127,3.0,1
closed_loop,2,4,0.040473,0.029390,1.7,1
closed_loop,2,5,0.029080,0.010747,6.5,1
closed_loop,2,6,0.003038,0.003074,11.3,1
closed_loop,2,7,0.014323,0.003138,10.9,1
closed_loop,3,0,0.063585,0.033833,24.8,1
closed_loop,3,1,0.012261,0.005921,12.2,1
closed_loop,3,2,0.067817,0.041673,2.2,1
closed_loop,3,3,0.041558,0.027270,3.2,1
closed_loop,3,4,0.042643,0.032453,0.9,1
closed_loop,3,5,0.043837,0.015768,5.0,1
closed_loop,3,6,0.001519,0.002848,10.5,1
closed_loop,3,7,0.015625,0.003301,10.8,1
closed_loop,4,0,0.053602,0.029161,31.5,1
closed_loop,4,1,0.012912,0.008569,11.6,1
closed_loop,4,2,0.031576,0.026206,3.2,1
closed_loop,4,3,0.046224,0.027859,2.6,1
closed_loop,4,4,0.058811,0.032823,0.9,1
closed_loop,4,5,0.035048,0.011162,6.7,1
closed_loop,4,6,0.001302,0.002649,10.9,1
closed_loop,4,7,0.018446,0.003028,10.5,1
static,0,0,0.068576,0.029546,6.5,1
static,0,1,0.009440,0.008163,11.2,1
static,0,2,0.069227,0.046966,1.5,1
static,0,3,0.041016,0.024417,3.5,1
static,0,4,0.037109,0.027690,1.9,1
static,0,5,0.036784,0.011498,7.2,1
static,0,6,0.001845,0.002601,12.8,1
static,0,7,0.015082,0.003122,10.5,1
static,1,0,0.065104,0.032748,10.8,1
static,1,1,0.013780,0.009216,10.8,1
static,1,2,0.045573,0.015163,8.5,1
static,1,3,0.041233,0.028616,2.2,1
static,1,4,0.044488,0.032077,1.8,1
static,1,5,0.031033,0.011001,6.7,1
static,1,6,0.001411,0.002858,8.4,1
static,1,7,0.018989,0.003110,10.5,1
static,2,0,0.060438,0.028721,43.8,1
static,2,1,0.009983,0.008099,11.1,1
static,2,2,0.029839,0.017462,6.0,1
static,2,3,0.042969,0.026883,2.3,1
static,2,4,0.040799,0.030042,1.2,1
static,2,5,0.037109,0.010979,6.5,1
static,2,6,0.001519,0.002142,29.3,1
static,2,7,0.017687,0.003139,9.9,1
static,3,0,0.065430,0.028356,25.1,1
static,3,1,0.008464,0.004652,13.4,1
static,3,2,0.032769,0.025786,4.0,1
static,3,3,0.048286,0.029004,2.5,1
static,3,4,0.049913,0.034242,0.6,1
static,3,5,0.032227,0.011944,24.3,1
static,3,6,0.002821,0.003294,9.8,1
static,3,7,0.014865,0.003303,10.6,1
static,4,0,0.070964,0.033107,10.5,1
static,4,1,0.010091,0.007008,9.9,1
static,4,2,0.030599,0.024003,4.2,1
static,4,3,0.041775,0.027579,2.9,1
static,4,4,0.055881,0.035617,0.7,1
static,4,5,0.025065,0.010018,7.3,1
static,4,6,0.001411,0.002227,12.0,1
static,4,7,0.015082,0.003383,10.5,1
constant,0,0,0.035482,0.023085,9.0,1
constant,0,1,0.006944,0.005694,12.1,1
constant,0,2,0.034288,0.012082,6.0,1
