donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,5.13,2.57,0.034261,0.019465,0.019561,0.011607,2.9
s0,0.875,4.69,2.36,0.047757,0.029672,0.024364,0.017239,0.7
s1,1.000,5.34,2.13,0.034451,0.021019,0.018541,0.011473,0.7
s2,0.750,2.61,1.40,0.088162,0.019253,0.040720,0.013407,0.7
s3,1.000,5.55,3.56,0.039035,0.024166,0.020658,0.013590,0.7
