step,m_k0,m_k1,m_k2
0,0.018002,0.012330,-0.012816
1,0.017166,0.011757,-0.012221
2,0.016370,0.011212,-0.011655
3,0.015614,0.010694,-0.011116
4,0.014894,0.010201,-0.010604
5,0.014210,0.009732,-0.010116
6,0.013558,0.009286,-0.009653
7,0.012939,0.008862,-0.009212
8,0.012350,0.008458,-0.008792
9,0.011789,0.008075,-0.008393
10,0.018818,0.012888,-0.013386
11,0.017982,0.012315,-0.012791
12,0.017187,0.011771,-0.012225
13,0.016430,0.011252,-0.011687
14,0.015710,0.010759,-0.011175
15,0.015026,0.010291,-0.010688
16,0.014374,0.009844,-0.010225
17,0.013755,0.009420,-0.009784
18,0.013165,0.009017,-0.009365
19,0.012605,0.008633,-0.008966
20,0.019563,0.013448,-0.013938
21,0.018728,0.012874,-0.013343
22,0.017934,0.012328,-0.012778
23,0.017179,0.011808,-0.012239
24,0.016460,0.011314,-0.011727
25,0.015776,0.010844,-0.011240
26,0.015126,0.010397,-0.010777
27,0.014508,0.009972,-0.010336
28,0.013919,0.009567,-0.009917
29,0.013360,0.009182,-0.009518
30,0.020307,0.013944,-0.014455
31,0.019472,0.013370,-0.013860
32,0.018677,0.012825,-0.013295
33,0.017921,0.012306,-0.012757
34,0.017202,0.011812,-0.012245
35,0.016518,0.011342,-0.011758
36,0.015868,0.010895,-0.011295
37,0.015249,0.010470,-0.010855
38,0.014660,0.010066,-0.010435
39,0.014100,0.009681,-0.010037
40,0.021024,0.014403,-0.014949
41,0.020188,0.013831,-0.014354
42,0.019392,0.013286,-0.013789
43,0.018635,0.012768,-0.013251
44,0.017916,0.012275,-0.012739
45,0.017231,0.011806,-0.012253
46,0.016580,0.011359,-0.011790
47,0.015960,0.010935,-0.011349
48,0.015371,0.010531,-0.010930
49,0.014810,0.010148,-0.010532
50,0.021687,0.014858,-0.015421
51,0.020851,0.014285,-0.014827
52,0.020055,0.013740,-0.014261
53,0.019299,0.013222,-0.013723
54,0.018579,0.012729,-0.013211
55,0.017894,0.012260,-0.012725
56,0.017243,0.011814,-0.012262
57,0.016624,0.011389,-0.011821
58,0.016034,0.010986,-0.011402
59,0.015474,0.010602,-0.011004
60,0.022318,0.015289,-0.015867
61,0.021482,0.014717,-0.015273
62,0.020686,0.014172,-0.014707
63,0.019930,0.013653,-0.014170
64,0.019210,0.013160,-0.013658
65,0.018525,0.012691,-0.013171
66,0.017874,0.012245,-0.012708
67,0.017254,0.011821,-0.012268
68,0.016665,0.011417,-0.011849
69,0.016104,0.011033,-0.011450
70,0.022917,0.015699,-0.016294
71,0.022080,0.015126,-0.015699
72,0.021285,0.014582,-0.015134
73,0.020528,0.014063,-0.014596
74,0.019808,0.013570,-0.014084
75,0.019124,0.013101,-0.013597
76,0.018472,0.012655,-0.013134
77,0.017853,0.012231,-0.012694
78,0.017264,0.011827,-0.012275
79,0.016703,0.011443,-0.011877
80,0.023485,0.016088,-0.016699
81,0.022649,0.015516,-0.016104
82,0.021853,0.014971,-0.015539
83,0.021097,0.014453,-0.015001
84,0.020377,0.013960,-0.014489
85,0.019692,0.013491,-0.014002
86,0.019041,0.013045,-0.013539
87,0.018422,0.012620,-0.013099
88,0.017832,0.012217,-0.012680
89,0.017272,0.011833,-0.012281
90,0.024025,0.016458,-0.017084
91,0.023189,0.015885,-0.016489
92,0.022394,0.015341,-0.015924
93,0.021637,0.014822,-0.015386
94,0.020917,0.014329,-0.014874
95,0.020233,0.013860,-0.014387
96,0.019581,0.013414,-0.013924
97,0.018962,0.012990,-0.013484
98,0.018372,0.012586,-0.013065
99,0.017812,0.012202,-0.012666
100,0.024539,0.016810,-0.017449
101,0.023703,0.016237,-0.016854
102,0.022907,0.015692,-0.016288
103,0.022150,0.015174,-0.015750
104,0.021431,0.014681,-0.015239
105,0.020746,0.014212,-0.014752
106,0.020095,0.013766,-0.014289
107,0.019475,0.013342,-0.013848
108,0.018886,0.012938,-0.013429
109,0.018325,0.012554,-0.013031
110,0.025027,0.017144,-0.017795
111,0.024190,0.016571,-0.017200
112,0.023395,0.016026,-0.016635
113,0.022638,0.015508,-0.016097
114,0.021918,0.015015,-0.015585
115,0.021234,0.014546,-0.015098
116,0.020582,0.014100,-0.014635
117,0.019963,0.013675,-0.014195
118,0.019374,0.013272,-0.013776
119,0.018813,0.012888,-0.013377
120,0.025490,0.017461,-0.018124
121,0.024654,0.016888,-0.017529
122,0.023858,0.016343,-0.016964
123,0.023102,0.015825,-0.016426
124,0.022382,0.015332,-0.015914
125,0.021697,0.014863,-0.015427
126,0.021046,0.014417,-0.014964
127,0.020426,0.013993,-0.014524
128,0.019837,0.013589,-0.014105
129,0.019277,0.013205,-0.013706
130,0.025930,0.017762,-0.018438
131,0.025094,0.017189,-0.017843
132,0.024298,0.016644,-0.017278
133,0.023541,0.016126,-0.016740
134,0.022822,0.015633,-0.016228
135,0.022137,0.015164,-0.015741
136,0.021486,0.014718,-0.015278
137,0.020866,0.014294,-0.014838
138,0.020277,0.013890,-0.014419
139,0.019716,0.013506,-0.014020
140,0.026348,0.018048,-0.018735
141,0.025512,0.017475,-0.018141
142,0.024716,0.016931,-0.017575
143,0.023960,0.016412,-0.017037
144,0.023240,0.015919,-0.016525
145,0.022555,0.015450,-0.016038
146,0.021904,0.015004,-0.015575
147,0.021284,0.014580,-0.015135
148,0.020695,0.014177,-0.014716
149,0.020135,0.013793,-0.014317
150,0.026003,0.019150,-0.018841
151,0.025202,0.018538,-0.018254
152,0.024439,0.017957,-0.017696
153,0.023714,0.017404,-0.017166
154,0.023023,0.016878,-0.016661
155,0.022367,0.016377,-0.016181
156,0.021743,0.015901,-0.015724
157,0.021149,0.015448,-0.015290
158,0.020584,0.015018,-0.014877
159,0.020046,0.014608,-0.014484
160,0.027085,0.018606,-0.019278
161,0.026249,0.018034,-0.018683
162,0.025453,0.017490,-0.018117
163,0.024697,0.016972,-0.017579
164,0.023977,0.016479,-0.017068
165,0.023293,0.016011,-0.016581
166,0.022642,0.015565,-0.016118
167,0.022022,0.015141,-0.015677
168,0.021433,0.014738,-0.015258
169,0.020873,0.014354,-0.014860
170,0.027416,0.018823,-0.019710
171,0.026581,0.018252,-0.019107
172,0.025787,0.017709,-0.018534
173,0.025032,0.017192,-0.017988
174,0.024314,0.016701,-0.017469
175,0.023630,0.016233,-0.016976
176,0.022980,0.015788,-0.016506
177,0.022362,0.015365,-0.016060
178,0.021773,0.014963,-0.015635
179,0.021214,0.014580,-0.015231
180,0.027742,0.019037,-0.020046
181,0.026908,0.018467,-0.019439
182,0.026115,0.017924,-0.018862
183,0.025360,0.017408,-0.018313
184,0.024642,0.016917,-0.017790
185,0.023960,0.016450,-0.017294
186,0.023310,0.016006,-0.016821
187,0.022692,0.015584,-0.016372
188,0.022104,0.015182,-0.015944
189,0.021545,0.014799,-0.015537
190,0.027877,0.019458,-0.020281
191,0.027052,0.018879,-0.019675
192,0.026267,0.018327,-0.019098
193,0.025520,0.017802,-0.018549
194,0.024809,0.017303,-0.018027
195,0.024134,0.016829,-0.017531
196,0.023491,0.016377,-0.017058
197,0.022880,0.015948,-0.016609
198,0.022298,0.015539,-0.016182
199,0.021745,0.015150,-0.015775
200,0.028255,0.019612,-0.020449
201,0.027426,0.019035,-0.019845
