donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,8.97,5.86,0.028035,0.017812,0.017402,0.012550,1.0
own,ctrl,1,1.000,8.30,5.55,0.032539,0.016472,0.020605,0.012306,0.4
own,ctrl,2,1.000,7.88,6.32,0.027900,0.019066,0.020958,0.013998,0.4
s0,ctrl,0,1.000,13.12,8.01,0.024916,0.017012,0.015344,0.012604,0.4
s0,ctrl,1,1.000,12.62,9.08,0.024645,0.017392,0.013721,0.012179,0.3
s0,ctrl,2,1.000,18.83,12.13,0.033759,0.016925,0.020516,0.013832,0.4
s1,ctrl,0,1.000,7.34,8.20,0.044284,0.020145,0.024496,0.014945,0.4
s1,ctrl,1,1.000,11.53,8.95,0.046929,0.027205,0.026903,0.022101,0.4
s1,ctrl,2,1.000,4.12,3.18,0.054552,0.027901,0.032653,0.019177,0.4
s2,ctrl,0,1.000,9.98,7.84,0.034926,0.017179,0.021789,0.013298,0.4
s2,ctrl,1,1.000,14.06,9.23,0.030707,0.016981,0.017852,0.012444,0.4
s2,ctrl,2,1.000,10.82,10.51,0.031955,0.017509,0.021082,0.013890,0.4
s4,ctrl,0,1.000,11.68,11.71,0.038330,0.020018,0.023165,0.016716,0.4
s4,ctrl,1,1.000,8.79,10.65,0.053670,0.020086,0.031393,0.016186,0.3
s4,ctrl,2,1.000,5.35,3.15,0.039578,0.029824,0.026610,0.018535,0.4
own_tonic,tonic,0,1.000,12.31,9.80,0.034302,0.016073,0.021360,0.012938,0.6
own_tonic,tonic,1,1.000,14.51,10.51,0.025377,0.018683,0.017563,0.014525,0.3
own_tonic,tonic,2,1.000,11.60,9.80,0.034465,0.013833,0.021493,0.011664,0.3
s0_tonic,tonic,0,1.000,18.12,16.82,0.028442,0.016258,0.017048,0.011588,0.6
s0_tonic,tonic,1,1.000,8.96,8.40,0.031752,0.018029,0.017289,0.012904,0.3
s0_tonic,tonic,2,1.000,11.98,9.89,0.036879,0.014948,0.020646,0.012611,0.3
s1_tonic,tonic,0,1.000,8.26,7.32,0.036621,0.017756,0.025090,0.016435,0.6
s1_tonic,tonic,1,1.000,7.58,8.33,0.038439,0.017204,0.021264,0.012352,0.3
s1_tonic,tonic,2,1.000,12.67,10.04,0.042358,0.022613,0.022939,0.015044,0.3
s2_tonic,tonic,0,1.000,12.22,8.30,0.032945,0.016219,0.018072,0.012295,0.6
s2_tonic,tonic,1,1.000,18.09,13.68,0.028931,0.017487,0.018108,0.011098,0.3
s2_tonic,tonic,2,1.000,9.69,8.72,0.035658,0.015531,0.021860,0.012582,0.3
s4_tonic,tonic,0,1.000,8.38,8.19,0.037693,0.024712,0.021566,0.017411,0.6
s4_tonic,tonic,1,1.000,4.96,4.02,0.039157,0.020436,0.025276,0.015436,0.3
s4_tonic,tonic,2,1.000,5.68,3.66,0.038534,0.018818,0.024123,0.016190,0.3
