donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,13.71,12.38,0.026272,0.013691,0.015137,0.008817,1.0
own,ctrl,1,1.000,8.58,6.22,0.030531,0.014048,0.017290,0.009235,0.4
own,ctrl,2,1.000,7.78,5.98,0.030572,0.016716,0.016918,0.009844,0.4
s1,ctrl,0,1.000,12.65,13.07,0.029215,0.013412,0.017576,0.008375,0.4
s1,ctrl,1,1.000,5.61,2.10,0.030382,0.012250,0.018896,0.008191,0.3
s1,ctrl,2,1.000,8.20,6.57,0.036485,0.011571,0.018874,0.007332,0.4
s2,ctrl,0,1.000,7.79,6.65,0.037435,0.012425,0.021407,0.008825,0.4
s2,ctrl,1,1.000,7.18,5.76,0.043132,0.013989,0.022546,0.009625,0.4
s2,ctrl,2,1.000,7.24,6.24,0.043484,0.012457,0.023345,0.010275,0.4
s3,ctrl,0,1.000,9.10,6.21,0.026489,0.012895,0.015140,0.008649,0.4
s3,ctrl,1,1.000,11.56,12.91,0.030707,0.013890,0.016771,0.009512,0.4
s3,ctrl,2,1.000,12.13,11.74,0.027981,0.013318,0.014560,0.007681,0.4
s4,ctrl,0,1.000,10.34,11.73,0.029365,0.012810,0.017083,0.008616,0.4
s4,ctrl,1,1.000,10.38,11.88,0.027276,0.012117,0.016594,0.008863,0.3
s4,ctrl,2,1.000,12.77,12.92,0.032661,0.013736,0.017816,0.009150,0.4
own_tonic,tonic,0,1.000,8.56,5.89,0.029758,0.012794,0.016902,0.008408,0.6
own_tonic,tonic,1,1.000,14.47,13.39,0.028510,0.012692,0.015440,0.008558,0.3
own_tonic,tonic,2,1.000,11.07,8.82,0.029744,0.013817,0.017025,0.008849,0.3
s1_tonic,tonic,0,1.000,9.90,8.78,0.035143,0.013806,0.019727,0.008285,0.6
s1_tonic,tonic,1,1.000,10.27,12.51,0.031128,0.013702,0.017732,0.008682,0.3
s1_tonic,tonic,2,1.000,12.38,13.46,0.032959,0.013244,0.018580,0.009047,0.3
s2_tonic,tonic,0,1.000,7.46,6.09,0.035794,0.012988,0.020162,0.009659,0.6
s2_tonic,tonic,1,1.000,6.88,5.97,0.037530,0.012529,0.021929,0.009045,0.3
s2_tonic,tonic,2,1.000,7.13,6.32,0.036458,0.012445,0.021840,0.008528,0.3
s3_tonic,tonic,0,1.000,11.81,12.21,0.028768,0.012441,0.016551,0.008419,0.6
s3_tonic,tonic,1,1.000,13.55,9.56,0.031223,0.015520,0.017884,0.009801,0.3
s3_tonic,tonic,2,1.000,13.11,8.97,0.032159,0.013544,0.018174,0.008398,0.3
s4_tonic,tonic,0,1.000,12.09,12.80,0.031969,0.012639,0.018338,0.008335,0.6
s4_tonic,tonic,1,1.000,7.15,5.84,0.030613,0.011858,0.017879,0.007227,0.3
s4_tonic,tonic,2,1.000,9.48,8.40,0.030165,0.013317,0.017539,0.008244,0.3
