condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.048720,0.024875,7.5,1
closed_loop,0,1,0.014865,0.005387,14.2,1
closed_loop,0,2,0.047418,0.038479,5.1,1
closed_loop,0,3,0.032986,0.023323,3.9,1
closed_loop,0,4,0.042535,0.034539,0.6,1
closed_loop,0,5,0.053602,0.028213,4.5,1
closed_loop,0,6,0.002604,0.002620,26.5,1
closed_loop,0,7,0.019640,0.004022,10.8,1
closed_loop,1,0,0.048286,0.022846,6.2,1
closed_loop,1,1,0.046332,0.024384,5.0,1
closed_loop,1,2,0.047309,0.038518,5.2,1
closed_loop,1,3,0.046658,0.034933,1.8,1
closed_loop,1,4,0.046332,0.033245,0.8,1
closed_loop,1,5,0.045030,0.027912,4.4,1
closed_loop,1,6,0.002713,0.002781,26.6,1
closed_loop,1,7,0.012478,0.003399,10.3,1
closed_loop,2,0,0.039822,0.021871,7.5,1
closed_loop,2,1,0.005751,0.004039,13.8,1
closed_loop,2,2,0.049045,0.039327,0.6,1
closed_loop,2,3,0.034397,0.017914,6.3,1
closed_loop,2,4,0.035699,0.029522,5.5,1
closed_loop,2,5,0.025933,0.027204,2.5,1
closed_loop,2,6,0.002496,0.002599,27.9,1
closed_loop,2,7,0.035265,0.004672,28.2,1
closed_loop,3,0,0.048611,0.028732,22.0,1
closed_loop,3,1,0.017361,0.010951,7.3,1
closed_loop,3,2,0.046115,0.039139,1.3,1
closed_loop,3,3,0.047201,0.035691,19.4,1
closed_loop,3,4,0.047960,0.030957,1.5,1
closed_loop,3,5,0.047743,0.028735,3.8,1
closed_loop,3,6,0.002604,0.002600,10.8,1
closed_loop,3,7,0.034071,0.004498,27.4,1
closed_loop,4,0,0.049262,0.025269,24.5,1
closed_loop,4,1,0.005642,0.004023,14.8,1
closed_loop,4,2,0.047852,0.037837,19.8,1
closed_loop,4,3,0.047092,0.034563,2.5,1
closed_loop,4,4,0.036675,0.029512,1.2,1
closed_loop,4,5,0.028537,0.024376,4.5,1
closed_loop,4,6,0.002170,0.002384,27.8,1
closed_loop,4,7,0.013780,0.003754,10.2,1
static,0,0,0.050347,0.024570,27.7,1
static,0,1,0.014865,0.004660,15.2,1
static,0,2,0.046115,0.038467,39.9,1
static,0,3,0.046766,0.033797,21.3,1
static,0,4,0.036892,0.029810,1.0,1
static,0,5,0.047526,0.027125,3.5,1
static,0,6,0.002062,0.002146,27.5,1
static,0,7,0.020508,0.003992,11.7,1
static,1,0,0.049696,0.027188,43.1,1
static,1,1,0.017361,0.010739,26.5,1
static,1,2,0.046549,0.039426,3.6,1
static,1,3,0.047201,0.035157,24.1,1
static,1,4,0.032661,0.022855,2.4,1
static,1,5,0.025391,0.026046,2.5,1
static,1,6,0.001953,0.002293,8.0,1
static,1,7,0.011176,0.003136,11.7,1
static,2,0,0.041450,0.023101,8.1,1
static,2,1,0.004883,0.003518,14.3,1
static,2,2,0.048503,0.039025,0.6,1
static,2,3,0.023112,0.026226,3.0,1
static,2,4,0.046766,0.034108,0.5,1
static,2,5,0.046007,0.028571,4.1,1
static,2,6,0.001845,0.002287,11.5,1
static,2,7,0.032010,0.003778,28.2,1
static,3,0,0.049588,0.025357,43.6,1
static,3,1,0.017470,0.010667,10.1,1
static,3,2,0.047309,0.039877,31.0,1
static,3,3,0.047092,0.025371,22.0,1
static,3,4,0.048286,0.033762,0.7,1
static,3,5,0.037869,0.026635,3.5,1
static,3,6,0.002062,0.002348,26.5,1
static,3,7,0.013021,0.003017,11.0,1
static,4,0,0.047418,0.024154,43.5,1
static,4,1,0.015842,0.009527,7.8,1
static,4,2,0.043186,0.027584,22.2,1
static,4,3,0.047526,0.033587,20.5,1
static,4,4,0.037869,0.029953,1.4,1
static,4,5,0.029405,0.025890,3.5,1
static,4,6,0.002062,0.002530,10.6,1
static,4,7,0.023872,0.003508,28.2,1
constant,0,0,0.043403,0.023143,26.4,1
constant,0,1,0.042752,0.023028,6.5,1
constant,0,2,0.048828,0.038411,1.5,1
constant,0,3,0.016602,0.017454,5.6,1
constant,0,4,0.047960,0.032342,1.0,1
constant,0,5,0.047418,0.028048,3.8,1
constant,0,6,0.000868,0.001316,27.2,1
constant,0,7,0.037001,0.003933,27.8,1
constant,1,0,0.049371,0.027645,41.3,1
constant,1,1,0.003906,0.003143,16.2,1
constant,1,2,0.048611,0.038134,20.1,1
constant,1,3,0.047526,0.035417,30.9,1
constant,1,4,0.047309,0.033217,0.8,1
constant,1,5,0.034939,0.025606,3.5,1
constant,1,6,0.001411,0.001745,11.1,1
constant,1,7,0.019206,0.003094,11.8,1
constant,2,0,0.047960,0.023301,7.5,1
constant,2,1,0.004991,0.003049,14.3,1
constant,2,2,0.047418,0.039190,9.7,1
constant,2,3,0.041992,0.032008,3.6,1
constant,2,4,0.047201,0.032729,20.1,1
constant,2,5,0.023980,0.021983,5.0,1
constant,2,6,0.001085,0.001715,27.2,1
constant,2,7,0.009766,0.002591,12.2,1
constant,3,0,0.046332,0.027021,52.5,1
constant,3,1,0.003798,0.003044,15.6,1
constant,3,2,0.049805,0.038031,0.8,1
constant,3,3,0.047201,0.034473,31.7,1
constant,3,4,0.012370,0.009917,5.4,1
constant,3,5,0.022895,0.021975,4.8,1
constant,3,6,0.001519,0.001694,11.4,1
constant,3,7,0.032335,0.003236,28.9,1
constant,4,0,0.047418,0.025364,24.1,1
constant,4,1,0.012695,0.011451,8.5,1
constant,4,2,0.047418,0.039171,12.3,1
constant,4,3,0.048394,0.030661,20.8,1
constant,4,4,0.028103,0.022720,4.1,1
constant,4,5,0.045573,0.028640,3.2,1
constant,4,6,0.001085,0.001725,12.5,1
constant,4,7,0.032335,0.003586,29.2,1
random,0,0,0.912109,0.731105,0.0,0
random,0,1,0.918620,0.747658,0.0,0
random,0,2,0.847114,0.722643,0.0,0
random,0,3,0.658854,0.712364,0.0,0
random,0,4,0.941081,0.709088,0.0,0
random,0,5,0.916233,0.721197,0.0,0
random,0,6,0.917860,0.735870,0.0,0
random,0,7,0.822374,0.697380,0.0,0
random,1,0,0.344076,0.758108,0.0,0
random,1,1,0.795681,0.728455,0.0,0
random,1,2,0.763238,0.704424,0.0,0
random,1,3,0.931424,0.704322,0.0,0
random,1,4,0.381510,0.730701,0.0,0
random,1,5,0.928385,0.740189,0.0,0
random,1,6,0.871745,0.698540,0.0,0
random,1,7,0.709852,0.733454,0.0,0
random,2,0,0.855794,0.774814,0.0,0
random,2,1,0.906142,0.724850,0.0,0
random,2,2,0.735894,0.724458,0.0,0
random,2,3,0.616753,0.709244,0.0,0
random,2,4,0.740777,0.738860,0.0,0
random,2,5,0.892687,0.713493,0.0,0
random,2,6,0.926432,0.711366,0.0,0
random,2,7,0.496636,0.760190,0.0,0
random,3,0,0.286024,0.685236,0.0,0
random,3,1,0.503364,0.687668,0.0,0
random,3,2,0.917752,0.667363,0.0,0
random,3,3,0.793511,0.734032,0.0,0
random,3,4,0.742947,0.713250,0.0,0
random,3,5,0.330295,0.729509,0.0,0
random,3,6,0.712131,0.745590,0.0,0
random,3,7,0.772244,0.713319,0.0,0
random,4,0,0.901801,0.704651,0.0,0
random,4,1,0.504991,0.722003,0.0,0
random,4,2,0.340061,0.725348,0.0,0
random,4,3,0.215820,0.630382,0.0,0
random,4,4,0.850694,0.707479,0.0,0
random,4,5,0.868164,0.711663,0.0,0
random,4,6,0.795681,0.743648,0.0,0
random,4,7,0.894531,0.706304,0.0,0
no_modulation,0,0,0.047743,0.045070,19.8,1
no_modulation,0,1,0.043077,0.038199,1.4,1
no_modulation,0,2,0.046332,0.041210,45.6,1
no_modulation,0,3,0.077257,0.068323,1.2,1
no_modulation,0,4,0.049371,0.043172,0.5,1
no_modulation,0,5,0.047743,0.042748,1.1,1
no_modulation,0,6,0.044054,0.038992,0.2,1
no_modulation,0,7,0.042969,0.040999,0.6,1
no_modulation,1,0,0.047852,0.043660,4.9,1
no_modulation,1,1,0.046766,0.045580,16.5,1
no_modulation,1,2,0.046441,0.044684,57.7,1
no_modulation,1,3,0.047526,0.042147,1.2,1
no_modulation,1,4,0.045681,0.044240,25.7,1
no_modulation,1,5,0.046984,0.038925,1.0,1
no_modulation,1,6,0.045790,0.043615,18.8,1
no_modulation,1,7,0.040690,0.040840,0.7,1
no_modulation,2,0,0.048611,0.044400,5.5,1
no_modulation,2,1,0.046549,0.041594,2.0,1
no_modulation,2,2,0.047309,0.043362,1.0,1
no_modulation,2,3,0.047418,0.044655,1.5,1
no_modulation,2,4,0.044813,0.041230,1.8,1
no_modulation,2,5,0.048177,0.040296,0.9,1
no_modulation,2,6,0.045356,0.038790,0.0,1
no_modulation,2,7,0.046007,0.040499,1.1,1
no_modulation,3,0,0.046658,0.044844,20.8,1
no_modulation,3,1,0.044271,0.039988,1.0,1
no_modulation,3,2,0.047309,0.045069,30.3,1
no_modulation,3,3,0.080078,0.071888,0.8,1
no_modulation,3,4,0.075955,0.064991,0.0,1
no_modulation,3,5,0.046115,0.044551,12.8,1
no_modulation,3,6,0.045356,0.044090,5.1,1
no_modulation,3,7,0.041341,0.042799,0.8,1
no_modulation,4,0,0.047960,0.043292,19.9,1
no_modulation,4,1,0.043294,0.040539,1.5,1
no_modulation,4,2,0.046549,0.043252,75.8,1
no_modulation,4,3,0.046984,0.044422,19.2,1
no_modulation,4,4,0.045247,0.044572,11.5,1
no_modulation,4,5,0.046549,0.043995,11.5,1
no_modulation,4,6,0.045681,0.039687,0.2,1
no_modulation,4,7,0.076172,0.067649,0.7,1
