step,m_k0,m_k1,m_k2
0,-0.002389,-0.016115,-0.016957
1,-0.002278,-0.015366,-0.016169
2,-0.002173,-0.014654,-0.015420
3,-0.002072,-0.013977,-0.014707
4,-0.001977,-0.013333,-0.014030
5,-0.001886,-0.012720,-0.013385
6,-0.001799,-0.012137,-0.012771
7,-0.001717,-0.011583,-0.012188
8,-0.001639,-0.011055,-0.011633
9,-0.001565,-0.010553,-0.011105
10,-0.002502,-0.016845,-0.017735
11,-0.002391,-0.016096,-0.016947
12,-0.002285,-0.015384,-0.016198
13,-0.002184,-0.014707,-0.015484
14,-0.002089,-0.014063,-0.014806
15,-0.001998,-0.013450,-0.014161
16,-0.001911,-0.012867,-0.013547
17,-0.001829,-0.012312,-0.012963
18,-0.001750,-0.011785,-0.012408
19,-0.001676,-0.011283,-0.011879
20,-0.002604,-0.017537,-0.018463
21,-0.002492,-0.016789,-0.017675
22,-0.002387,-0.016077,-0.016925
23,-0.002286,-0.015399,-0.016212
24,-0.002190,-0.014755,-0.015534
25,-0.002100,-0.014142,-0.014889
26,-0.002013,-0.013559,-0.014275
27,-0.001931,-0.013005,-0.013691
28,-0.001852,-0.012477,-0.013136
29,-0.001778,-0.011976,-0.012607
30,-0.002698,-0.018195,-0.019149
31,-0.002587,-0.017447,-0.018362
32,-0.002481,-0.016735,-0.017612
33,-0.002381,-0.016057,-0.016900
34,-0.002285,-0.015413,-0.016221
35,-0.002194,-0.014800,-0.015576
36,-0.002108,-0.014217,-0.014963
37,-0.002026,-0.013663,-0.014379
38,-0.001948,-0.013135,-0.013824
39,-0.001873,-0.012633,-0.013296
40,-0.002794,-0.018820,-0.019814
41,-0.002683,-0.018072,-0.019026
42,-0.002577,-0.017360,-0.018276
43,-0.002476,-0.016683,-0.017563
44,-0.002381,-0.016038,-0.016885
45,-0.002290,-0.015425,-0.016240
46,-0.002203,-0.014842,-0.015626
47,-0.002121,-0.014288,-0.015042
48,-0.002043,-0.013760,-0.014487
49,-0.001968,-0.013259,-0.013958
50,-0.002879,-0.019414,-0.020434
51,-0.002768,-0.018666,-0.019646
52,-0.002662,-0.017954,-0.018896
53,-0.002562,-0.017276,-0.018183
54,-0.002466,-0.016632,-0.017505
55,-0.002375,-0.016019,-0.016860
56,-0.002289,-0.015436,-0.016247
57,-0.002207,-0.014882,-0.015663
58,-0.002129,-0.014354,-0.015108
59,-0.002054,-0.013852,-0.014580
60,-0.002962,-0.019978,-0.021027
61,-0.002851,-0.019230,-0.020239
62,-0.002746,-0.018518,-0.019490
63,-0.002645,-0.017840,-0.018777
