gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
126,0.018488,0.015000,0.023578,8053.0
127,0.018644,0.015000,0.022790,8120.7
128,0.019259,0.015000,0.023575,8188.9
129,0.018384,0.015000,0.023887,8256.8
130,0.019671,0.015000,0.024882,8324.9
131,0.018069,0.015000,0.023494,8392.8
132,0.019255,0.015000,0.023320,8460.6
133,0.016415,0.015000,0.023908,8528.7
134,0.019518,0.015000,0.023584,8596.4
135,0.020071,0.015000,0.023933,8664.1
136,0.017898,0.015000,0.023264,8731.8
137,0.018460,0.015000,0.023093,8799.4
138,0.020341,0.015000,0.023798,8867.1
139,0.020344,0.015000,0.023774,8934.9
140,0.019501,0.015000,0.023869,9002.6
141,0.018267,0.015000,0.023696,9070.4
142,0.019519,0.015000,0.023785,9138.2
143,0.018290,0.015000,0.023326,9206.0
144,0.018819,0.015000,0.024132,9275.3
145,0.019231,0.015000,0.023770,9347.3
146,0.020281,0.015000,0.024046,9414.6
147,0.020552,0.015000,0.023750,9482.2
148,0.019113,0.015000,0.023771,9549.9
149,0.018825,0.015000,0.023393,9617.6
150,0.018754,0.015000,0.023641,9685.2
151,0.019982,0.015000,0.024302,9752.9
152,0.019612,0.015000,0.024550,9820.7
153,0.018482,0.015000,0.023498,9888.6
154,0.019140,0.015000,0.023343,9956.4
155,0.020089,0.015000,0.024155,10024.3
156,0.018221,0.015000,0.024248,10092.5
157,0.017515,0.015000,0.023774,10166.0
158,0.018069,0.015000,0.024105,10232.7
159,0.018418,0.015000,0.023673,10299.7
160,0.019724,0.015000,0.024418,10367.1
161,0.018237,0.015000,0.024206,10436.5
162,0.019796,0.015000,0.024459,10507.6
163,0.018583,0.015000,0.024128,10575.2
164,0.018657,0.015000,0.024132,10641.2
165,0.018065,0.015000,0.023805,10708.2
166,0.016900,0.015000,0.023793,10779.3
167,0.017377,0.015000,0.023753,10848.1
168,0.020157,0.015000,0.023749,10916.9
169,0.018371,0.015000,0.024840,10986.1
170,0.019536,0.015000,0.024901,11051.8
171,0.020184,0.015000,0.025491,11119.8
172,0.019656,0.015000,0.028365,11189.4
173,0.019168,0.015000,0.024669,11258.6
174,0.019492,0.015000,0.023436,11327.5
175,0.018509,0.015000,0.023577,11396.2
176,0.019274,0.015000,0.023774,11464.7
177,0.019501,0.015000,0.023744,11533.4
178,0.020825,0.015000,0.024135,11602.0
179,0.020470,0.015000,0.023905,11670.5
180,0.020003,0.015000,0.023455,11738.9
181,0.018408,0.015000,0.023172,11807.3
182,0.019167,0.015000,0.023217,11876.0
183,0.017756,0.015000,0.023338,11944.5
184,0.017654,0.015000,0.024034,12012.9
185,0.018550,0.015000,0.023121,12081.1
186,0.019569,0.015000,0.024208,12149.4
187,0.018840,0.015000,0.024198,12218.2
188,0.017291,0.015000,0.025740,12288.0
189,0.019237,0.015000,0.023512,12356.8
190,0.019708,0.015000,0.023497,12425.2
191,0.017558,0.015000,0.023645,12493.4
192,0.019464,0.015000,0.023593,12562.0
193,0.019328,0.015000,0.023674,12630.7
194,0.020355,0.015000,0.024079,12699.7
195,0.019635,0.015000,0.023914,12769.7
196,0.019335,0.015000,0.024319,12839.5
197,0.018439,0.015000,0.024035,12908.1
198,0.017259,0.015000,0.024085,12976.8
199,0.018849,0.015000,0.022930,13045.1
200,0.018465,0.015000,0.023738,13112.6
201,0.017992,0.015000,0.023964,13177.4
202,0.020181,0.015000,0.024447,13242.5
203,0.019568,0.015000,0.023733,13307.7
204,0.016169,0.015000,0.024624,13373.3
205,0.019954,0.015000,0.023575,13438.4
206,0.017532,0.015000,0.023484,13503.2
207,0.016170,0.015000,0.023327,13568.0
208,0.019568,0.015000,0.023740,13632.5
209,0.017718,0.015000,0.023142,13696.8
