condition,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd
zero_output,1.000,13.60,12.20,0.032802,0.017092,0.019750,0.013242
closed_loop,0.450,3.94,5.67,0.100353,0.020145,0.051900,0.011505
no_modulation,1.000,5.32,8.66,0.046737,0.005111,0.042336,0.002952
