gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.013313,0.013313,0.026094,38.6
1,0.012651,0.012651,0.017522,68.6
2,0.013098,0.012651,0.016856,97.9
3,0.012436,0.012436,0.016142,127.2
4,0.013643,0.012436,0.016653,156.6
5,0.012679,0.012436,0.016280,185.9
6,0.013290,0.012436,0.015970,215.3
7,0.012070,0.012070,0.016040,244.6
8,0.012580,0.012070,0.016044,273.9
9,0.012275,0.012070,0.016002,303.3
10,0.012980,0.012070,0.016070,332.6
11,0.013515,0.012070,0.016247,361.9
12,0.013120,0.012070,0.016207,391.3
13,0.013101,0.012070,0.016070,420.6
14,0.013106,0.012070,0.016478,449.9
15,0.012880,0.012070,0.015932,479.3
16,0.013676,0.012070,0.015894,508.6
17,0.012705,0.012070,0.015975,537.9
18,0.012038,0.012038,0.016111,567.3
19,0.012386,0.012038,0.016182,596.6
20,0.011231,0.011231,0.015565,625.9
21,0.013421,0.011231,0.015948,655.3
22,0.012624,0.011231,0.016060,684.6
23,0.012981,0.011231,0.016178,714.0
24,0.013586,0.011231,0.016185,743.3
25,0.013138,0.011231,0.015982,772.6
26,0.013322,0.011231,0.015884,802.0
27,0.013279,0.011231,0.015997,831.3
28,0.013190,0.011231,0.015746,860.6
29,0.013340,0.011231,0.015984,890.0
30,0.011961,0.011231,0.015850,919.3
31,0.012944,0.011231,0.015852,948.6
32,0.013008,0.011231,0.015992,978.0
33,0.013669,0.011231,0.016078,1007.3
34,0.013594,0.011231,0.015948,1036.6
35,0.012379,0.011231,0.016027,1066.0
36,0.013340,0.011231,0.016102,1095.3
37,0.013319,0.011231,0.015891,1124.6
38,0.012645,0.011231,0.015734,1154.0
39,0.013643,0.011231,0.016309,1183.3
40,0.012285,0.011231,0.015953,1212.6
41,0.012811,0.011231,0.016112,1242.0
42,0.013056,0.011231,0.015587,1271.3
43,0.012123,0.011231,0.016125,1300.6
44,0.013706,0.011231,0.016054,1330.0
45,0.013416,0.011231,0.015994,1359.3
46,0.013579,0.011231,0.016105,1388.7
47,0.012978,0.011231,0.016003,1418.0
48,0.013009,0.011231,0.015889,1447.3
49,0.012634,0.011231,0.016099,1476.6
50,0.013141,0.011231,0.016216,1506.0
51,0.013304,0.011231,0.016186,1535.3
52,0.013626,0.011231,0.015594,1564.7
53,0.013082,0.011231,0.016111,1594.0
54,0.012907,0.011231,0.015903,1623.3
55,0.013085,0.011231,0.016216,1652.6
56,0.012571,0.011231,0.016048,1682.0
57,0.012823,0.011231,0.016931,1711.3
58,0.012074,0.011231,0.016208,1740.6
59,0.012607,0.011231,0.016099,1770.0
60,0.012836,0.011231,0.016178,1799.3
61,0.013082,0.011231,0.016250,1828.7
62,0.013069,0.011231,0.016068,1858.0
63,0.013433,0.011231,0.016135,1887.3
64,0.012647,0.011231,0.015928,1916.7
65,0.013504,0.011231,0.015760,1946.0
66,0.013245,0.011231,0.015815,1975.3
67,0.013556,0.011231,0.016131,2004.7
68,0.013169,0.011231,0.016243,2034.0
69,0.012160,0.011231,0.015925,2063.4
70,0.012612,0.011231,0.016024,2092.7
71,0.012756,0.011231,0.015795,2122.0
72,0.013042,0.011231,0.015962,2151.3
73,0.012704,0.011231,0.015798,2180.7
74,0.013725,0.011231,0.015907,2210.0
75,0.012463,0.011231,0.016039,2239.3
76,0.012822,0.011231,0.016038,2268.6
77,0.013304,0.011231,0.015799,2298.0
78,0.012570,0.011231,0.015758,2327.3
79,0.012706,0.011231,0.016663,2356.7
80,0.012272,0.011231,0.015840,2386.0
81,0.012888,0.011231,0.016176,2415.3
82,0.013348,0.011231,0.015879,2444.6
83,0.012965,0.011231,0.016004,2474.0
84,0.013150,0.011231,0.016249,2503.3
85,0.012792,0.011231,0.015898,2532.6
86,0.013636,0.011231,0.016145,2562.0
87,0.012784,0.011231,0.015962,2591.3
88,0.012900,0.011231,0.016170,2620.6
89,0.013489,0.011231,0.015692,2649.9
90,0.013757,0.011231,0.015886,2679.3
91,0.012339,0.011231,0.016060,2708.6
92,0.012809,0.011231,0.016063,2737.9
93,0.012827,0.011231,0.016192,2767.3
94,0.013431,0.011231,0.016112,2796.6
95,0.013141,0.011231,0.015957,2825.9
96,0.013178,0.011231,0.015898,2855.2
97,0.013744,0.011231,0.016201,2884.6
98,0.013319,0.011231,0.016171,2913.9
99,0.012943,0.011231,0.016115,2943.2
100,0.012973,0.011231,0.016295,2972.6
101,0.013299,0.011231,0.015961,3001.9
102,0.012489,0.011231,0.015958,3031.2
103,0.012353,0.011231,0.016085,3060.6
104,0.012806,0.011231,0.016157,3089.9
105,0.012472,0.011231,0.015731,3119.2
106,0.013054,0.011231,0.016063,3148.6
107,0.012889,0.011231,0.015850,3177.9
108,0.012942,0.011231,0.015850,3207.2
109,0.013345,0.011231,0.016313,3236.5
110,0.012817,0.011231,0.015775,3265.9
111,0.012912,0.011231,0.016036,3295.2
112,0.013167,0.011231,0.015846,3324.5
113,0.013308,0.011231,0.016364,3353.9
114,0.012432,0.011231,0.015822,3383.2
115,0.013025,0.011231,0.016660,3412.5
116,0.013895,0.011231,0.016002,3441.9
117,0.012350,0.011231,0.016035,3471.2
118,0.012975,0.011231,0.016003,3500.5
119,0.012875,0.011231,0.016101,3529.9
120,0.013365,0.011231,0.016086,3559.2
121,0.012660,0.011231,0.016231,3588.5
122,0.013350,0.011231,0.015937,3617.9
123,0.012388,0.011231,0.015985,3647.2
124,0.012773,0.011231,0.015831,3676.5
125,0.013697,0.011231,0.016530,3705.8
126,0.012421,0.011231,0.015942,3735.2
127,0.013182,0.011231,0.015794,3764.5
128,0.012717,0.011231,0.016380,3793.8
129,0.013131,0.011231,0.015777,3823.2
130,0.013335,0.011231,0.016037,3852.5
131,0.013019,0.011231,0.015946,3881.8
132,0.013700,0.011231,0.015959,3911.2
133,0.013739,0.011231,0.016529,3940.5
134,0.013751,0.011231,0.015904,3969.8
135,0.012516,0.011231,0.015919,3999.2
136,0.012650,0.011231,0.015457,4028.5
137,0.013621,0.011231,0.015846,4057.8
138,0.012422,0.011231,0.016075,4087.1
139,0.012797,0.011231,0.016090,4116.5
140,0.013046,0.011231,0.016003,4145.8
141,0.013406,0.011231,0.015975,4175.1
142,0.013145,0.011231,0.015974,4204.5
143,0.012883,0.011231,0.015931,4233.8
144,0.013277,0.011231,0.016079,4263.1
145,0.012828,0.011231,0.015797,4292.4
146,0.013195,0.011231,0.016166,4321.8
147,0.012771,0.011231,0.015747,4351.1
148,0.013142,0.011231,0.015951,4380.4
149,0.013302,0.011231,0.016280,4409.8
150,0.012722,0.011231,0.015746,4439.1
151,0.012930,0.011231,0.015748,4468.4
152,0.013009,0.011231,0.015881,4497.8
153,0.012493,0.011231,0.015875,4527.1
154,0.012946,0.011231,0.015665,4556.4
