step,m_k0,m_k1,m_k2
0,-0.013506,-0.016955,-0.013425
1,-0.012879,-0.016168,-0.012802
2,-0.012282,-0.015419,-0.012208
3,-0.011714,-0.014706,-0.011644
4,-0.011174,-0.014028,-0.011108
5,-0.010661,-0.013383,-0.010597
6,-0.010172,-0.012770,-0.010111
7,-0.009707,-0.012187,-0.009649
8,-0.009265,-0.011632,-0.009210
9,-0.008845,-0.011104,-0.008792
10,-0.014112,-0.017725,-0.014039
11,-0.013484,-0.016937,-0.013415
12,-0.012888,-0.016188,-0.012822
13,-0.012321,-0.015475,-0.012257
14,-0.011781,-0.014797,-0.011720
15,-0.011267,-0.014152,-0.011209
16,-0.010779,-0.013539,-0.010723
17,-0.010314,-0.012955,-0.010261
18,-0.009873,-0.012400,-0.009822
19,-0.009452,-0.011872,-0.009403
20,-0.014696,-0.018451,-0.014612
21,-0.014069,-0.017664,-0.013988
22,-0.013472,-0.016915,-0.013395
23,-0.012905,-0.016202,-0.012831
24,-0.012365,-0.015524,-0.012294
25,-0.011851,-0.014879,-0.011783
26,-0.011363,-0.014266,-0.011298
27,-0.010898,-0.013683,-0.010836
28,-0.010456,-0.013128,-0.010396
29,-0.010035,-0.012600,-0.009978
30,-0.015246,-0.019144,-0.015162
31,-0.014619,-0.018357,-0.014538
32,-0.014022,-0.017608,-0.013945
33,-0.013455,-0.016895,-0.013381
34,-0.012915,-0.016217,-0.012844
35,-0.012401,-0.015572,-0.012333
36,-0.011913,-0.014959,-0.011847
37,-0.011448,-0.014375,-0.011385
38,-0.011006,-0.013820,-0.010946
39,-0.010586,-0.013292,-0.010528
40,-0.015774,-0.019800,-0.015679
41,-0.015146,-0.019013,-0.015055
42,-0.014550,-0.018264,-0.014462
43,-0.013982,-0.017551,-0.013898
44,-0.013442,-0.016873,-0.013361
45,-0.012928,-0.016229,-0.012851
46,-0.012440,-0.015615,-0.012365
47,-0.011975,-0.015032,-0.011903
48,-0.011533,-0.014477,-0.011464
49,-0.011112,-0.013949,-0.011046
50,-0.016272,-0.020425,-0.016173
51,-0.015644,-0.019637,-0.015550
52,-0.015047,-0.018888,-0.014957
53,-0.014480,-0.018176,-0.014392
