step,m_k0,m_k1,m_k2
0,0.019367,0.003007,-0.019187
1,0.018468,0.002867,-0.018295
2,0.017612,0.002734,-0.017448
3,0.016798,0.002608,-0.016641
4,0.016024,0.002487,-0.015874
5,0.015287,0.002373,-0.015145
6,0.014587,0.002264,-0.014451
7,0.013920,0.002161,-0.013790
8,0.013286,0.002063,-0.013162
9,0.012683,0.001969,-0.012565
10,0.020243,0.003115,-0.020059
11,0.019343,0.002976,-0.019168
12,0.018488,0.002845,-0.018320
13,0.017674,0.002720,-0.017514
14,0.016899,0.002601,-0.016746
15,0.016163,0.002487,-0.016016
16,0.015462,0.002380,-0.015322
17,0.014796,0.002277,-0.014662
18,0.014162,0.002180,-0.014034
19,0.013559,0.002087,-0.013436
20,0.021073,0.003242,-0.020885
21,0.020174,0.003104,-0.019994
22,0.019318,0.002972,-0.019146
23,0.018504,0.002847,-0.018339
24,0.017730,0.002728,-0.017572
25,0.016994,0.002615,-0.016842
26,0.016293,0.002507,-0.016148
27,0.015627,0.002405,-0.015487
28,0.014993,0.002307,-0.014859
29,0.014390,0.002214,-0.014262
30,0.021861,0.003390,-0.021665
31,0.020961,0.003250,-0.020774
32,0.020106,0.003118,-0.019926
33,0.019292,0.002991,-0.019119
34,0.018518,0.002871,-0.018352
35,0.017782,0.002757,-0.017622
36,0.017081,0.002648,-0.016928
37,0.016415,0.002545,-0.016268
38,0.015781,0.002447,-0.015640
39,0.015179,0.002353,-0.015043
40,0.022611,0.003506,-0.022409
41,0.021712,0.003366,-0.021517
42,0.020857,0.003234,-0.020670
43,0.020043,0.003108,-0.019863
44,0.019269,0.002987,-0.019096
45,0.018533,0.002873,-0.018366
46,0.017832,0.002765,-0.017672
47,0.017166,0.002661,-0.017012
48,0.016532,0.002563,-0.016384
49,0.015929,0.002469,-0.015787
50,0.023324,0.003603,-0.023118
51,0.022425,0.003464,-0.022227
52,0.021569,0.003332,-0.021379
53,0.020756,0.003206,-0.020572
54,0.019982,0.003086,-0.019805
55,0.019245,0.002973,-0.019075
56,0.018545,0.002865,-0.018381
57,0.017879,0.002762,-0.017721
58,0.017245,0.002664,-0.017093
59,0.016642,0.002571,-0.016495
60,0.024000,0.003720,-0.023788
61,0.023101,0.003581,-0.022897
62,0.022245,0.003448,-0.022049
63,0.021432,0.003322,-0.021242
64,0.020658,0.003202,-0.020475
65,0.019922,0.003088,-0.019746
66,0.019221,0.002979,-0.019051
67,0.018555,0.002876,-0.018391
68,0.017922,0.002777,-0.017763
69,0.017319,0.002684,-0.017166
70,0.024644,0.003820,-0.024426
71,0.023744,0.003681,-0.023535
72,0.022889,0.003548,-0.022687
73,0.022075,0.003422,-0.021881
74,0.021302,0.003302,-0.021113
75,0.020565,0.003188,-0.020384
76,0.019865,0.003079,-0.019690
77,0.019199,0.002976,-0.019029
78,0.018565,0.002877,-0.018401
79,0.017963,0.002784,-0.017804
80,0.025255,0.003915,-0.025032
81,0.024356,0.003775,-0.024141
82,0.023500,0.003643,-0.023293
83,0.022687,0.003517,-0.022487
84,0.021913,0.003397,-0.021720
85,0.021177,0.003282,-0.020990
86,0.020476,0.003174,-0.020296
87,0.019810,0.003070,-0.019635
88,0.019177,0.002972,-0.019007
89,0.018574,0.002879,-0.018410
90,0.025836,0.004005,-0.025608
91,0.024937,0.003866,-0.024716
92,0.024082,0.003733,-0.023869
93,0.023268,0.003607,-0.023062
94,0.022494,0.003487,-0.022295
95,0.021758,0.003373,-0.021565
96,0.021058,0.003264,-0.020871
97,0.020392,0.003161,-0.020211
98,0.019758,0.003062,-0.019583
99,0.019155,0.002969,-0.018986
100,0.026388,0.004091,-0.026155
101,0.025489,0.003951,-0.025264
102,0.024634,0.003819,-0.024416
103,0.023820,0.003692,-0.023609
104,0.023046,0.003572,-0.022842
105,0.022310,0.003458,-0.022112
106,0.021610,0.003350,-0.021418
107,0.020944,0.003246,-0.020758
108,0.020310,0.003148,-0.020130
109,0.019707,0.003055,-0.019533
110,0.026913,0.004172,-0.026674
111,0.026014,0.004033,-0.025783
112,0.025159,0.003900,-0.024935
113,0.024345,0.003774,-0.024129
114,0.023571,0.003654,-0.023362
115,0.022835,0.003540,-0.022632
116,0.022134,0.003431,-0.021938
117,0.021468,0.003328,-0.021278
118,0.020835,0.003230,-0.020650
119,0.020232,0.003136,-0.020052
120,0.027411,0.004236,-0.027171
121,0.026512,0.004097,-0.026279
122,0.025657,0.003965,-0.025431
123,0.024843,0.003840,-0.024625
124,0.024069,0.003720,-0.023858
125,0.023333,0.003607,-0.023128
126,0.022633,0.003498,-0.022434
127,0.021966,0.003396,-0.021773
128,0.021333,0.003298,-0.021145
129,0.020730,0.003205,-0.020548
130,0.027884,0.004323,-0.027638
131,0.026985,0.004183,-0.026746
132,0.026129,0.004051,-0.025899
133,0.025316,0.003924,-0.025092
134,0.024542,0.003804,-0.024325
135,0.023806,0.003690,-0.023595
136,0.023105,0.003582,-0.022901
137,0.022439,0.003478,-0.022241
138,0.021805,0.003380,-0.021613
139,0.021203,0.003286,-0.021015
140,0.028333,0.004392,-0.028083
141,0.027434,0.004253,-0.027192
142,0.026579,0.004120,-0.026344
143,0.025765,0.003994,-0.025538
144,0.024991,0.003874,-0.024771
145,0.024255,0.003760,-0.024041
146,0.023555,0.003651,-0.023347
147,0.022888,0.003548,-0.022687
148,0.022255,0.003450,-0.022058
149,0.021652,0.003356,-0.021461
150,0.028728,0.003319,-0.028711
151,0.027830,0.003232,-0.027811
152,0.026977,0.003150,-0.026954
153,0.026164,0.003071,-0.026139
154,0.025392,0.002997,-0.025363
155,0.024657,0.002926,-0.024626
156,0.023958,0.002859,-0.023924
157,0.023292,0.002795,-0.023257
158,0.022660,0.002734,-0.022622
159,0.022058,0.002676,-0.022018
160,0.029138,0.004452,-0.028921
161,0.028240,0.004313,-0.028029
162,0.027386,0.004181,-0.027181
163,0.026573,0.004056,-0.026375
164,0.025800,0.003937,-0.025607
165,0.025065,0.003823,-0.024878
166,0.024366,0.003715,-0.024183
167,0.023701,0.003612,-0.023523
168,0.023068,0.003515,-0.022895
169,0.022466,0.003422,-0.022297
170,0.029607,0.004548,-0.029273
171,0.028705,0.004408,-0.028383
172,0.027847,0.004274,-0.027536
173,0.027031,0.004148,-0.026731
174,0.026255,0.004027,-0.025965
175,0.025516,0.003912,-0.025236
176,0.024814,0.003803,-0.024543
177,0.024146,0.003699,-0.023884
178,0.023510,0.003600,-0.023257
179,0.022906,0.003506,-0.022660
180,0.029995,0.004618,-0.029629
181,0.029093,0.004477,-0.028739
182,0.028234,0.004343,-0.027892
183,0.027417,0.004216,-0.027087
184,0.026640,0.004095,-0.026321
185,0.025901,0.003980,-0.025593
186,0.025198,0.003870,-0.024900
187,0.024529,0.003766,-0.024241
188,0.023893,0.003667,-0.023614
189,0.023288,0.003573,-0.023017
190,0.030349,0.004483,-0.030007
191,0.029446,0.004351,-0.029116
192,0.028587,0.004226,-0.028268
193,0.027770,0.004107,-0.027461
194,0.026993,0.003993,-0.026694
195,0.026254,0.003885,-0.025964
196,0.025551,0.003783,-0.025270
197,0.024882,0.003685,-0.024609
198,0.024245,0.003592,-0.023981
199,0.023640,0.003504,-0.023384
200,0.030664,0.004643,-0.030320
201,0.029762,0.004506,-0.029429
202,0.028904,0.004376,-0.028582
203,0.028088,0.004252,-0.027776
204,0.027312,0.004134,-0.027009
205,0.026573,0.004021,-0.026280
206,0.025871,0.003915,-0.025586
207,0.025202,0.003813,-0.024926
208,0.024567,0.003717,-0.024299
209,0.023962,0.003625,-0.023702
210,0.030971,0.004725,-0.030627
211,0.030069,0.004586,-0.029736
212,0.029212,0.004454,-0.028889
213,0.028396,0.004329,-0.028083
214,0.027620,0.004210,-0.027317
215,0.026882,0.004096,-0.026587
216,0.026180,0.003988,-0.025894
217,0.025512,0.003886,-0.025234
218,0.024876,0.003788,-0.024606
219,0.024272,0.003695,-0.024010
220,0.031268,0.004683,-0.030939
221,0.030367,0.004549,-0.030048
222,0.029509,0.004421,-0.029200
223,0.028694,0.004299,-0.028393
224,0.027918,0.004183,-0.027626
225,0.027180,0.004073,-0.026896
226,0.026478,0.003969,-0.026202
227,0.025810,0.003869,-0.025541
228,0.025175,0.003774,-0.024913
229,0.024570,0.003684,-0.024316
230,0.031543,0.004785,-0.031213
231,0.030642,0.004648,-0.030322
232,0.029785,0.004517,-0.029474
233,0.028970,0.004393,-0.028668
234,0.028194,0.004275,-0.027901
235,0.027457,0.004162,-0.027171
236,0.026755,0.004056,-0.026477
237,0.026088,0.003954,-0.025817
238,0.025453,0.003857,-0.025189
239,0.024849,0.003765,-0.024592
240,0.031808,0.004825,-0.031482
241,0.030907,0.004687,-0.030590
242,0.030050,0.004557,-0.029743
243,0.029235,0.004433,-0.028936
244,0.028460,0.004315,-0.028169
245,0.027722,0.004203,-0.027440
246,0.027021,0.004096,-0.026746
247,0.026354,0.003994,-0.026085
248,0.025719,0.003898,-0.025457
249,0.025115,0.003806,-0.024860
250,0.032057,0.004901,-0.031730
251,0.031157,0.004762,-0.030839
252,0.030300,0.004630,-0.029992
253,0.029485,0.004504,-0.029186
254,0.028710,0.004385,-0.028419
255,0.027973,0.004271,-0.027689
256,0.027272,0.004163,-0.026995
257,0.026605,0.004060,-0.026335
258,0.025970,0.003962,-0.025708
259,0.025367,0.003869,-0.025110
260,0.032297,0.004965,-0.031967
261,0.031397,0.004825,-0.031076
262,0.030541,0.004692,-0.030229
263,0.029726,0.004566,-0.029423
264,0.028951,0.004445,-0.028656
265,0.028214,0.004331,-0.027927
266,0.027513,0.004222,-0.027233
267,0.026846,0.004118,-0.026573
268,0.026212,0.004019,-0.025945
269,0.025608,0.003926,-0.025348
270,0.032537,0.005006,-0.032191
271,0.031637,0.004866,-0.031300
272,0.030780,0.004733,-0.030453
273,0.029965,0.004606,-0.029647
274,0.029190,0.004485,-0.028881
275,0.028452,0.004371,-0.028152
276,0.027751,0.004262,-0.027458
277,0.027084,0.004158,-0.026798
278,0.026449,0.004059,-0.026171
279,0.025845,0.003965,-0.025574
280,0.032760,0.004941,-0.032426
281,0.031859,0.004805,-0.031535
282,0.031002,0.004677,-0.030687
283,0.030187,0.004554,-0.029880
