condition,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd
zero_output,1.000,14.97,11.11,0.028936,0.018187,0.017995,0.014029
closed_loop,1.000,14.58,10.70,0.032126,0.016429,0.017851,0.012436
no_modulation,1.000,5.99,11.00,0.052460,0.013568,0.045279,0.009097
