step,m_k0,m_k1,m_k2
0,-0.003833,0.019348,0.001474
1,-0.003655,0.018449,0.001406
2,-0.003485,0.017595,0.001341
3,-0.003324,0.016781,0.001279
4,-0.003171,0.016008,0.001220
5,-0.003025,0.015272,0.001164
6,-0.002887,0.014572,0.001110
7,-0.002755,0.013906,0.001060
8,-0.002629,0.013273,0.001011
9,-0.002510,0.012671,0.000965
10,-0.004005,0.020265,0.001533
11,-0.003827,0.019364,0.001465
12,-0.003658,0.018508,0.001400
13,-0.003497,0.017693,0.001339
14,-0.003344,0.016918,0.001280
15,-0.003198,0.016180,0.001224
16,-0.003060,0.015479,0.001171
17,-0.002928,0.014812,0.001121
18,-0.002802,0.014177,0.001073
19,-0.002683,0.013573,0.001027
20,-0.004171,0.021054,0.001598
21,-0.003993,0.020156,0.001530
22,-0.003824,0.019301,0.001465
23,-0.003663,0.018488,0.001403
24,-0.003510,0.017715,0.001344
25,-0.003364,0.016979,0.001289
26,-0.003225,0.016279,0.001235
27,-0.003093,0.015613,0.001185
28,-0.002968,0.014980,0.001137
29,-0.002848,0.014378,0.001091
30,-0.004327,0.021887,0.001656
31,-0.004149,0.020987,0.001588
32,-0.003980,0.020130,0.001523
33,-0.003819,0.019315,0.001461
34,-0.003665,0.018540,0.001403
35,-0.003520,0.017803,0.001347
36,-0.003381,0.017101,0.001294
37,-0.003249,0.016434,0.001243
38,-0.003124,0.015800,0.001195
39,-0.003004,0.015196,0.001150
40,-0.004476,0.022627,0.001708
41,-0.004298,0.021727,0.001640
42,-0.004129,0.020871,0.001575
43,-0.003968,0.020057,0.001514
44,-0.003815,0.019282,0.001455
45,-0.003669,0.018545,0.001400
46,-0.003530,0.017844,0.001347
47,-0.003398,0.017178,0.001297
48,-0.003273,0.016543,0.001249
49,-0.003153,0.015940,0.001203
50,-0.004618,0.023321,0.001761
51,-0.004440,0.022422,0.001694
52,-0.004270,0.021567,0.001629
53,-0.004109,0.020753,0.001568
54,-0.003956,0.019979,0.001509
55,-0.003810,0.019243,0.001454
56,-0.003671,0.018543,0.001401
57,-0.003540,0.017877,0.001350
58,-0.003414,0.017243,0.001303
59,-0.003295,0.016641,0.001257
60,-0.004752,0.023987,0.001814
61,-0.004574,0.023089,0.001746
62,-0.004405,0.022234,0.001681
63,-0.004244,0.021421,0.001620
64,-0.004090,0.020648,0.001561
65,-0.003944,0.019912,0.001505
66,-0.003806,0.019212,0.001453
67,-0.003674,0.018547,0.001402
68,-0.003548,0.017913,0.001354
69,-0.003429,0.017311,0.001309
70,-0.004879,0.024631,0.001863
71,-0.004701,0.023732,0.001795
72,-0.004532,0.022878,0.001730
73,-0.004371,0.022064,0.001668
74,-0.004218,0.021291,0.001610
75,-0.004072,0.020555,0.001554
76,-0.003933,0.019856,0.001501
77,-0.003801,0.019190,0.001451
78,-0.003676,0.018557,0.001403
79,-0.003556,0.017954,0.001358
80,-0.005000,0.025253,0.001908
81,-0.004822,0.024354,0.001840
82,-0.004653,0.023498,0.001775
83,-0.004492,0.022685,0.001714
84,-0.004339,0.021911,0.001655
85,-0.004193,0.021175,0.001600
86,-0.004054,0.020475,0.001547
87,-0.003922,0.019809,0.001497
88,-0.003797,0.019175,0.001449
89,-0.003677,0.018572,0.001403
90,-0.005116,0.025822,0.001954
91,-0.004938,0.024924,0.001886
92,-0.004768,0.024069,0.001821
93,-0.004607,0.023256,0.001760
94,-0.004454,0.022483,0.001701
95,-0.004308,0.021747,0.001645
96,-0.004169,0.021047,0.001592
97,-0.004038,0.020381,0.001542
98,-0.003912,0.019748,0.001494
99,-0.003793,0.019146,0.001449
100,-0.005225,0.026384,0.001994
101,-0.005047,0.025485,0.001926
102,-0.004877,0.024630,0.001862
103,-0.004716,0.023816,0.001800
104,-0.004563,0.023043,0.001742
105,-0.004417,0.022306,0.001686
106,-0.004279,0.021606,0.001633
107,-0.004147,0.020940,0.001583
108,-0.004021,0.020307,0.001535
109,-0.003902,0.019704,0.001490
110,-0.005328,0.026941,0.002031
111,-0.005150,0.026041,0.001963
112,-0.004981,0.025184,0.001899
113,-0.004819,0.024369,0.001837
114,-0.004666,0.023594,0.001779
115,-0.004520,0.022857,0.001723
116,-0.004382,0.022155,0.001671
117,-0.004250,0.021488,0.001620
118,-0.004125,0.020853,0.001573
119,-0.004005,0.020250,0.001527
120,-0.005428,0.027397,0.002070
121,-0.005250,0.026498,0.002002
122,-0.005080,0.025644,0.001937
123,-0.004919,0.024830,0.001876
124,-0.004766,0.024057,0.001818
125,-0.004620,0.023321,0.001762
126,-0.004481,0.022622,0.001709
127,-0.004349,0.021956,0.001659
128,-0.004224,0.021323,0.001611
129,-0.004105,0.020721,0.001566
130,-0.005521,0.027869,0.002105
131,-0.005343,0.026971,0.002037
132,-0.005174,0.026116,0.001973
133,-0.005013,0.025303,0.001911
134,-0.004860,0.024530,0.001853
135,-0.004714,0.023794,0.001797
136,-0.004575,0.023094,0.001745
137,-0.004443,0.022429,0.001694
138,-0.004318,0.021795,0.001646
139,-0.004198,0.021193,0.001601
140,-0.005610,0.028329,0.002138
141,-0.005432,0.027430,0.002070
142,-0.005263,0.026575,0.002006
143,-0.005102,0.025761,0.001945
144,-0.004948,0.024987,0.001886
145,-0.004803,0.024251,0.001831
146,-0.004664,0.023551,0.001778
147,-0.004532,0.022885,0.001728
148,-0.004407,0.022251,0.001680
149,-0.004287,0.021649,0.001634
150,-0.005683,0.029624,0.002105
151,-0.005506,0.028685,0.002040
152,-0.005337,0.027791,0.001979
153,-0.005176,0.026941,0.001920
154,-0.005024,0.026133,0.001864
155,-0.004878,0.025364,0.001811
156,-0.004740,0.024632,0.001761
157,-0.004608,0.023936,0.001713
158,-0.004483,0.023274,0.001667
159,-0.004364,0.022645,0.001624
160,-0.005779,0.029177,0.002178
161,-0.005601,0.028280,0.002111
162,-0.005431,0.027425,0.002047
163,-0.005270,0.026613,0.001987
164,-0.005117,0.025840,0.001929
165,-0.004971,0.025105,0.001875
166,-0.004832,0.024405,0.001823
167,-0.004700,0.023740,0.001773
168,-0.004574,0.023107,0.001726
169,-0.004455,0.022506,0.001681
170,-0.005857,0.029558,0.002232
171,-0.005679,0.028660,0.002164
172,-0.005509,0.027806,0.002099
173,-0.005348,0.026994,0.002038
174,-0.005194,0.026221,0.001979
