condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
constant,4,4,0.028754,0.019974,2.4,1
constant,4,5,0.034071,0.014534,4.8,1
constant,4,6,0.004774,0.003326,7.6,1
constant,4,7,0.023655,0.006035,13.1,1
random,0,0,0.912326,0.896083,0.0,0
random,0,1,0.934570,0.888217,0.0,0
random,0,2,0.929362,0.846773,0.0,0
random,0,3,0.935981,0.899097,0.0,0
random,0,4,0.941840,0.887385,0.0,0
random,0,5,0.923828,0.896918,0.0,0
random,0,6,0.927192,0.884763,0.0,0
random,0,7,0.931315,0.890202,0.0,0
random,1,0,0.930556,0.885848,0.0,0
random,1,1,0.925890,0.897097,0.0,0
random,1,2,0.925781,0.892704,0.0,0
random,1,3,0.935764,0.899101,0.0,0
random,1,4,0.947808,0.878810,0.0,0
random,1,5,0.944661,0.890934,0.0,0
random,1,6,0.947591,0.878172,0.0,0
random,1,7,0.933811,0.866359,0.0,0
random,2,0,0.943034,0.890574,0.0,0
random,2,1,0.932726,0.881211,0.0,0
random,2,2,0.938043,0.891348,0.0,0
random,2,3,0.934028,0.893627,0.0,0
random,2,4,0.831055,0.863697,0.0,0
random,2,5,0.944878,0.892729,0.0,0
random,2,6,0.936306,0.860959,0.0,0
random,2,7,0.935113,0.887620,0.0,0
random,3,0,0.934353,0.896681,0.0,0
random,3,1,0.939019,0.858870,0.0,0
random,3,2,0.926107,0.896130,0.0,0
random,3,3,0.945855,0.878842,0.0,0
random,3,4,0.931749,0.892342,0.0,0
random,3,5,0.908637,0.857137,0.0,0
random,3,6,0.939019,0.858943,0.0,0
random,3,7,0.243273,0.865740,0.0,0
random,4,0,0.936306,0.885871,0.0,0
random,4,1,0.933268,0.890397,0.0,0
random,4,2,0.935330,0.873402,0.0,0
random,4,3,0.915256,0.877627,0.0,0
random,4,4,0.925998,0.897349,0.0,0
random,4,5,0.911675,0.894604,0.0,0
random,4,6,0.941732,0.887424,0.0,0
random,4,7,0.689453,0.885264,0.0,0
no_modulation,0,0,0.045247,0.034985,41.7,1
no_modulation,0,1,0.038194,0.029152,5.3,1
no_modulation,0,2,0.043837,0.021919,5.8,1
no_modulation,0,3,0.031576,0.023147,5.2,1
no_modulation,0,4,0.019206,0.024356,4.4,1
no_modulation,0,5,0.024306,0.016831,6.1,1
no_modulation,0,6,0.034614,0.009055,6.1,1
no_modulation,0,7,0.032227,0.015172,5.9,1
no_modulation,1,0,0.051866,0.028957,24.9,1
no_modulation,1,1,0.032010,0.027161,3.7,1
no_modulation,1,2,0.043837,0.019728,8.0,1
no_modulation,1,3,0.035916,0.027090,4.9,1
no_modulation,1,4,0.049588,0.032771,3.4,1
no_modulation,1,5,0.015191,0.010902,13.7,1
