condition,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd
zero_output,1.000,10.00,9.72,0.029066,0.013610,0.016453,0.008636
closed_loop,1.000,8.42,7.63,0.036051,0.009860,0.020328,0.006770
no_modulation,1.000,8.11,9.78,0.034340,0.011689,0.021923,0.007916
