step,m_k0,m_k1,m_k2
0,-0.020070,0.000335,-0.005576
1,-0.019138,0.000319,-0.005317
2,-0.018251,0.000305,-0.005071
3,-0.017408,0.000291,-0.004836
4,-0.016605,0.000277,-0.004614
5,-0.015842,0.000264,-0.004401
6,-0.015116,0.000252,-0.004200
7,-0.014426,0.000241,-0.004008
8,-0.013769,0.000230,-0.003825
9,-0.013144,0.000219,-0.003652
10,-0.020993,0.000347,-0.005815
11,-0.020060,0.000331,-0.005557
12,-0.019172,0.000317,-0.005311
13,-0.018328,0.000303,-0.005077
14,-0.017525,0.000289,-0.004855
15,-0.016762,0.000277,-0.004643
16,-0.016035,0.000265,-0.004442
17,-0.015344,0.000253,-0.004251
18,-0.014687,0.000243,-0.004069
19,-0.014061,0.000232,-0.003895
20,-0.021857,0.000359,-0.006053
21,-0.020924,0.000344,-0.005794
22,-0.020036,0.000329,-0.005549
23,-0.019192,0.000316,-0.005315
24,-0.018389,0.000302,-0.005093
25,-0.017626,0.000290,-0.004881
26,-0.016899,0.000278,-0.004680
27,-0.016208,0.000267,-0.004489
28,-0.015550,0.000256,-0.004307
29,-0.014925,0.000245,-0.004133
30,-0.022677,0.000373,-0.006279
31,-0.021744,0.000357,-0.006021
32,-0.020857,0.000343,-0.005775
33,-0.020013,0.000329,-0.005542
34,-0.019210,0.000316,-0.005319
35,-0.018446,0.000303,-0.005108
36,-0.017719,0.000291,-0.004907
37,-0.017028,0.000280,-0.004715
38,-0.016371,0.000269,-0.004533
39,-0.015745,0.000259,-0.004360
40,-0.023460,0.000384,-0.006492
41,-0.022527,0.000369,-0.006234
42,-0.021639,0.000355,-0.005989
43,-0.020795,0.000341,-0.005755
44,-0.019992,0.000328,-0.005533
45,-0.019228,0.000315,-0.005321
46,-0.018501,0.000303,-0.005120
47,-0.017810,0.000292,-0.004929
48,-0.017152,0.000281,-0.004747
49,-0.016527,0.000271,-0.004574
50,-0.024197,0.000380,-0.006704
51,-0.023264,0.000366,-0.006446
52,-0.022377,0.000352,-0.006200
53,-0.021532,0.000339,-0.005966
54,-0.020729,0.000326,-0.005743
55,-0.019965,0.000314,-0.005532
56,-0.019239,0.000303,-0.005330
57,-0.018548,0.000292,-0.005139
58,-0.017890,0.000282,-0.004957
59,-0.017265,0.000272,-0.004784
60,-0.024904,0.000408,-0.006892
61,-0.023971,0.000393,-0.006634
62,-0.023083,0.000378,-0.006388
63,-0.022239,0.000364,-0.006155
64,-0.021436,0.000351,-0.005932
65,-0.020672,0.000338,-0.005721
66,-0.019945,0.000327,-0.005520
67,-0.019254,0.000315,-0.005329
68,-0.018596,0.000304,-0.005147
69,-0.017971,0.000294,-0.004974
70,-0.025574,0.000418,-0.007074
71,-0.024641,0.000403,-0.006816
72,-0.023753,0.000388,-0.006571
73,-0.022909,0.000375,-0.006337
74,-0.022106,0.000361,-0.006115
75,-0.021342,0.000349,-0.005904
76,-0.020615,0.000337,-0.005703
77,-0.019923,0.000326,-0.005512
78,-0.019266,0.000315,-0.005330
79,-0.018640,0.000305,-0.005157
80,-0.026210,0.000428,-0.007248
81,-0.025277,0.000412,-0.006990
82,-0.024389,0.000398,-0.006745
83,-0.023544,0.000384,-0.006511
84,-0.022741,0.000371,-0.006289
85,-0.021977,0.000359,-0.006078
86,-0.021250,0.000347,-0.005877
87,-0.020559,0.000335,-0.005686
88,-0.019901,0.000325,-0.005504
89,-0.019276,0.000314,-0.005331
90,-0.026812,0.000438,-0.007416
91,-0.025878,0.000423,-0.007158
92,-0.024991,0.000408,-0.006913
93,-0.024146,0.000394,-0.006679
94,-0.023343,0.000381,-0.006457
95,-0.022579,0.000369,-0.006246
96,-0.021852,0.000357,-0.006045
97,-0.021161,0.000345,-0.005854
98,-0.020503,0.000335,-0.005672
99,-0.019878,0.000325,-0.005499
100,-0.027382,0.000431,-0.007581
101,-0.026449,0.000416,-0.007323
102,-0.025562,0.000402,-0.007077
103,-0.024717,0.000389,-0.006843
104,-0.023914,0.000377,-0.006621
105,-0.023150,0.000365,-0.006409
106,-0.022424,0.000354,-0.006208
107,-0.021732,0.000343,-0.006017
108,-0.021075,0.000333,-0.005835
109,-0.020449,0.000323,-0.005661
110,-0.027930,0.000456,-0.007726
111,-0.026997,0.000440,-0.007468
112,-0.026109,0.000426,-0.007222
113,-0.025265,0.000412,-0.006989
114,-0.024461,0.000399,-0.006767
115,-0.023697,0.000387,-0.006555
116,-0.022970,0.000375,-0.006354
117,-0.022279,0.000363,-0.006163
118,-0.021621,0.000353,-0.005981
119,-0.020996,0.000342,-0.005808
120,-0.028444,0.000448,-0.007876
121,-0.027511,0.000433,-0.007617
122,-0.026623,0.000420,-0.007371
123,-0.025779,0.000406,-0.007138
124,-0.024976,0.000394,-0.006915
125,-0.024212,0.000382,-0.006704
126,-0.023485,0.000371,-0.006502
127,-0.022794,0.000360,-0.006311
128,-0.022136,0.000350,-0.006129
129,-0.021511,0.000340,-0.005956
130,-0.028939,0.000472,-0.008006
131,-0.028006,0.000457,-0.007748
132,-0.027118,0.000442,-0.007502
133,-0.026273,0.000428,-0.007269
134,-0.025470,0.000415,-0.007047
135,-0.024706,0.000403,-0.006835
136,-0.023979,0.000391,-0.006634
137,-0.023288,0.000379,-0.006443
138,-0.022630,0.000369,-0.006261
139,-0.022004,0.000358,-0.006088
140,-0.029405,0.000479,-0.008136
141,-0.028472,0.000464,-0.007878
142,-0.027584,0.000450,-0.007632
143,-0.026740,0.000436,-0.007398
144,-0.025937,0.000423,-0.007176
145,-0.025172,0.000410,-0.006965
146,-0.024446,0.000398,-0.006764
147,-0.023754,0.000387,-0.006572
148,-0.023097,0.000376,-0.006390
149,-0.022471,0.000366,-0.006217
150,-0.029738,-0.000219,-0.008635
151,-0.028810,-0.000202,-0.008360
152,-0.027927,-0.000185,-0.008097
153,-0.027087,-0.000169,-0.007848
154,-0.026288,-0.000154,-0.007611
155,-0.025529,-0.000140,-0.007385
156,-0.024806,-0.000126,-0.007170
157,-0.024118,-0.000113,-0.006966
158,-0.023464,-0.000101,-0.006772
159,-0.022842,-0.000089,-0.006587
160,-0.030308,0.000458,-0.008392
161,-0.029372,0.000443,-0.008134
162,-0.028483,0.000429,-0.007888
163,-0.027636,0.000415,-0.007655
164,-0.026831,0.000402,-0.007432
165,-0.026066,0.000390,-0.007221
166,-0.025337,0.000378,-0.007020
167,-0.024644,0.000367,-0.006829
168,-0.023985,0.000356,-0.006647
169,-0.023358,0.000346,-0.006474
170,-0.030721,0.000453,-0.008450
171,-0.029785,0.000439,-0.008195
172,-0.028895,0.000425,-0.007951
173,-0.028048,0.000412,-0.007720
174,-0.027243,0.000399,-0.007500
175,-0.026477,0.000387,-0.007290
176,-0.025748,0.000376,-0.007091
177,-0.025055,0.000365,-0.006901
178,-0.024395,0.000355,-0.006721
179,-0.023768,0.000345,-0.006550
180,-0.031107,0.000458,-0.008541
181,-0.030172,0.000444,-0.008285
182,-0.029281,0.000430,-0.008042
183,-0.028434,0.000417,-0.007812
184,-0.027629,0.000404,-0.007592
185,-0.026862,0.000393,-0.007383
186,-0.026133,0.000382,-0.007184
187,-0.025440,0.000371,-0.006995
188,-0.024781,0.000361,-0.006815
189,-0.024153,0.000351,-0.006644
190,-0.031475,0.000460,-0.008625
191,-0.030538,0.000446,-0.008371
192,-0.029648,0.000432,-0.008128
193,-0.028801,0.000419,-0.007898
194,-0.027995,0.000407,-0.007679
195,-0.027229,0.000395,-0.007470
196,-0.026500,0.000384,-0.007272
197,-0.025806,0.000374,-0.007083
198,-0.025147,0.000364,-0.006904
199,-0.024519,0.000354,-0.006733
200,-0.031812,0.000459,-0.008721
201,-0.030876,0.000445,-0.008466
202,-0.029986,0.000432,-0.008223
203,-0.029139,0.000420,-0.007993
204,-0.028334,0.000408,-0.007773
205,-0.027568,0.000396,-0.007565
206,-0.026839,0.000386,-0.007366
207,-0.026146,0.000375,-0.007177
208,-0.025486,0.000366,-0.006998
209,-0.024859,0.000356,-0.006827
210,-0.032119,0.000405,-0.008841
211,-0.031184,0.000394,-0.008585
212,-0.030295,0.000383,-0.008341
213,-0.029449,0.000373,-0.008108
214,-0.028644,0.000364,-0.007888
215,-0.027879,0.000355,-0.007678
216,-0.027151,0.000346,-0.007478
217,-0.026459,0.000338,-0.007288
218,-0.025800,0.000330,-0.007107
219,-0.025173,0.000323,-0.006935
220,-0.032436,0.000481,-0.008909
221,-0.031501,0.000466,-0.008653
222,-0.030611,0.000453,-0.008410
223,-0.029765,0.000440,-0.008178
224,-0.028961,0.000427,-0.007958
225,-0.028195,0.000415,-0.007749
226,-0.027467,0.000404,-0.007550
227,-0.026774,0.000393,-0.007360
228,-0.026115,0.000383,-0.007180
229,-0.025488,0.000373,-0.007009
230,-0.032727,0.000455,-0.008997
231,-0.031792,0.000442,-0.008741
232,-0.030903,0.000430,-0.008497
233,-0.030057,0.000418,-0.008265
234,-0.029252,0.000407,-0.008045
235,-0.028487,0.000396,-0.007835
236,-0.027759,0.000386,-0.007636
237,-0.027066,0.000376,-0.007446
238,-0.026407,0.000367,-0.007265
239,-0.025781,0.000358,-0.007094
240,-0.032998,0.000438,-0.009093
241,-0.032063,0.000426,-0.008836
242,-0.031175,0.000414,-0.008591
243,-0.030329,0.000403,-0.008359
244,-0.029525,0.000393,-0.008137
245,-0.028760,0.000383,-0.007927
246,-0.028032,0.000374,-0.007727
247,-0.027340,0.000365,-0.007536
248,-0.026682,0.000356,-0.007355
249,-0.026055,0.000348,-0.007183
250,-0.033269,0.000483,-0.009154
251,-0.032335,0.000469,-0.008898
252,-0.031446,0.000455,-0.008654
253,-0.030600,0.000443,-0.008422
254,-0.029795,0.000431,-0.008201
255,-0.029030,0.000419,-0.007991
256,-0.028302,0.000408,-0.007791
257,-0.027610,0.000398,-0.007601
258,-0.026951,0.000388,-0.007420
259,-0.026325,0.000379,-0.007248
260,-0.033526,0.000503,-0.009215
261,-0.032591,0.000488,-0.008959
262,-0.031702,0.000474,-0.008715
263,-0.030856,0.000461,-0.008483
264,-0.030051,0.000448,-0.008263
265,-0.029286,0.000436,-0.008053
266,-0.028558,0.000425,-0.007853
267,-0.027865,0.000414,-0.007663
268,-0.027207,0.000403,-0.007483
269,-0.026580,0.000394,-0.007311
270,-0.033769,0.000507,-0.009279
271,-0.032834,0.000493,-0.009023
272,-0.031944,0.000479,-0.008779
273,-0.031098,0.000465,-0.008547
274,-0.030294,0.000453,-0.008327
275,-0.029528,0.000441,-0.008117
276,-0.028800,0.000429,-0.007917
277,-0.028108,0.000418,-0.007727
278,-0.027449,0.000408,-0.007547
279,-0.026822,0.000398,-0.007375
280,-0.033993,0.000497,-0.009348
281,-0.033058,0.000483,-0.009092
282,-0.032169,0.000469,-0.008848
283,-0.031323,0.000457,-0.008615
284,-0.030518,0.000445,-0.008395
285,-0.029753,0.000433,-0.008184
286,-0.029025,0.000422,-0.007985
