gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.021273,0.021273,0.023295,38.0
1,0.021136,0.021136,0.023245,68.5
2,0.020542,0.020542,0.025386,98.5
3,0.020965,0.020542,0.024658,128.5
4,0.021726,0.020542,0.026642,158.4
5,0.020972,0.020542,0.024569,188.4
6,0.021142,0.020542,0.024387,218.4
7,0.021111,0.020542,0.023142,248.4
8,0.021194,0.020542,0.023697,278.3
9,0.021250,0.020542,0.024414,308.3
10,0.021153,0.020542,0.023390,338.3
11,0.020477,0.020477,0.024139,368.3
12,0.020792,0.020477,0.024252,398.2
13,0.020586,0.020477,0.022445,428.2
14,0.020275,0.020275,0.023446,458.2
15,0.020725,0.020275,0.023610,488.2
16,0.020512,0.020275,0.023630,518.2
17,0.021168,0.020275,0.023342,548.1
18,0.020351,0.020275,0.024377,578.1
19,0.020914,0.020275,0.025712,608.1
20,0.021053,0.020275,0.024910,638.1
21,0.020590,0.020275,0.024132,668.0
22,0.020747,0.020275,0.024844,698.0
23,0.020689,0.020275,0.023990,728.0
24,0.021468,0.020275,0.024936,758.0
25,0.020145,0.020145,0.024512,787.9
26,0.020726,0.020145,0.023342,817.9
27,0.021582,0.020145,0.025001,847.9
28,0.020919,0.020145,0.025784,877.9
29,0.020905,0.020145,0.023525,907.8
30,0.020476,0.020145,0.023796,937.8
31,0.020845,0.020145,0.024895,967.8
32,0.020404,0.020145,0.025605,997.8
33,0.019990,0.019990,0.025975,1027.7
34,0.020935,0.019990,0.024889,1057.7
35,0.021024,0.019990,0.024137,1087.7
36,0.020649,0.019990,0.026203,1117.7
37,0.020367,0.019990,0.026498,1147.6
38,0.020037,0.019990,0.025438,1177.6
39,0.021124,0.019990,0.023704,1207.6
40,0.020798,0.019990,0.023313,1237.6
41,0.020357,0.019990,0.023939,1267.6
42,0.020604,0.019990,0.026905,1297.5
43,0.020927,0.019990,0.023498,1327.5
44,0.020904,0.019990,0.025359,1357.5
45,0.020604,0.019990,0.023896,1387.4
46,0.021119,0.019990,0.025402,1417.4
47,0.020528,0.019990,0.023169,1447.4
48,0.020956,0.019990,0.024544,1477.4
49,0.021230,0.019990,0.023558,1507.3
50,0.020341,0.019990,0.025745,1537.3
51,0.020816,0.019990,0.024309,1567.3
52,0.021107,0.019990,0.024393,1597.3
53,0.020832,0.019990,0.023674,1627.2
54,0.021014,0.019990,0.025809,1657.2
55,0.021208,0.019990,0.023954,1687.2
56,0.021200,0.019990,0.024659,1717.2
57,0.021019,0.019990,0.022658,1747.1
58,0.021141,0.019990,0.024910,1777.1
59,0.020840,0.019990,0.024646,1807.1
60,0.020912,0.019990,0.022867,1837.1
61,0.021099,0.019990,0.023543,1867.0
62,0.020590,0.019990,0.025056,1897.0
63,0.020406,0.019990,0.024033,1927.0
64,0.020927,0.019990,0.022935,1957.0
65,0.021160,0.019990,0.025815,1986.9
66,0.020864,0.019990,0.023174,2016.9
67,0.019634,0.019634,0.022584,2046.9
68,0.020760,0.019634,0.023994,2076.9
69,0.020612,0.019634,0.023153,2106.8
70,0.020896,0.019634,0.022812,2136.8
71,0.020969,0.019634,0.022780,2166.8
72,0.021169,0.019634,0.023367,2196.8
73,0.021209,0.019634,0.024628,2226.7
74,0.020781,0.019634,0.022614,2256.7
75,0.021265,0.019634,0.023602,2286.7
76,0.020838,0.019634,0.024840,2316.6
77,0.020626,0.019634,0.024397,2346.6
78,0.021095,0.019634,0.024425,2376.6
79,0.020453,0.019634,0.023606,2406.6
80,0.020957,0.019634,0.023273,2436.5
81,0.020667,0.019634,0.023067,2466.5
82,0.020163,0.019634,0.024182,2496.5
83,0.020656,0.019634,0.024078,2526.5
84,0.020343,0.019634,0.022696,2556.4
85,0.020705,0.019634,0.023092,2586.4
86,0.021359,0.019634,0.023061,2616.4
87,0.020968,0.019634,0.023695,2646.4
88,0.021022,0.019634,0.025927,2676.3
89,0.020727,0.019634,0.028501,2706.3
90,0.020841,0.019634,0.022879,2736.3
91,0.020583,0.019634,0.023152,2766.3
92,0.020732,0.019634,0.023783,2796.2
93,0.020714,0.019634,0.023179,2826.2
94,0.020768,0.019634,0.024727,2856.2
95,0.021025,0.019634,0.024676,2886.2
96,0.021036,0.019634,0.024725,2916.1
97,0.021114,0.019634,0.022886,2946.1
98,0.020208,0.019634,0.023893,2976.1
99,0.020826,0.019634,0.023499,3006.1
100,0.020930,0.019634,0.024783,3036.0
101,0.020908,0.019634,0.025005,3066.0
102,0.020602,0.019634,0.023261,3096.0
103,0.020397,0.019634,0.023809,3126.0
104,0.020581,0.019634,0.024295,3155.9
105,0.020424,0.019634,0.022467,3185.9
106,0.020149,0.019634,0.022803,3215.9
107,0.020475,0.019634,0.025870,3245.9
108,0.020328,0.019634,0.023580,3275.8
109,0.020549,0.019634,0.025089,3305.8
110,0.020582,0.019634,0.022939,3335.8
111,0.020754,0.019634,0.022647,3365.8
112,0.020710,0.019634,0.025576,3395.7
113,0.021168,0.019634,0.024560,3425.7
114,0.020942,0.019634,0.022874,3455.7
115,0.020176,0.019634,0.023410,3485.7
116,0.020266,0.019634,0.024893,3515.6
117,0.021226,0.019634,0.023917,3545.6
118,0.020775,0.019634,0.023209,3575.6
119,0.021118,0.019634,0.024507,3605.6
120,0.020230,0.019634,0.023232,3635.5
121,0.020977,0.019634,0.025378,3665.5
122,0.020780,0.019634,0.024863,3695.5
123,0.020761,0.019634,0.022353,3725.5
124,0.020362,0.019634,0.025538,3755.4
125,0.020407,0.019634,0.025238,3785.4
126,0.020995,0.019634,0.023029,3815.4
127,0.020801,0.019634,0.024901,3845.4
128,0.020841,0.019634,0.024461,3875.4
129,0.021281,0.019634,0.023215,3905.3
130,0.020471,0.019634,0.025264,3935.3
131,0.021222,0.019634,0.025177,3965.3
132,0.020988,0.019634,0.025934,3995.3
133,0.020771,0.019634,0.025430,4025.2
134,0.020191,0.019634,0.024860,4055.2
135,0.021330,0.019634,0.024745,4085.2
136,0.021125,0.019634,0.023263,4115.1
137,0.021066,0.019634,0.022812,4145.1
138,0.020702,0.019634,0.024920,4175.1
139,0.020493,0.019634,0.023178,4205.0
140,0.020920,0.019634,0.022699,4235.0
141,0.020686,0.019634,0.023594,4265.0
142,0.021134,0.019634,0.022941,4295.0
143,0.020946,0.019634,0.023583,4325.0
144,0.020890,0.019634,0.025815,4354.9
145,0.021197,0.019634,0.026300,4384.9
146,0.020282,0.019634,0.024340,4414.9
147,0.020581,0.019634,0.025296,4444.8
148,0.020175,0.019634,0.023430,4474.8
149,0.020497,0.019634,0.023328,4504.8
150,0.020892,0.019634,0.025261,4534.8
151,0.020683,0.019634,0.024637,4564.7
152,0.021162,0.019634,0.023364,4594.7
153,0.021145,0.019634,0.023757,4624.7
154,0.020842,0.019634,0.022786,4654.7
155,0.020674,0.019634,0.023940,4684.6
156,0.021094,0.019634,0.023411,4714.6
157,0.020873,0.019634,0.023591,4744.6
158,0.020907,0.019634,0.025474,4774.6
159,0.020599,0.019634,0.024205,4804.5
160,0.020709,0.019634,0.023592,4834.5
161,0.020661,0.019634,0.024924,4864.5
162,0.020550,0.019634,0.023684,4894.5
163,0.020457,0.019634,0.022860,4924.4
164,0.020486,0.019634,0.025218,4954.4
165,0.020882,0.019634,0.024210,4984.4
166,0.020307,0.019634,0.025037,5014.3
167,0.020247,0.019634,0.024748,5044.3
168,0.021191,0.019634,0.024236,5074.3
169,0.020205,0.019634,0.024615,5104.3
170,0.020442,0.019634,0.023475,5134.2
171,0.020832,0.019634,0.023176,5164.2
172,0.020946,0.019634,0.022641,5194.2
173,0.020761,0.019634,0.024678,5224.2
174,0.020691,0.019634,0.024151,5254.1
175,0.020598,0.019634,0.022779,5284.1
176,0.020287,0.019634,0.024688,5314.1
177,0.021302,0.019634,0.025106,5344.1
178,0.021287,0.019634,0.023196,5374.0
179,0.020626,0.019634,0.023969,5404.0
180,0.021113,0.019634,0.026655,5434.0
181,0.021032,0.019634,0.023522,5464.0
182,0.020840,0.019634,0.025105,5493.9
183,0.020470,0.019634,0.025219,5523.9
184,0.020581,0.019634,0.027076,5553.9
185,0.020739,0.019634,0.025470,5583.9
186,0.020917,0.019634,0.024707,5613.8
187,0.021301,0.019634,0.023021,5643.8
188,0.020651,0.019634,0.023689,5673.8
189,0.021225,0.019634,0.022895,5703.8
190,0.021092,0.019634,0.022952,5733.7
191,0.020706,0.019634,0.023969,5763.7
192,0.021196,0.019634,0.024073,5793.7
193,0.021047,0.019634,0.022487,5823.7
194,0.020677,0.019634,0.024721,5853.6
195,0.020305,0.019634,0.022515,5883.6
196,0.020758,0.019634,0.024789,5913.6
197,0.021023,0.019634,0.024459,5943.6
198,0.020685,0.019634,0.026019,5973.5
199,0.020822,0.019634,0.028931,6003.5
200,0.021192,0.019634,0.025484,6033.5
201,0.020961,0.019634,0.023666,6063.5
202,0.019811,0.019634,0.024446,6093.4
203,0.019810,0.019634,0.023539,6123.4
204,0.020896,0.019634,0.024045,6153.4
205,0.020697,0.019634,0.022550,6183.4
206,0.020628,0.019634,0.022852,6213.4
207,0.020591,0.019634,0.022865,6243.3
208,0.020753,0.019634,0.024711,6273.3
209,0.020856,0.019634,0.023043,6303.3
210,0.020634,0.019634,0.023439,6333.3
211,0.020921,0.019634,0.023008,6363.2
212,0.020441,0.019634,0.022783,6393.2
213,0.020433,0.019634,0.025851,6423.2
214,0.020715,0.019634,0.025378,6453.2
215,0.020319,0.019634,0.024137,6483.2
216,0.019847,0.019634,0.023431,6513.1
217,0.020658,0.019634,0.023431,6543.1
218,0.020454,0.019634,0.024224,6573.1
219,0.021431,0.019634,0.025810,6603.1
220,0.021109,0.019634,0.024626,6633.0
221,0.020739,0.019634,0.024893,6663.0
222,0.021118,0.019634,0.024542,6693.0
223,0.020357,0.019634,0.025246,6723.0
224,0.020792,0.019634,0.026365,6752.9
225,0.020969,0.019634,0.026085,6782.9
226,0.020312,0.019634,0.023412,6812.9
227,0.020689,0.019634,0.026643,6842.9
228,0.020654,0.019634,0.025507,6872.8
229,0.021015,0.019634,0.024222,6902.8
230,0.020485,0.019634,0.024579,6932.8
231,0.021065,0.019634,0.024062,6962.8
232,0.021161,0.019634,0.023802,6992.8
233,0.019441,0.019441,0.024891,7022.8
234,0.020901,0.019441,0.023436,7052.7
235,0.021063,0.019441,0.023611,7082.7
236,0.021081,0.019441,0.023325,7112.7
237,0.020832,0.019441,0.025351,7142.7
238,0.021107,0.019441,0.022710,7172.6
239,0.020675,0.019441,0.023282,7202.6
240,0.020992,0.019441,0.022477,7232.6
241,0.020742,0.019441,0.023901,7262.6
242,0.021121,0.019441,0.022916,7292.5
243,0.020179,0.019441,0.023366,7322.5
244,0.020939,0.019441,0.024235,7352.5
245,0.021270,0.019441,0.024444,7382.5
246,0.020786,0.019441,0.024668,7412.4
247,0.020383,0.019441,0.022843,7442.4
248,0.021155,0.019441,0.025050,7472.4
249,0.021318,0.019441,0.022836,7502.4
250,0.020588,0.019441,0.022546,7532.3
251,0.019898,0.019441,0.023334,7562.3
252,0.021025,0.019441,0.023120,7592.3
253,0.020643,0.019441,0.023052,7622.2
254,0.020671,0.019441,0.023380,7652.2
255,0.021238,0.019441,0.027317,7682.2
256,0.020209,0.019441,0.023308,7712.2
257,0.020562,0.019441,0.023560,7742.1
258,0.021328,0.019441,0.026000,7772.1
259,0.020873,0.019441,0.024765,7802.1
260,0.020956,0.019441,0.023688,7832.1
261,0.020960,0.019441,0.023586,7862.1
262,0.020627,0.019441,0.025495,7892.0
263,0.020565,0.019441,0.024607,7922.0
264,0.021020,0.019441,0.023641,7952.0
265,0.020469,0.019441,0.022980,7982.0
266,0.020105,0.019441,0.025290,8012.0
267,0.020779,0.019441,0.026209,8042.0
268,0.020490,0.019441,0.023673,8071.9
269,0.020215,0.019441,0.027113,8101.9
270,0.020259,0.019441,0.026338,8131.9
271,0.020784,0.019441,0.026668,8161.9
272,0.021104,0.019441,0.027173,8191.9
273,0.020439,0.019441,0.028406,8221.9
274,0.020577,0.019441,0.026081,8251.9
275,0.020914,0.019441,0.023084,8281.9
276,0.021258,0.019441,0.028095,8311.9
277,0.020493,0.019441,0.022981,8341.9
278,0.021214,0.019441,0.025357,8371.9
279,0.020908,0.019441,0.025282,8401.8
280,0.021423,0.019441,0.026114,8431.9
281,0.020346,0.019441,0.023363,8461.8
282,0.021171,0.019441,0.024528,8491.8
283,0.021203,0.019441,0.025913,8521.8
284,0.020872,0.019441,0.022733,8551.8
285,0.019496,0.019441,0.023475,8581.8
286,0.021073,0.019441,0.024048,8611.8
287,0.020977,0.019441,0.023171,8641.8
288,0.020959,0.019441,0.025486,8671.7
289,0.020640,0.019441,0.023146,8701.7
290,0.020690,0.019441,0.025416,8731.7
291,0.020243,0.019441,0.024133,8761.7
292,0.020725,0.019441,0.024578,8791.7
293,0.021255,0.019441,0.023421,8821.7
294,0.020807,0.019441,0.022932,8851.7
295,0.020273,0.019441,0.024576,8881.7
296,0.020777,0.019441,0.023149,8911.7
297,0.020543,0.019441,0.023177,8941.7
298,0.021272,0.019441,0.023581,8971.7
299,0.020539,0.019441,0.023084,9001.7
