step,m_k0,m_k1,m_k2
0,-0.015155,-0.000704,0.021216
1,-0.014451,-0.000672,0.020230
2,-0.013782,-0.000641,0.019293
3,-0.013145,-0.000611,0.018401
4,-0.012539,-0.000583,0.017553
5,-0.011963,-0.000556,0.016746
6,-0.011414,-0.000531,0.015979
7,-0.010893,-0.000506,0.015249
8,-0.010397,-0.000483,0.014554
9,-0.009925,-0.000461,0.013894
10,-0.015852,-0.000738,0.022181
11,-0.015147,-0.000705,0.021195
12,-0.014477,-0.000674,0.020257
13,-0.013840,-0.000644,0.019366
14,-0.013233,-0.000616,0.018517
15,-0.012657,-0.000589,0.017710
16,-0.012108,-0.000564,0.016943
17,-0.011586,-0.000539,0.016212
18,-0.011090,-0.000516,0.015518
19,-0.010618,-0.000494,0.014857
20,-0.016503,-0.000768,0.023092
21,-0.015798,-0.000736,0.022106
22,-0.015128,-0.000704,0.021169
23,-0.014491,-0.000675,0.020277
24,-0.013885,-0.000647,0.019429
25,-0.013308,-0.000620,0.018622
26,-0.012759,-0.000594,0.017854
27,-0.012237,-0.000570,0.017124
28,-0.011741,-0.000547,0.016429
29,-0.011269,-0.000525,0.015769
30,-0.017123,-0.000799,0.023958
31,-0.016418,-0.000766,0.022972
32,-0.015748,-0.000735,0.022035
33,-0.015111,-0.000705,0.021143
34,-0.014504,-0.000677,0.020295
35,-0.013928,-0.000650,0.019488
36,-0.013379,-0.000624,0.018720
37,-0.012857,-0.000600,0.017990
38,-0.012361,-0.000577,0.017295
39,-0.011889,-0.000555,0.016635
40,-0.017733,-0.000823,0.024781
41,-0.017027,-0.000790,0.023796
42,-0.016356,-0.000759,0.022858
43,-0.015718,-0.000729,0.021966
44,-0.015111,-0.000701,0.021118
45,-0.014533,-0.000674,0.020311
46,-0.013984,-0.000649,0.019543
47,-0.013461,-0.000625,0.018813
48,-0.012964,-0.000602,0.018118
49,-0.012491,-0.000580,0.017458
50,-0.018274,-0.000851,0.025565
51,-0.017569,-0.000818,0.024579
52,-0.016899,-0.000787,0.023641
53,-0.016262,-0.000758,0.022749
54,-0.015655,-0.000729,0.021901
55,-0.015078,-0.000702,0.021094
56,-0.014530,-0.000677,0.020326
57,-0.014008,-0.000653,0.019596
58,-0.013511,-0.000629,0.018901
59,-0.013039,-0.000607,0.018241
60,-0.018806,-0.000876,0.026308
61,-0.018101,-0.000843,0.025322
62,-0.017431,-0.000812,0.024384
63,-0.016793,-0.000782,0.023492
64,-0.016187,-0.000754,0.022644
65,-0.015610,-0.000727,0.021837
66,-0.015061,-0.000702,0.021069
67,-0.014539,-0.000677,0.020339
68,-0.014043,-0.000654,0.019644
69,-0.013570,-0.000632,0.018984
70,-0.019311,-0.000900,0.027014
71,-0.018607,-0.000867,0.026028
72,-0.017936,-0.000836,0.025090
73,-0.017299,-0.000806,0.024198
74,-0.016692,-0.000778,0.023350
75,-0.016115,-0.000751,0.022543
76,-0.015567,-0.000725,0.021775
77,-0.015045,-0.000701,0.021045
78,-0.014548,-0.000678,0.020350
79,-0.014076,-0.000656,0.019690
80,-0.019800,-0.000920,0.027683
81,-0.019095,-0.000887,0.026698
82,-0.018424,-0.000856,0.025760
83,-0.017786,-0.000827,0.024868
84,-0.017179,-0.000798,0.024020
