step,m_k0,m_k1,m_k2
0,0.015421,-0.000012,-0.018775
1,0.014704,-0.000012,-0.017903
2,0.014023,-0.000011,-0.017073
3,0.013375,-0.000011,-0.016284
4,0.012759,-0.000010,-0.015534
5,0.012172,-0.000010,-0.014820
6,0.011614,-0.000009,-0.014141
7,0.011084,-0.000009,-0.013495
8,0.010579,-0.000009,-0.012880
9,0.010099,-0.000008,-0.012295
10,0.016148,-0.000023,-0.019610
11,0.015430,-0.000022,-0.018739
12,0.014748,-0.000021,-0.017910
13,0.014098,-0.000020,-0.017122
14,0.013481,-0.000020,-0.016371
15,0.012893,-0.000019,-0.015658
16,0.012334,-0.000018,-0.014979
17,0.011803,-0.000017,-0.014334
18,0.011297,-0.000016,-0.013720
19,0.010816,-0.000016,-0.013136
20,0.016802,-0.000020,-0.020421
21,0.016085,-0.000019,-0.019550
22,0.015403,-0.000018,-0.018721
23,0.014754,-0.000018,-0.017932
24,0.014137,-0.000017,-0.017182
25,0.013550,-0.000016,-0.016468
26,0.012991,-0.000016,-0.015789
27,0.012460,-0.000015,-0.015144
28,0.011954,-0.000014,-0.014529
29,0.011474,-0.000014,-0.013945
30,0.017429,-0.000018,-0.021188
31,0.016712,-0.000018,-0.020316
32,0.016030,-0.000017,-0.019487
33,0.015381,-0.000016,-0.018698
34,0.014764,-0.000016,-0.017948
35,0.014177,-0.000015,-0.017234
36,0.013619,-0.000014,-0.016556
37,0.013087,-0.000014,-0.015910
38,0.012582,-0.000013,-0.015296
39,0.012102,-0.000013,-0.014711
40,0.018018,-0.000014,-0.021918
41,0.017301,-0.000013,-0.021046
42,0.016620,-0.000013,-0.020217
43,0.015971,-0.000012,-0.019428
44,0.015355,-0.000012,-0.018678
45,0.014768,-0.000012,-0.017964
46,0.014210,-0.000011,-0.017285
47,0.013679,-0.000011,-0.016639
48,0.013174,-0.000010,-0.016025
49,0.012694,-0.000010,-0.015441
50,0.018586,-0.000014,-0.022610
51,0.017870,-0.000013,-0.021738
52,0.017188,-0.000013,-0.020909
53,0.016540,-0.000012,-0.020120
54,0.015923,-0.000012,-0.019370
55,0.015336,-0.000012,-0.018656
56,0.014778,-0.000011,-0.017977
57,0.014248,-0.000011,-0.017331
58,0.013743,-0.000010,-0.016717
59,0.013262,-0.000010,-0.016133
60,0.019132,-0.000016,-0.023265
61,0.018415,-0.000016,-0.022393
62,0.017733,-0.000015,-0.021564
63,0.017085,-0.000015,-0.020775
64,0.016468,-0.000014,-0.020025
65,0.015881,-0.000014,-0.019311
66,0.015323,-0.000013,-0.018632
67,0.014791,-0.000013,-0.017987
68,0.014286,-0.000012,-0.017372
69,0.013806,-0.000012,-0.016788
70,0.019645,-0.000017,-0.023889
71,0.018928,-0.000017,-0.023018
72,0.018246,-0.000016,-0.022188
73,0.017598,-0.000015,-0.021400
74,0.016981,-0.000015,-0.020649
75,0.016394,-0.000014,-0.019936
76,0.015836,-0.000014,-0.019257
77,0.015305,-0.000013,-0.018611
78,0.014799,-0.000013,-0.017997
79,0.014319,-0.000013,-0.017412
80,0.020127,-0.000015,-0.024485
81,0.019410,-0.000015,-0.023613
82,0.018729,-0.000014,-0.022784
83,0.018080,-0.000014,-0.021995
84,0.017463,-0.000013,-0.021245
85,0.016877,-0.000013,-0.020531
86,0.016319,-0.000012,-0.019852
87,0.015788,-0.000012,-0.019206
88,0.015283,-0.000012,-0.018592
89,0.014803,-0.000011,-0.018007
90,0.020596,-0.000018,-0.025044
91,0.019879,-0.000017,-0.024173
92,0.019197,-0.000017,-0.023344
93,0.018548,-0.000016,-0.022555
94,0.017932,-0.000016,-0.021805
95,0.017345,-0.000015,-0.021091
96,0.016786,-0.000015,-0.020412
97,0.016255,-0.000014,-0.019766
98,0.015750,-0.000014,-0.019152
99,0.015270,-0.000013,-0.018568
100,0.021041,-0.000020,-0.025579
101,0.020324,-0.000020,-0.024707
102,0.019642,-0.000019,-0.023878
103,0.018993,-0.000018,-0.023089
104,0.018376,-0.000018,-0.022339
105,0.017789,-0.000017,-0.021625
106,0.017231,-0.000017,-0.020947
107,0.016699,-0.000016,-0.020301
108,0.016194,-0.000016,-0.019687
109,0.015713,-0.000015,-0.019102
110,0.021450,-0.000016,-0.026090
111,0.020733,-0.000016,-0.025218
112,0.020051,-0.000015,-0.024389
113,0.019403,-0.000015,-0.023600
114,0.018786,-0.000014,-0.022850
115,0.018199,-0.000014,-0.022136
116,0.017641,-0.000013,-0.021457
117,0.017110,-0.000013,-0.020811
118,0.016605,-0.000013,-0.020197
119,0.016125,-0.000012,-0.019613
120,0.021846,-0.000016,-0.026574
121,0.021129,-0.000016,-0.025702
122,0.020448,-0.000016,-0.024873
123,0.019799,-0.000015,-0.024084
124,0.019183,-0.000015,-0.023333
125,0.018596,-0.000014,-0.022620
126,0.018038,-0.000014,-0.021941
127,0.017507,-0.000013,-0.021295
128,0.017002,-0.000013,-0.020681
129,0.016522,-0.000013,-0.020096
130,0.022234,-0.000021,-0.027028
131,0.021517,-0.000021,-0.026157
132,0.020835,-0.000020,-0.025328
133,0.020186,-0.000019,-0.024539
134,0.019569,-0.000019,-0.023789
135,0.018982,-0.000018,-0.023075
136,0.018423,-0.000018,-0.022396
137,0.017892,-0.000017,-0.021751
138,0.017387,-0.000017,-0.021136
139,0.016906,-0.000016,-0.020552
140,0.022583,-0.000017,-0.027467
141,0.021866,-0.000016,-0.026595
142,0.021184,-0.000016,-0.025766
143,0.020536,-0.000015,-0.024977
144,0.019919,-0.000015,-0.024227
145,0.019332,-0.000014,-0.023513
146,0.018774,-0.000014,-0.022835
147,0.018243,-0.000014,-0.022189
148,0.017738,-0.000013,-0.021574
149,0.017258,-0.000013,-0.020990
150,0.023440,-0.000206,-0.027635
151,0.022699,-0.000197,-0.026775
152,0.021995,-0.000188,-0.025957
153,0.021324,-0.000180,-0.025178
154,0.020687,-0.000172,-0.024438
155,0.020081,-0.000164,-0.023733
156,0.019504,-0.000157,-0.023063
157,0.018955,-0.000150,-0.022426
158,0.018433,-0.000143,-0.021820
159,0.017937,-0.000137,-0.021243
160,0.023292,-0.000019,-0.028238
161,0.022574,-0.000019,-0.027368
162,0.021892,-0.000019,-0.026540
163,0.021242,-0.000019,-0.025752
164,0.020625,-0.000019,-0.025003
165,0.020037,-0.000018,-0.024290
166,0.019478,-0.000018,-0.023612
167,0.018946,-0.000018,-0.022967
168,0.018441,-0.000018,-0.022353
169,0.017959,-0.000018,-0.021770
170,0.023579,-0.000015,-0.028637
171,0.022862,-0.000015,-0.027766
172,0.022181,-0.000015,-0.026936
173,0.021532,-0.000015,-0.026148
174,0.020915,-0.000015,-0.025397
175,0.020328,-0.000015,-0.024683
176,0.019770,-0.000015,-0.024005
177,0.019239,-0.000015,-0.023359
178,0.018734,-0.000015,-0.022744
179,0.018253,-0.000015,-0.022160
180,0.023888,-0.000025,-0.028993
181,0.023170,-0.000024,-0.028121
182,0.022488,-0.000024,-0.027292
183,0.021838,-0.000023,-0.026503
184,0.021221,-0.000023,-0.025753
185,0.020633,-0.000023,-0.025039
186,0.020074,-0.000022,-0.024360
187,0.019543,-0.000022,-0.023714
188,0.019037,-0.000021,-0.023100
189,0.018556,-0.000021,-0.022516
190,0.024150,-0.000020,-0.029332
191,0.023433,-0.000020,-0.028460
192,0.022751,-0.000020,-0.027631
193,0.022102,-0.000019,-0.026842
194,0.021485,-0.000019,-0.026091
195,0.020898,-0.000019,-0.025378
196,0.020340,-0.000019,-0.024699
197,0.019809,-0.000018,-0.024053
198,0.019303,-0.000018,-0.023438
199,0.018823,-0.000018,-0.022854
200,0.024406,-0.000018,-0.029655
201,0.023689,-0.000018,-0.028783
202,0.023008,-0.000018,-0.027953
203,0.022359,-0.000018,-0.027164
204,0.021742,-0.000017,-0.026414
205,0.021156,-0.000017,-0.025700
206,0.020598,-0.000017,-0.025021
207,0.020067,-0.000017,-0.024375
208,0.019562,-0.000017,-0.023761
209,0.019081,-0.000017,-0.023176
210,0.024676,-0.000028,-0.029952
211,0.023958,-0.000027,-0.029081
212,0.023276,-0.000027,-0.028251
213,0.022626,-0.000026,-0.027463
214,0.022009,-0.000025,-0.026713
215,0.021421,-0.000025,-0.025999
216,0.020862,-0.000024,-0.025320
217,0.020331,-0.000024,-0.024675
218,0.019825,-0.000023,-0.024061
