donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,11.43,8.00,0.030477,0.012216,0.016984,0.008792,3.0
s1,1.000,11.77,13.20,0.035984,0.011270,0.020889,0.005369,0.7
s2,1.000,5.79,2.28,0.029812,0.015039,0.016758,0.009315,0.7
s3,1.000,11.46,13.26,0.034559,0.009484,0.021106,0.006069,0.7
s4,1.000,7.67,6.06,0.035278,0.009668,0.020417,0.007431,0.7
