donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,9.59,7.56,0.032254,0.020451,0.016812,0.011903,1.1
own,ctrl,1,1.000,14.36,14.48,0.026571,0.017643,0.016068,0.010709,0.4
own,ctrl,2,1.000,9.23,7.90,0.028727,0.017087,0.016785,0.011491,0.4
s0,ctrl,0,0.250,5.63,7.43,0.118273,0.039227,0.043660,0.015803,0.4
s0,ctrl,1,0.375,3.48,3.07,0.111749,0.042018,0.041827,0.017101,0.3
s0,ctrl,2,0.625,3.47,2.38,0.094686,0.045428,0.035008,0.018089,0.4
s2,ctrl,0,0.625,4.01,2.27,0.076660,0.040167,0.027664,0.016960,0.4
s2,ctrl,1,0.750,4.36,2.81,0.083320,0.053766,0.031572,0.022543,0.4
s2,ctrl,2,0.875,7.24,6.40,0.061985,0.045533,0.023644,0.014984,0.4
s3,ctrl,0,0.875,4.77,2.81,0.057075,0.027353,0.025617,0.013063,0.4
s3,ctrl,1,0.750,6.64,7.11,0.067491,0.030269,0.026729,0.012909,0.4
s3,ctrl,2,0.875,5.18,2.60,0.050876,0.030526,0.022703,0.015764,0.4
s4,ctrl,0,1.000,9.24,7.59,0.030084,0.018327,0.017761,0.011807,0.4
s4,ctrl,1,1.000,9.11,6.72,0.030314,0.020374,0.016461,0.010783,0.3
s4,ctrl,2,1.000,11.13,8.80,0.029419,0.018563,0.017170,0.011440,0.4
own_tonic,tonic,0,1.000,7.82,4.57,0.031670,0.025389,0.016517,0.013207,0.6
own_tonic,tonic,1,1.000,10.19,9.23,0.030016,0.019791,0.017596,0.012498,0.3
own_tonic,tonic,2,1.000,11.92,13.43,0.027357,0.019545,0.016991,0.012114,0.3
s0_tonic,tonic,0,0.125,2.96,2.62,0.147705,0.054631,0.056917,0.032543,0.6
s0_tonic,tonic,1,0.250,5.97,8.02,0.128811,0.043752,0.046897,0.020181,0.3
s0_tonic,tonic,2,0.250,5.61,7.28,0.126817,0.052024,0.046559,0.022311,0.3
s2_tonic,tonic,0,0.750,4.89,2.61,0.068712,0.044543,0.026561,0.017634,0.6
s2_tonic,tonic,1,0.750,6.81,8.12,0.070272,0.054423,0.026873,0.020100,0.3
s2_tonic,tonic,2,0.750,4.45,3.17,0.080065,0.047583,0.030188,0.018522,0.3
s3_tonic,tonic,0,0.875,7.76,7.79,0.060832,0.035274,0.025846,0.015650,0.6
s3_tonic,tonic,1,0.875,5.48,3.33,0.060981,0.037757,0.025565,0.017193,0.3
s3_tonic,tonic,2,0.875,5.77,2.97,0.055759,0.036157,0.024553,0.016023,0.3
s4_tonic,tonic,0,1.000,12.35,12.86,0.027398,0.016444,0.014651,0.010565,0.6
s4_tonic,tonic,1,1.000,11.78,12.80,0.029961,0.019409,0.018728,0.013518,0.3
s4_tonic,tonic,2,1.000,9.80,7.46,0.027913,0.016428,0.016578,0.011002,0.3
