gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.023305,0.023305,0.027199,58.4
1,0.022671,0.022671,0.025822,116.3
2,0.022901,0.022671,0.025140,177.4
3,0.021918,0.021918,0.025023,238.5
4,0.022977,0.021918,0.024658,304.3
5,0.020997,0.020997,0.024702,367.5
6,0.021431,0.020997,0.024817,430.8
7,0.022584,0.020997,0.024969,494.2
8,0.022313,0.020997,0.024697,557.5
9,0.022458,0.020997,0.024680,620.8
10,0.022277,0.020997,0.024578,684.1
11,0.022413,0.020997,0.024637,747.6
12,0.022923,0.020997,0.024939,811.1
13,0.022243,0.020997,0.024705,874.7
14,0.021790,0.020997,0.024468,938.2
15,0.022466,0.020997,0.024642,1001.8
16,0.022473,0.020997,0.024544,1065.3
17,0.021850,0.020997,0.024383,1128.8
18,0.021512,0.020997,0.024643,1192.3
19,0.022145,0.020997,0.024701,1255.9
20,0.021606,0.020997,0.024770,1319.5
21,0.023013,0.020997,0.024552,1383.0
22,0.022085,0.020997,0.024784,1446.4
23,0.022366,0.020997,0.024498,1509.8
24,0.021911,0.020997,0.024560,1573.1
25,0.022366,0.020997,0.024583,1636.3
26,0.022230,0.020997,0.024578,1699.4
27,0.021577,0.020997,0.024614,1762.6
28,0.020867,0.020867,0.024541,1825.8
29,0.022539,0.020867,0.024574,1889.1
30,0.022040,0.020867,0.024575,1952.3
31,0.022903,0.020867,0.024801,2015.5
32,0.021962,0.020867,0.024405,2078.8
33,0.021349,0.020867,0.024717,2142.1
34,0.022344,0.020867,0.024731,2205.6
35,0.021714,0.020867,0.024631,2269.2
36,0.023015,0.020867,0.025248,2337.2
37,0.021827,0.020867,0.024688,2405.8
38,0.023084,0.020867,0.025799,2474.7
39,0.023132,0.020867,0.024748,2543.3
40,0.021256,0.020867,0.024612,2612.0
41,0.021347,0.020867,0.024447,2680.7
42,0.021646,0.020867,0.024389,2749.4
43,0.021641,0.020867,0.024728,2818.2
44,0.021467,0.020867,0.024629,2887.1
45,0.022312,0.020867,0.025142,2956.2
46,0.022598,0.020867,0.024791,3025.0
47,0.021681,0.020867,0.024531,3093.7
48,0.022211,0.020867,0.024675,3162.3
49,0.022443,0.020867,0.024575,3231.0
50,0.020649,0.020649,0.024625,3296.1
51,0.023099,0.020649,0.024575,3363.5
52,0.021300,0.020649,0.024638,3435.4
53,0.022017,0.020649,0.024611,3504.9
54,0.022627,0.020649,0.024609,3573.6
55,0.022608,0.020649,0.024611,3642.5
56,0.023075,0.020649,0.024766,3711.4
57,0.023098,0.020649,0.024549,3780.2
58,0.021519,0.020649,0.024392,3849.0
59,0.022344,0.020649,0.024511,3917.8
60,0.022464,0.020649,0.024427,3986.7
61,0.022727,0.020649,0.024557,4055.7
62,0.021985,0.020649,0.024681,4124.6
63,0.022327,0.020649,0.024823,4193.6
64,0.022016,0.020649,0.024652,4262.5
65,0.019866,0.019866,0.024584,4331.4
66,0.022243,0.019866,0.024468,4400.1
67,0.021324,0.019866,0.024526,4468.9
68,0.021915,0.019866,0.024569,4537.6
69,0.022374,0.019866,0.024581,4606.2
70,0.022024,0.019866,0.024748,4671.4
71,0.021533,0.019866,0.024729,4743.0
72,0.022526,0.019866,0.024671,4811.4
73,0.022414,0.019866,0.024604,4877.2
74,0.022305,0.019866,0.024564,4946.0
75,0.022597,0.019866,0.024466,5017.2
76,0.021932,0.019866,0.024494,5086.7
77,0.022577,0.019866,0.024704,5154.4
78,0.021597,0.019866,0.024968,5220.4
79,0.022105,0.019866,0.024497,5288.0
80,0.022071,0.019866,0.024752,5356.8
81,0.022485,0.019866,0.024798,5425.6
82,0.022358,0.019866,0.024704,5494.3
83,0.022705,0.019866,0.024609,5563.1
84,0.021810,0.019866,0.024561,5631.9
85,0.022393,0.019866,0.024589,5700.7
86,0.022705,0.019866,0.024496,5769.6
87,0.022161,0.019866,0.024587,5838.3
88,0.022398,0.019866,0.024472,5907.0
89,0.022206,0.019866,0.024578,5975.7
90,0.020984,0.019866,0.024592,6044.4
91,0.022332,0.019866,0.024489,6113.1
92,0.022130,0.019866,0.024603,6181.8
93,0.022630,0.019866,0.024881,6250.5
94,0.021437,0.019866,0.024610,6319.1
95,0.021343,0.019866,0.024437,6387.8
96,0.022182,0.019866,0.024623,6456.4
97,0.022815,0.019866,0.024634,6525.2
98,0.021928,0.019866,0.024496,6593.8
99,0.021184,0.019866,0.024565,6662.4
100,0.021885,0.019866,0.024503,6731.0
101,0.022432,0.019866,0.024370,6799.7
102,0.021119,0.019866,0.024543,6868.3
103,0.022473,0.019866,0.024519,6937.0
104,0.022091,0.019866,0.024324,7005.7
105,0.022388,0.019866,0.024535,7074.3
106,0.021778,0.019866,0.024440,7143.0
107,0.021632,0.019866,0.024410,7211.6
108,0.021846,0.019866,0.024481,7280.2
109,0.022606,0.019866,0.024480,7348.8
110,0.021371,0.019866,0.024448,7417.5
111,0.022154,0.019866,0.024433,7486.3
112,0.022071,0.019866,0.024657,7555.2
113,0.021931,0.019866,0.024811,7623.9
114,0.021914,0.019866,0.024657,7692.8
115,0.021770,0.019866,0.024585,7761.6
116,0.020307,0.019866,0.024567,7830.5
117,0.020956,0.019866,0.024289,7899.2
118,0.022081,0.019866,0.024520,7967.9
119,0.021872,0.019866,0.024332,8036.6
120,0.022681,0.019866,0.024655,8105.3
121,0.022397,0.019866,0.024416,8173.9
122,0.022152,0.019866,0.024603,8242.5
123,0.021779,0.019866,0.024619,8311.3
124,0.021866,0.019866,0.024585,8380.2
125,0.022735,0.019866,0.024760,8449.0
126,0.022341,0.019866,0.024478,8517.8
127,0.021892,0.019866,0.024688,8586.7
128,0.022779,0.019866,0.024592,8655.4
129,0.022659,0.019866,0.024644,8724.2
130,0.022149,0.019866,0.024497,8792.9
