condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.056966,0.028696,17.5,1
closed_loop,0,1,0.028103,0.015612,5.5,1
closed_loop,0,2,0.057075,0.035166,2.3,1
closed_loop,0,3,0.019748,0.014630,5.2,1
closed_loop,0,4,0.026693,0.025305,4.5,1
closed_loop,0,5,0.050456,0.017116,3.8,1
closed_loop,0,6,0.002062,0.002382,6.3,1
closed_loop,0,7,0.009983,0.003331,9.6,1
closed_loop,1,0,0.059028,0.029369,6.6,1
closed_loop,1,1,0.026150,0.016768,6.5,1
closed_loop,1,2,0.060330,0.037699,3.2,1
closed_loop,1,3,0.034722,0.021648,4.2,1
closed_loop,1,4,0.026042,0.018067,3.7,1
closed_loop,1,5,0.048828,0.019141,3.7,1
closed_loop,1,6,0.002170,0.002137,7.6,1
closed_loop,1,7,0.009874,0.003277,9.7,1
closed_loop,2,0,0.059028,0.029181,7.1,1
closed_loop,2,1,0.020182,0.011298,9.1,1
closed_loop,2,2,0.056641,0.034737,3.2,1
closed_loop,2,3,0.047852,0.025523,2.8,1
closed_loop,2,4,0.031576,0.025009,2.2,1
closed_loop,2,5,0.020942,0.008874,11.7,1
closed_loop,2,6,0.002496,0.002486,7.3,1
closed_loop,2,7,0.013563,0.003483,10.2,1
closed_loop,3,0,0.059245,0.030422,6.0,1
closed_loop,3,1,0.017687,0.011018,9.4,1
closed_loop,3,2,0.062174,0.037568,2.4,1
closed_loop,3,3,0.036892,0.022498,4.4,1
closed_loop,3,4,0.048394,0.029004,1.0,1
closed_loop,3,5,0.049154,0.013544,4.5,1
closed_loop,3,6,0.001302,0.002099,6.9,1
closed_loop,3,7,0.013021,0.003862,10.1,1
closed_loop,4,0,0.056098,0.030677,5.9,1
closed_loop,4,1,0.024957,0.014746,8.1,1
closed_loop,4,2,0.060330,0.031810,2.7,1
closed_loop,4,3,0.034939,0.022805,4.6,1
closed_loop,4,4,0.016819,0.015873,4.3,1
closed_loop,4,5,0.024957,0.009380,5.2,1
closed_loop,4,6,0.002496,0.002494,7.7,1
closed_loop,4,7,0.016710,0.003555,10.2,1
static,0,0,0.066515,0.032430,6.1,1
static,0,1,0.029622,0.015870,4.9,1
static,0,2,0.057726,0.037684,2.7,1
static,0,3,0.029622,0.015351,4.9,1
static,0,4,0.040690,0.031054,1.2,1
static,0,5,0.050998,0.016406,4.5,1
static,0,6,0.000760,0.001714,7.9,1
static,0,7,0.015299,0.003026,9.7,1
static,1,0,0.063585,0.031301,5.5,1
static,1,1,0.018989,0.012524,7.3,1
static,1,2,0.058702,0.036553,2.6,1
static,1,3,0.028971,0.018188,5.5,1
static,1,4,0.032444,0.023569,3.6,1
static,1,5,0.016819,0.007889,6.5,1
static,1,6,0.000868,0.001855,7.5,1
static,1,7,0.011936,0.002744,9.9,1
static,2,0,0.064779,0.031530,6.0,1
static,2,1,0.029188,0.011929,5.6,1
static,2,2,0.060872,0.039797,2.6,1
static,2,3,0.035482,0.024331,4.3,1
static,2,4,0.051215,0.027275,1.5,1
static,2,5,0.019206,0.011237,4.5,1
static,2,6,0.000977,0.001785,7.8,1
static,2,7,0.010851,0.002565,10.8,1
static,3,0,0.065430,0.032647,6.2,1
static,3,1,0.016819,0.011990,9.5,1
static,3,2,0.053494,0.036093,2.2,1
static,3,3,0.037001,0.023485,4.5,1
static,3,4,0.048937,0.032402,0.8,1
static,3,5,0.050890,0.012421,5.6,1
static,3,6,0.000868,0.001889,8.0,1
static,3,7,0.011502,0.003327,10.7,1
static,4,0,0.065321,0.030529,6.6,1
static,4,1,0.029405,0.015863,5.5,1
static,4,2,0.057292,0.033524,2.5,1
static,4,3,0.034722,0.022696,5.0,1
static,4,4,0.044922,0.034369,0.8,1
static,4,5,0.017687,0.013357,3.6,1
static,4,6,0.000977,0.001828,7.4,1
static,4,7,0.010417,0.002703,11.4,1
constant,0,0,0.073785,0.033533,5.7,1
constant,0,1,0.016710,0.011318,6.3,1
constant,0,2,0.058594,0.037953,2.2,1
constant,0,3,0.030924,0.021723,5.2,1
constant,0,4,0.047960,0.035306,1.5,1
constant,0,5,0.015408,0.006726,6.4,1
constant,0,6,0.000977,0.001700,9.7,1
constant,0,7,0.013780,0.003514,10.8,1
constant,1,0,0.073025,0.033368,6.0,1
constant,1,1,0.015734,0.010888,7.2,1
constant,1,2,0.063694,0.033380,1.2,1
constant,1,3,0.038845,0.024496,2.9,1
constant,1,4,0.043294,0.029139,1.1,1
constant,1,5,0.058268,0.019235,2.6,1
constant,1,6,0.000868,0.001719,9.2,1
constant,1,7,0.012153,0.002838,10.9,1
constant,2,0,0.073459,0.035567,4.9,1
constant,2,1,0.016276,0.010825,8.2,1
constant,2,2,0.056532,0.030328,2.8,1
constant,2,3,0.032552,0.022967,3.3,1
constant,2,4,0.055447,0.027206,1.5,1
constant,2,5,0.020725,0.014118,3.8,1
constant,2,6,0.000868,0.001758,10.9,1
constant,2,7,0.011610,0.002653,9.8,1
constant,3,0,0.081814,0.033754,5.5,1
constant,3,1,0.021267,0.012408,7.5,1
constant,3,2,0.055664,0.032117,2.9,1
constant,3,3,0.030273,0.017385,4.9,1
constant,3,4,0.032661,0.024540,1.7,1
constant,3,5,0.025499,0.014765,3.0,1
constant,3,6,0.000868,0.001735,8.2,1
constant,3,7,0.011936,0.002901,9.8,1
constant,4,0,0.073351,0.033826,5.8,1
constant,4,1,0.025391,0.011905,7.1,1
constant,4,2,0.055990,0.035936,2.5,1
constant,4,3,0.037001,0.022533,3.3,1
constant,4,4,0.035048,0.022625,1.9,1
constant,4,5,0.016927,0.011155,4.1,1
constant,4,6,0.000977,0.001776,9.4,1
constant,4,7,0.015191,0.002884,9.7,1
random,0,0,0.755642,0.752894,0.0,0
random,0,1,0.782010,0.714153,0.0,0
random,0,2,0.568793,0.746000,0.0,0
random,0,3,0.790365,0.729095,0.0,0
random,0,4,0.774848,0.727378,0.0,0
random,0,5,0.582465,0.739432,0.0,0
random,0,6,0.694336,0.716598,0.0,0
random,0,7,0.811198,0.779146,0.0,0
random,1,0,0.779514,0.760857,0.0,0
random,1,1,0.817708,0.802246,0.0,0
random,1,2,0.791124,0.736707,0.0,0
random,1,3,0.753364,0.780191,0.0,0
random,1,4,0.671984,0.736365,0.0,0
random,1,5,0.802843,0.715816,0.0,0
random,1,6,0.620117,0.723010,0.0,0
random,1,7,0.763889,0.714636,0.0,0
random,2,0,0.703668,0.741872,0.0,0
random,2,1,0.815538,0.776611,0.0,0
random,2,2,0.782552,0.750493,0.0,0
random,2,3,0.706055,0.788423,0.0,0
random,2,4,0.575412,0.729038,0.0,0
random,2,5,0.685113,0.713102,0.0,0
random,2,6,0.668511,0.712311,0.0,0
random,2,7,0.765625,0.744447,0.0,0
random,3,0,0.817166,0.800600,0.0,0
random,3,1,0.822049,0.778715,0.0,0
random,3,2,0.739909,0.696482,0.0,0
random,3,3,0.780056,0.749849,0.0,0
random,3,4,0.793294,0.728298,0.0,0
random,3,5,0.781467,0.753701,0.0,0
random,3,6,0.785807,0.752476,0.0,0
random,3,7,0.783312,0.717715,0.0,0
random,4,0,0.769206,0.658200,0.0,0
random,4,1,0.738064,0.759194,0.0,0
random,4,2,0.762478,0.711749,0.0,0
random,4,3,0.748806,0.725901,0.0,0
random,4,4,0.629666,0.746902,0.0,0
random,4,5,0.779731,0.729418,0.0,0
random,4,6,0.796115,0.752281,0.0,0
random,4,7,0.793186,0.745132,0.0,0
no_modulation,0,0,0.061632,0.056819,8.8,1
no_modulation,0,1,0.040690,0.040542,2.5,1
no_modulation,0,2,0.044813,0.045461,3.2,1
no_modulation,0,3,0.031250,0.031465,3.5,1
no_modulation,0,4,0.026801,0.027915,3.8,1
no_modulation,0,5,0.057075,0.049105,2.5,1
no_modulation,0,6,0.032227,0.044552,1.5,1
no_modulation,0,7,0.037001,0.048233,0.2,1
no_modulation,1,0,0.035265,0.043088,6.4,1
no_modulation,1,1,0.030490,0.036064,1.8,1
no_modulation,1,2,0.037109,0.042038,2.8,1
no_modulation,1,3,0.042101,0.046206,3.3,1
no_modulation,1,4,0.053060,0.050703,3.9,1
no_modulation,1,5,0.061089,0.049224,3.2,1
no_modulation,1,6,0.038086,0.034745,6.4,1
no_modulation,1,7,0.040039,0.041073,0.8,1
no_modulation,2,0,0.051107,0.041782,10.5,1
no_modulation,2,1,0.046115,0.036733,3.0,1
no_modulation,2,2,0.039822,0.046179,3.2,1
no_modulation,2,3,0.046549,0.044287,2.7,1
no_modulation,2,4,0.025716,0.032624,2.9,1
no_modulation,2,5,0.058702,0.054901,1.5,1
no_modulation,2,6,0.035916,0.043994,0.9,1
no_modulation,2,7,0.028754,0.032949,2.7,1
no_modulation,3,0,0.056532,0.046532,4.0,1
no_modulation,3,1,0.034505,0.043479,3.2,1
no_modulation,3,2,0.056749,0.050922,4.3,1
no_modulation,3,3,0.028103,0.030073,3.8,1
no_modulation,3,4,0.058702,0.053653,2.8,1
no_modulation,3,5,0.057183,0.049680,2.9,1
no_modulation,3,6,0.036784,0.038358,1.6,1
no_modulation,3,7,0.039714,0.040022,1.6,1
no_modulation,4,0,0.044813,0.032714,25.8,1
no_modulation,4,1,0.037218,0.042760,2.5,1
no_modulation,4,2,0.060872,0.057848,2.8,1
no_modulation,4,3,0.025608,0.028504,3.6,1
no_modulation,4,4,0.026584,0.032159,3.8,1
no_modulation,4,5,0.040907,0.042059,2.9,1
no_modulation,4,6,0.039605,0.045197,1.2,1
no_modulation,4,7,0.044813,0.047211,0.6,1
