donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,7.18,6.46,0.036051,0.020326,0.019955,0.010113,1.1
own,ctrl,1,1.000,6.01,2.41,0.031630,0.020271,0.017656,0.012204,0.4
own,ctrl,2,1.000,5.98,2.68,0.033095,0.020887,0.019676,0.011954,0.4
s0,ctrl,0,1.000,4.93,2.84,0.037977,0.027355,0.020978,0.014818,0.4
s0,ctrl,1,1.000,5.21,3.45,0.040012,0.027060,0.020749,0.013536,0.3
s0,ctrl,2,1.000,5.07,2.58,0.038601,0.024635,0.021259,0.014564,0.4
s1,ctrl,0,1.000,5.15,2.49,0.034587,0.018612,0.019559,0.011345,0.4
s1,ctrl,1,1.000,8.56,7.19,0.027778,0.017498,0.016492,0.011075,0.4
s1,ctrl,2,1.000,5.93,2.74,0.033095,0.022501,0.019507,0.012161,0.4
s2,ctrl,0,0.500,1.79,1.20,0.109538,0.031351,0.052458,0.012938,0.4
s2,ctrl,1,0.375,2.44,1.41,0.107530,0.026284,0.051013,0.013509,0.4
s2,ctrl,2,0.250,1.65,1.07,0.120687,0.037492,0.053478,0.016360,0.4
s3,ctrl,0,1.000,5.18,2.67,0.032064,0.023198,0.018367,0.011646,0.4
s3,ctrl,1,1.000,6.15,3.10,0.032579,0.021764,0.017569,0.012871,0.3
s3,ctrl,2,1.000,5.82,3.00,0.034356,0.022421,0.018197,0.012186,0.4
own_tonic,tonic,0,1.000,5.98,2.90,0.030992,0.022202,0.017177,0.011812,0.6
own_tonic,tonic,1,1.000,5.38,3.03,0.037204,0.023068,0.019749,0.012541,0.3
own_tonic,tonic,2,1.000,8.21,7.40,0.035319,0.022551,0.018465,0.013622,0.3
s0_tonic,tonic,0,1.000,4.91,2.69,0.036540,0.025051,0.020317,0.013832,0.6
s0_tonic,tonic,1,1.000,5.15,2.83,0.043281,0.027296,0.021563,0.014201,0.3
s0_tonic,tonic,2,1.000,5.74,3.18,0.035997,0.026001,0.019054,0.014340,0.3
s1_tonic,tonic,0,1.000,5.92,2.37,0.027832,0.020236,0.015670,0.010286,0.6
s1_tonic,tonic,1,1.000,5.55,2.03,0.031793,0.020392,0.018704,0.012490,0.3
s1_tonic,tonic,2,1.000,5.29,2.68,0.032593,0.019111,0.019291,0.011768,0.3
s2_tonic,tonic,0,0.500,1.88,1.20,0.114421,0.032875,0.054371,0.016112,0.6
s2_tonic,tonic,1,0.500,2.38,1.23,0.109334,0.024873,0.052926,0.013642,0.3
s2_tonic,tonic,2,0.375,3.76,4.96,0.112196,0.030069,0.055380,0.013637,0.3
s3_tonic,tonic,0,1.000,5.62,2.89,0.034329,0.021874,0.018483,0.011700,0.6
s3_tonic,tonic,1,1.000,5.34,3.22,0.031521,0.016636,0.018712,0.011051,0.3
s3_tonic,tonic,2,1.000,5.04,2.85,0.040337,0.021506,0.021743,0.013472,0.3
