donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,7.41,6.74,0.034627,0.019035,0.019848,0.010319,3.0
s0,1.000,5.60,2.51,0.032525,0.024481,0.018271,0.013492,0.7
s1,1.000,5.88,2.66,0.035509,0.021902,0.020139,0.011152,0.7
s2,0.250,1.85,1.53,0.137180,0.041830,0.058752,0.014018,0.7
s3,1.000,5.11,3.17,0.041314,0.023440,0.020096,0.011657,0.7
