gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.023078,0.023078,0.028951,37.2
1,0.022769,0.022769,0.026245,67.0
2,0.022609,0.022609,0.024811,96.3
3,0.020887,0.020887,0.024865,125.7
4,0.023292,0.020887,0.024968,155.0
5,0.021053,0.020887,0.024855,184.3
6,0.022406,0.020887,0.025008,213.7
7,0.022211,0.020887,0.024715,243.0
8,0.022499,0.020887,0.024526,272.3
9,0.022565,0.020887,0.024760,301.7
10,0.022331,0.020887,0.024672,331.0
11,0.021113,0.020887,0.024451,360.3
12,0.021935,0.020887,0.024583,389.7
13,0.021563,0.020887,0.024558,419.0
14,0.022021,0.020887,0.024699,448.3
15,0.022090,0.020887,0.024425,477.7
16,0.020628,0.020628,0.025189,507.0
17,0.020972,0.020628,0.024535,536.3
18,0.022290,0.020628,0.024503,565.7
19,0.021422,0.020628,0.024520,595.0
20,0.021673,0.020628,0.024305,624.3
21,0.022602,0.020628,0.024687,653.7
22,0.021548,0.020628,0.024570,683.0
23,0.021497,0.020628,0.024149,712.3
24,0.021851,0.020628,0.024490,741.6
25,0.021538,0.020628,0.024464,771.0
26,0.021774,0.020628,0.024379,800.3
27,0.022253,0.020628,0.024622,829.6
28,0.021740,0.020628,0.024524,858.9
29,0.021640,0.020628,0.024503,888.3
30,0.022281,0.020628,0.024364,917.6
31,0.021835,0.020628,0.024468,946.9
32,0.021890,0.020628,0.024537,976.2
33,0.022317,0.020628,0.024585,1005.6
34,0.022624,0.020628,0.024407,1034.9
35,0.022096,0.020628,0.024540,1064.2
36,0.021836,0.020628,0.025249,1093.5
37,0.020751,0.020628,0.024451,1122.9
38,0.021151,0.020628,0.024454,1152.2
39,0.021625,0.020628,0.024639,1181.5
40,0.022025,0.020628,0.024513,1210.9
41,0.022184,0.020628,0.024560,1240.2
42,0.022330,0.020628,0.024519,1269.5
43,0.022709,0.020628,0.024799,1298.8
44,0.022625,0.020628,0.024639,1328.2
45,0.022781,0.020628,0.024601,1357.5
46,0.021756,0.020628,0.024735,1386.8
47,0.022813,0.020628,0.024776,1416.1
48,0.022009,0.020628,0.024493,1445.5
49,0.021468,0.020628,0.024435,1474.8
50,0.022560,0.020628,0.024347,1504.1
51,0.022256,0.020628,0.024498,1533.4
52,0.022201,0.020628,0.024671,1562.8
53,0.022735,0.020628,0.024699,1592.1
54,0.022035,0.020628,0.024599,1621.4
55,0.021856,0.020628,0.024690,1650.8
56,0.021633,0.020628,0.024481,1680.1
57,0.021202,0.020628,0.024539,1709.5
58,0.022069,0.020628,0.024713,1738.8
59,0.022515,0.020628,0.024607,1768.1
60,0.021689,0.020628,0.024317,1797.4
61,0.021816,0.020628,0.024534,1826.8
62,0.022167,0.020628,0.024548,1856.1
63,0.022389,0.020628,0.024622,1885.4
64,0.022432,0.020628,0.024427,1914.8
65,0.022547,0.020628,0.024631,1944.1
66,0.022023,0.020628,0.024493,1973.4
67,0.021147,0.020628,0.024519,2002.7
68,0.022219,0.020628,0.024579,2032.1
69,0.021899,0.020628,0.024374,2061.4
70,0.022600,0.020628,0.024638,2090.7
71,0.021739,0.020628,0.024609,2120.1
72,0.022218,0.020628,0.024387,2149.4
73,0.022174,0.020628,0.024645,2178.7
74,0.023168,0.020628,0.024866,2208.1
75,0.022830,0.020628,0.024567,2237.4
76,0.022438,0.020628,0.024387,2266.7
77,0.021720,0.020628,0.024626,2296.1
78,0.021432,0.020628,0.024780,2325.4
79,0.022692,0.020628,0.024573,2354.7
80,0.021992,0.020628,0.024542,2384.0
81,0.020950,0.020628,0.024448,2413.4
82,0.022744,0.020628,0.024343,2442.7
83,0.023043,0.020628,0.024772,2472.0
84,0.021823,0.020628,0.024505,2501.3
85,0.022595,0.020628,0.024634,2530.7
86,0.022706,0.020628,0.024648,2560.0
87,0.021517,0.020628,0.024458,2589.3
88,0.021545,0.020628,0.024271,2618.6
89,0.022327,0.020628,0.024738,2647.9
90,0.022994,0.020628,0.024656,2677.3
91,0.022241,0.020628,0.024492,2706.6
