donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,15.62,15.59,0.027995,0.016490,0.017119,0.013314,3.0
s0,1.000,9.97,8.56,0.027289,0.018055,0.017550,0.014627,0.7
s1,1.000,9.60,7.98,0.039673,0.018976,0.025238,0.015731,0.7
s2,1.000,19.00,14.56,0.029378,0.018938,0.019152,0.013900,0.7
s4,1.000,7.81,4.47,0.033705,0.014570,0.022264,0.012944,0.7
