donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,11.40,7.46,0.018066,0.014317,0.009949,0.007975,1.1
own,ctrl,1,1.000,9.92,7.68,0.020535,0.013096,0.012621,0.008533,0.4
own,ctrl,2,1.000,7.71,2.39,0.021783,0.014259,0.012812,0.007717,0.4
s0,ctrl,0,0.375,5.90,7.18,0.101712,0.034463,0.050647,0.023708,0.4
s0,ctrl,1,0.625,10.60,10.73,0.092746,0.031518,0.041595,0.018654,0.3
s0,ctrl,2,0.500,6.47,7.04,0.097928,0.035713,0.041755,0.021997,0.4
s1,ctrl,0,1.000,10.25,6.41,0.023478,0.013701,0.013800,0.007799,0.4
s1,ctrl,1,1.000,6.37,2.64,0.021715,0.018294,0.013951,0.008524,0.4
s1,ctrl,2,1.000,9.21,6.41,0.024373,0.015212,0.013740,0.008709,0.4
s3,ctrl,0,0.125,2.57,1.20,0.204753,0.080150,0.078050,0.039643,0.4
s3,ctrl,1,0.000,2.44,1.19,0.223809,0.046845,0.086309,0.028762,0.4
s3,ctrl,2,0.125,2.21,1.07,0.195285,0.060209,0.082203,0.028484,0.4
s4,ctrl,0,1.000,6.69,2.78,0.024509,0.017382,0.014397,0.009081,0.4
s4,ctrl,1,1.000,11.87,12.44,0.021552,0.015446,0.012728,0.007955,0.3
s4,ctrl,2,1.000,11.80,10.09,0.022325,0.013335,0.012490,0.007145,0.4
own_tonic,tonic,0,1.000,7.06,2.10,0.021783,0.016590,0.011990,0.008901,0.6
own_tonic,tonic,1,1.000,15.86,13.25,0.014486,0.014077,0.009553,0.007100,0.3
own_tonic,tonic,2,1.000,7.45,2.55,0.022515,0.012703,0.013439,0.008988,0.3
s0_tonic,tonic,0,0.625,7.46,9.95,0.090129,0.041505,0.045941,0.027075,0.6
s0_tonic,tonic,1,0.500,6.17,6.95,0.095717,0.033602,0.050832,0.019060,0.3
s0_tonic,tonic,2,0.500,7.05,9.84,0.086372,0.030442,0.045383,0.019052,0.3
s1_tonic,tonic,0,1.000,13.03,15.85,0.023397,0.015652,0.012996,0.008037,0.6
s1_tonic,tonic,1,1.000,9.54,6.55,0.021688,0.016754,0.012896,0.008822,0.3
s1_tonic,tonic,2,1.000,7.07,2.58,0.024672,0.016995,0.015742,0.010237,0.3
s3_tonic,tonic,0,0.125,2.25,0.72,0.176771,0.071253,0.077816,0.029781,0.6
s3_tonic,tonic,1,0.250,2.96,2.55,0.201213,0.070735,0.077605,0.036716,0.3
s3_tonic,tonic,2,0.250,2.52,1.43,0.180922,0.064565,0.077594,0.036615,0.3
s4_tonic,tonic,0,1.000,8.45,7.48,0.026191,0.016991,0.016729,0.010441,0.6
s4_tonic,tonic,1,1.000,10.66,9.88,0.024251,0.017616,0.014429,0.010032,0.3
s4_tonic,tonic,2,1.000,9.42,3.43,0.019070,0.015159,0.010606,0.006905,0.3
