gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.018979,0.018979,0.024783,37.6
1,0.020053,0.018979,0.024654,67.5
2,0.017747,0.017747,0.025393,96.9
3,0.018404,0.017747,0.023914,126.3
4,0.018453,0.017747,0.024210,155.6
5,0.019290,0.017747,0.023409,184.9
6,0.019298,0.017747,0.023802,214.3
7,0.018358,0.017747,0.023861,243.6
8,0.020397,0.017747,0.023874,273.0
9,0.018628,0.017747,0.023803,302.3
10,0.017556,0.017556,0.025315,331.7
11,0.019248,0.017556,0.023500,361.0
12,0.019015,0.017556,0.024554,390.3
13,0.018755,0.017556,0.023576,419.7
14,0.019277,0.017556,0.023531,449.0
15,0.019859,0.017556,0.023717,478.4
16,0.017573,0.017556,0.023140,507.7
17,0.018525,0.017556,0.023695,537.0
18,0.019414,0.017556,0.023732,566.4
19,0.019739,0.017556,0.023408,595.7
20,0.017376,0.017376,0.024042,625.0
21,0.018767,0.017376,0.023837,654.4
22,0.018813,0.017376,0.023648,683.8
23,0.018868,0.017376,0.023735,713.1
24,0.018981,0.017376,0.023589,742.4
25,0.019500,0.017376,0.023822,771.8
26,0.018053,0.017376,0.023609,801.1
27,0.019552,0.017376,0.024590,830.4
28,0.016159,0.016159,0.023372,859.8
29,0.019690,0.016159,0.025237,889.1
30,0.020496,0.016159,0.025149,918.4
31,0.017946,0.016159,0.023770,947.8
32,0.017159,0.016159,0.023618,977.1
33,0.018001,0.016159,0.023808,1006.4
34,0.018561,0.016159,0.023743,1035.8
35,0.018299,0.016159,0.024068,1065.1
36,0.018863,0.016159,0.023723,1094.4
37,0.016375,0.016159,0.023917,1123.8
38,0.019980,0.016159,0.024381,1153.1
39,0.019416,0.016159,0.023638,1182.5
40,0.019119,0.016159,0.023768,1211.8
41,0.018605,0.016159,0.024690,1241.1
42,0.018304,0.016159,0.023289,1270.5
43,0.019304,0.016159,0.023662,1299.8
44,0.019010,0.016159,0.025060,1329.1
45,0.018330,0.016159,0.023482,1358.5
46,0.016536,0.016159,0.023873,1387.8
47,0.019614,0.016159,0.023517,1417.2
