step,m_k0,m_k1,m_k2
0,0.004657,0.020239,-0.013238
1,0.004440,0.019298,-0.012623
2,0.004235,0.018404,-0.012038
3,0.004039,0.017554,-0.011482
4,0.003853,0.016745,-0.010952
5,0.003676,0.015975,-0.010449
6,0.003507,0.015243,-0.009970
7,0.003347,0.014546,-0.009515
8,0.003194,0.013884,-0.009081
9,0.003050,0.013254,-0.008669
10,0.004868,0.021153,-0.013839
11,0.004651,0.020213,-0.013224
12,0.004446,0.019319,-0.012639
13,0.004250,0.018468,-0.012083
14,0.004064,0.017659,-0.011553
15,0.003887,0.016890,-0.011050
16,0.003718,0.016158,-0.010571
17,0.003558,0.015461,-0.010115
18,0.003406,0.014799,-0.009682
19,0.003261,0.014169,-0.009270
20,0.005068,0.022026,-0.014397
21,0.004852,0.021086,-0.013783
22,0.004646,0.020191,-0.013198
23,0.004451,0.019341,-0.012642
24,0.004264,0.018531,-0.012113
25,0.004087,0.017762,-0.011610
26,0.003919,0.017030,-0.011132
27,0.003758,0.016333,-0.010676
28,0.003606,0.015671,-0.010243
29,0.003461,0.015040,-0.009831
30,0.005260,0.022853,-0.014944
31,0.005043,0.021913,-0.014329
32,0.004837,0.021019,-0.013744
33,0.004642,0.020168,-0.013188
34,0.004455,0.019359,-0.012659
35,0.004278,0.018589,-0.012155
36,0.004110,0.017857,-0.011677
37,0.003949,0.017160,-0.011221
38,0.003797,0.016498,-0.010788
39,0.003652,0.015868,-0.010376
40,0.005440,0.023638,-0.015459
41,0.005224,0.022698,-0.014845
42,0.005018,0.021803,-0.014260
43,0.004822,0.020953,-0.013703
44,0.004636,0.020143,-0.013174
45,0.004459,0.019374,-0.012671
46,0.004290,0.018641,-0.012192
47,0.004130,0.017945,-0.011736
48,0.003977,0.017282,-0.011303
49,0.003832,0.016652,-0.010891
50,0.005612,0.024385,-0.015944
51,0.005396,0.023444,-0.015330
52,0.005190,0.022550,-0.014745
53,0.004994,0.021699,-0.014189
54,0.004808,0.020890,-0.013659
55,0.004631,0.020120,-0.013156
56,0.004462,0.019388,-0.012677
57,0.004302,0.018692,-0.012222
58,0.004149,0.018029,-0.011789
59,0.004004,0.017399,-0.011377
60,0.005775,0.025091,-0.016412
61,0.005559,0.024151,-0.015797
62,0.005353,0.023257,-0.015212
63,0.005157,0.022406,-0.014656
64,0.004971,0.021597,-0.014126
65,0.004794,0.020827,-0.013623
66,0.004625,0.020095,-0.013144
67,0.004465,0.019399,-0.012688
68,0.004312,0.018736,-0.012255
69,0.004167,0.018106,-0.011843
70,0.005930,0.025767,-0.016840
71,0.005713,0.024827,-0.016226
72,0.005508,0.023933,-0.015642
73,0.005312,0.023082,-0.015086
74,0.005126,0.022272,-0.014557
75,0.004948,0.021503,-0.014054
76,0.004780,0.020770,-0.013575
77,0.004620,0.020074,-0.013120
78,0.004467,0.019411,-0.012687
79,0.004322,0.018781,-0.012275
80,0.006078,0.026406,-0.017268
81,0.005861,0.025466,-0.016654
82,0.005655,0.024571,-0.016069
83,0.005460,0.023721,-0.015512
84,0.005273,0.022911,-0.014983
85,0.005096,0.022142,-0.014480
86,0.004928,0.021409,-0.014001
87,0.004767,0.020713,-0.013545
88,0.004615,0.020050,-0.013112
89,0.004470,0.019420,-0.012700
90,0.006217,0.027014,-0.017660
91,0.006001,0.026074,-0.017045
92,0.005795,0.025179,-0.016461
93,0.005599,0.024329,-0.015904
94,0.005413,0.023519,-0.015375
95,0.005236,0.022750,-0.014872
96,0.005067,0.022017,-0.014394
97,0.004907,0.021321,-0.013938
98,0.004754,0.020658,-0.013505
99,0.004609,0.020028,-0.013093
100,0.006350,0.027590,-0.018043
101,0.006134,0.026650,-0.017428
102,0.005928,0.025756,-0.016843
103,0.005732,0.024905,-0.016287
104,0.005546,0.024096,-0.015757
105,0.005369,0.023326,-0.015254
106,0.005200,0.022594,-0.014775
107,0.005040,0.021897,-0.014320
108,0.004888,0.021235,-0.013886
109,0.004742,0.020605,-0.013474
110,0.006477,0.028138,-0.018403
111,0.006260,0.027198,-0.017788
112,0.006055,0.026304,-0.017203
113,0.005859,0.025453,-0.016646
114,0.005672,0.024644,-0.016117
115,0.005495,0.023874,-0.015614
116,0.005327,0.023142,-0.015135
117,0.005166,0.022445,-0.014679
118,0.005014,0.021783,-0.014246
119,0.004869,0.021153,-0.013834
120,0.006597,0.028659,-0.018743
121,0.006380,0.027719,-0.018128
122,0.006174,0.026825,-0.017543
123,0.005979,0.025974,-0.016987
124,0.005792,0.025165,-0.016457
125,0.005615,0.024395,-0.015954
126,0.005447,0.023663,-0.015475
127,0.005286,0.022966,-0.015020
128,0.005134,0.022304,-0.014586
129,0.004989,0.021674,-0.014174
130,0.006711,0.029157,-0.019058
131,0.006495,0.028217,-0.018444
132,0.006289,0.027322,-0.017859
133,0.006093,0.026471,-0.017303
134,0.005907,0.025662,-0.016774
135,0.005729,0.024892,-0.016271
136,0.005561,0.024160,-0.015792
137,0.005401,0.023463,-0.015337
138,0.005248,0.022801,-0.014904
139,0.005103,0.022170,-0.014492
140,0.006820,0.029626,-0.019374
141,0.006603,0.028685,-0.018759
142,0.006397,0.027791,-0.018174
143,0.006201,0.026940,-0.017617
144,0.006015,0.026131,-0.017088
145,0.005838,0.025361,-0.016585
146,0.005669,0.024629,-0.016106
147,0.005509,0.023932,-0.015650
148,0.005356,0.023270,-0.015217
149,0.005211,0.022639,-0.014805
150,0.006939,0.030173,-0.019410
151,0.006722,0.029228,-0.018807
