donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,9.52,7.58,0.032850,0.021558,0.017317,0.012848,3.0
s0,0.375,3.51,2.19,0.107015,0.041553,0.038702,0.016684,0.7
s2,0.500,5.02,2.95,0.082058,0.050853,0.029945,0.017000,0.7
s3,0.875,5.43,3.49,0.055027,0.032462,0.024002,0.014816,0.7
s4,1.000,14.21,13.66,0.031141,0.020027,0.017444,0.012540,0.7
