step,m_k0,m_k1,m_k2
0,-0.018272,-0.021691,-0.004557
1,-0.017424,-0.020683,-0.004346
2,-0.016616,-0.019725,-0.004144
3,-0.015848,-0.018813,-0.003953
4,-0.015118,-0.017946,-0.003771
5,-0.014423,-0.017121,-0.003597
6,-0.013762,-0.016337,-0.003432
7,-0.013133,-0.015590,-0.003276
8,-0.012535,-0.014880,-0.003126
9,-0.011966,-0.014205,-0.002984
10,-0.019085,-0.022653,-0.004772
11,-0.018237,-0.021646,-0.004560
12,-0.017430,-0.020689,-0.004358
13,-0.016663,-0.019778,-0.004166
14,-0.015933,-0.018912,-0.003984
15,-0.015239,-0.018088,-0.003810
16,-0.014578,-0.017304,-0.003645
17,-0.013950,-0.016558,-0.003488
18,-0.013352,-0.015848,-0.003338
19,-0.012784,-0.015174,-0.003196
20,-0.019855,-0.023571,-0.004976
21,-0.019007,-0.022565,-0.004764
22,-0.018201,-0.021608,-0.004562
23,-0.017435,-0.020698,-0.004369
24,-0.016705,-0.019832,-0.004186
25,-0.016011,-0.019008,-0.004013
26,-0.015352,-0.018225,-0.003847
27,-0.014724,-0.017479,-0.003690
28,-0.014127,-0.016770,-0.003540
29,-0.013559,-0.016096,-0.003398
30,-0.020633,-0.024490,-0.005142
31,-0.019784,-0.023482,-0.004930
32,-0.018976,-0.022524,-0.004729
33,-0.018208,-0.021612,-0.004538
34,-0.017478,-0.020745,-0.004356
35,-0.016783,-0.019920,-0.004183
36,-0.016121,-0.019135,-0.004018
37,-0.015493,-0.018389,-0.003861
38,-0.014894,-0.017678,-0.003712
39,-0.014325,-0.017003,-0.003571
40,-0.021343,-0.025331,-0.005318
41,-0.020494,-0.024324,-0.005106
42,-0.019686,-0.023365,-0.004905
43,-0.018918,-0.022453,-0.004714
44,-0.018187,-0.021586,-0.004532
45,-0.017492,-0.020761,-0.004359
46,-0.016831,-0.019977,-0.004194
47,-0.016202,-0.019230,-0.004037
48,-0.015604,-0.018520,-0.003888
49,-0.015035,-0.017845,-0.003747
50,-0.021991,-0.026106,-0.005500
51,-0.021144,-0.025099,-0.005288
