gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.013194,0.013194,0.029638,37.1
1,0.013516,0.013194,0.019864,67.0
2,0.012630,0.012630,0.019302,96.3
3,0.013481,0.012630,0.017919,125.6
4,0.012954,0.012630,0.016255,155.0
5,0.012915,0.012630,0.016376,184.3
6,0.012703,0.012630,0.015737,213.6
7,0.013105,0.012630,0.015870,243.0
8,0.012786,0.012630,0.017257,272.3
9,0.012734,0.012630,0.016129,301.6
10,0.012928,0.012630,0.017403,331.0
11,0.013484,0.012630,0.016297,360.3
12,0.012666,0.012630,0.015634,389.6
13,0.013613,0.012630,0.016128,419.0
14,0.013369,0.012630,0.016184,448.3
15,0.013576,0.012630,0.015974,477.7
16,0.013402,0.012630,0.015777,507.0
17,0.013311,0.012630,0.015993,536.3
18,0.012717,0.012630,0.015877,565.6
19,0.012220,0.012220,0.016036,595.0
20,0.013722,0.012220,0.016118,624.3
21,0.013989,0.012220,0.016263,653.6
22,0.012175,0.012175,0.015973,683.0
23,0.013243,0.012175,0.015906,712.3
24,0.013009,0.012175,0.016136,741.6
25,0.013413,0.012175,0.016315,771.0
26,0.013797,0.012175,0.016160,800.3
27,0.013842,0.012175,0.016266,829.6
28,0.012785,0.012175,0.015959,859.0
29,0.012813,0.012175,0.015966,888.3
30,0.012428,0.012175,0.016168,917.6
31,0.013458,0.012175,0.016350,947.0
32,0.012736,0.012175,0.015959,976.3
33,0.012177,0.012175,0.015936,1005.7
34,0.012536,0.012175,0.015844,1035.0
35,0.013210,0.012175,0.016269,1064.3
36,0.013547,0.012175,0.015777,1093.6
37,0.013255,0.012175,0.016106,1123.0
38,0.012750,0.012175,0.016268,1152.3
39,0.013228,0.012175,0.015750,1181.6
40,0.012344,0.012175,0.015718,1211.0
41,0.013144,0.012175,0.016040,1240.3
42,0.013625,0.012175,0.015813,1269.6
43,0.013448,0.012175,0.015962,1299.0
44,0.013254,0.012175,0.015905,1328.3
45,0.013059,0.012175,0.016395,1357.6
46,0.013112,0.012175,0.016100,1387.0
47,0.012853,0.012175,0.015783,1416.3
48,0.012035,0.012035,0.016041,1445.6
49,0.012929,0.012035,0.016115,1475.0
50,0.013550,0.012035,0.016105,1504.3
51,0.013219,0.012035,0.015731,1533.7
52,0.012505,0.012035,0.016529,1563.0
53,0.013300,0.012035,0.016169,1592.3
