donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,9.07,6.40,0.027696,0.017679,0.017374,0.012522,3.0
s0,1.000,13.42,12.15,0.028754,0.017770,0.017280,0.012209,0.7
s1,1.000,4.37,3.65,0.047295,0.027198,0.029049,0.018303,0.7
s2,1.000,13.13,10.48,0.030192,0.016766,0.019225,0.012745,0.7
s4,1.000,10.16,7.31,0.036418,0.024020,0.018656,0.015778,0.7
