condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
constant,4,4,0.015408,0.013048,5.8,1
constant,4,5,0.029839,0.016589,4.2,1
constant,4,6,0.004557,0.003255,6.8,1
constant,4,7,0.029731,0.008683,12.2,1
random,0,0,0.933811,0.889578,0.0,0
random,0,1,0.948025,0.887783,0.0,0
random,0,2,0.934136,0.898287,0.0,0
random,0,3,0.834093,0.867724,0.0,0
random,0,4,0.921767,0.879978,0.0,0
random,0,5,0.944987,0.873771,0.0,0
random,0,6,0.930881,0.876822,0.0,0
random,0,7,0.944010,0.897752,0.0,0
random,1,0,0.939996,0.880384,0.0,0
random,1,1,0.214410,0.874530,0.0,0
random,1,2,0.943142,0.891408,0.0,0
random,1,3,0.931532,0.885396,0.0,0
random,1,4,0.908420,0.893783,0.0,0
random,1,5,0.932400,0.864912,0.0,0
random,1,6,0.931424,0.889628,0.0,0
random,1,7,0.937934,0.900383,0.0,0
random,2,0,0.850260,0.880067,0.0,0
random,2,1,0.944336,0.858773,0.0,0
random,2,2,0.916233,0.890603,0.0,0
random,2,3,0.905273,0.881989,0.0,0
random,2,4,0.937392,0.875270,0.0,0
random,2,5,0.934462,0.884549,0.0,0
random,2,6,0.943251,0.881422,0.0,0
random,2,7,0.944553,0.889477,0.0,0
random,3,0,0.926975,0.897182,0.0,0
random,3,1,0.936849,0.891613,0.0,0
random,3,2,0.831489,0.889637,0.0,0
random,3,3,0.927734,0.892517,0.0,0
random,3,4,0.944770,0.880034,0.0,0
random,3,5,0.929688,0.897722,0.0,0
random,3,6,0.937392,0.897152,0.0,0
random,3,7,0.941840,0.880865,0.0,0
random,4,0,0.915473,0.889369,0.0,0
random,4,1,0.694010,0.894768,0.0,0
random,4,2,0.919162,0.886271,0.0,0
random,4,3,0.906576,0.887455,0.0,0
random,4,4,0.940538,0.891933,0.0,0
random,4,5,0.922526,0.901360,0.0,0
random,4,6,0.926975,0.892406,0.0,0
random,4,7,0.939779,0.881322,0.0,0
no_modulation,0,0,0.047743,0.029156,27.8,1
no_modulation,0,1,0.037543,0.029861,4.4,1
no_modulation,0,2,0.045464,0.017719,6.2,1
no_modulation,0,3,0.035916,0.020269,5.1,1
no_modulation,0,4,0.037543,0.017891,5.6,1
no_modulation,0,5,0.031793,0.019377,5.3,1
no_modulation,0,6,0.039171,0.020483,5.5,1
no_modulation,0,7,0.031901,0.011666,6.8,1
no_modulation,1,0,0.040799,0.024535,27.8,1
no_modulation,1,1,0.031250,0.025776,4.3,1
no_modulation,1,2,0.042101,0.022903,4.0,1
no_modulation,1,3,0.020074,0.015082,7.5,1
no_modulation,1,4,0.036892,0.024699,3.7,1
no_modulation,1,5,0.016602,0.014153,7.3,1
no_modulation,1,6,0.029080,0.015084,4.4,1
no_modulation,1,7,0.012587,0.011611,7.8,1
no_modulation,2,0,0.048069,0.026769,53.7,1
no_modulation,2,1,0.037435,0.031466,3.2,1
no_modulation,2,2,0.032552,0.017985,5.9,1
no_modulation,2,3,0.030382,0.019768,6.5,1
no_modulation,2,4,0.024089,0.022265,4.3,1
no_modulation,2,5,0.027127,0.015738,6.5,1
no_modulation,2,6,0.035265,0.018656,3.2,1
no_modulation,2,7,0.031359,0.010242,6.5,1
no_modulation,3,0,0.054253,0.031660,8.1,1
no_modulation,3,1,0.037435,0.029929,3.8,1
no_modulation,3,2,0.035699,0.013676,5.9,1
no_modulation,3,3,0.036892,0.025837,3.6,1
no_modulation,3,4,0.047418,0.033557,1.5,1
no_modulation,3,5,0.022027,0.015076,23.8,1
no_modulation,3,6,0.023763,0.011592,5.5,1
no_modulation,3,7,0.037977,0.012297,6.4,1
no_modulation,4,0,0.046549,0.032345,46.2,1
no_modulation,4,1,0.039497,0.032163,5.1,1
no_modulation,4,2,0.042752,0.019198,5.1,1
no_modulation,4,3,0.034180,0.024033,4.7,1
no_modulation,4,4,0.033854,0.022113,6.5,1
no_modulation,4,5,0.017036,0.015940,7.5,1
no_modulation,4,6,0.035590,0.015030,3.5,1
no_modulation,4,7,0.035265,0.014119,6.8,1
