gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.020861,0.020861,0.023090,37.2
1,0.020548,0.020548,0.024224,67.1
2,0.021066,0.020548,0.023648,96.4
3,0.020747,0.020548,0.023834,125.7
4,0.020075,0.020075,0.024093,155.0
5,0.019842,0.019842,0.022905,184.4
6,0.020955,0.019842,0.025498,213.7
7,0.020824,0.019842,0.023382,243.0
8,0.020708,0.019842,0.024362,272.4
9,0.021213,0.019842,0.024126,301.7
10,0.020951,0.019842,0.024893,331.0
11,0.020669,0.019842,0.023410,360.4
12,0.020694,0.019842,0.023166,389.7
13,0.020576,0.019842,0.022637,419.1
14,0.020236,0.019842,0.022353,448.4
15,0.019990,0.019842,0.023222,477.7
16,0.020704,0.019842,0.022538,507.1
17,0.020009,0.019842,0.022679,536.4
18,0.020527,0.019842,0.022380,565.8
19,0.020698,0.019842,0.023845,595.1
20,0.020709,0.019842,0.024433,624.5
21,0.020824,0.019842,0.022833,653.8
22,0.021200,0.019842,0.022434,683.2
23,0.020049,0.019842,0.024790,712.5
24,0.020453,0.019842,0.022191,741.9
25,0.020256,0.019842,0.022297,771.2
26,0.020481,0.019842,0.022840,800.6
27,0.020545,0.019842,0.022367,829.9
28,0.020644,0.019842,0.023019,859.3
29,0.020695,0.019842,0.024280,888.6
30,0.020946,0.019842,0.023136,918.0
31,0.020105,0.019842,0.022484,947.3
32,0.021027,0.019842,0.022375,976.7
33,0.020674,0.019842,0.022381,1006.0
34,0.020572,0.019842,0.022810,1035.4
35,0.020600,0.019842,0.023554,1064.7
36,0.020688,0.019842,0.023082,1094.1
37,0.020817,0.019842,0.023203,1123.4
38,0.020869,0.019842,0.024349,1152.8
39,0.021067,0.019842,0.025146,1182.1
40,0.021055,0.019842,0.022595,1211.5
41,0.020335,0.019842,0.022285,1240.8
42,0.020691,0.019842,0.024258,1270.2
43,0.020847,0.019842,0.023025,1299.5
44,0.020610,0.019842,0.022654,1328.8
45,0.021101,0.019842,0.023367,1358.2
46,0.020467,0.019842,0.023614,1387.5
47,0.020746,0.019842,0.024029,1416.9
48,0.020614,0.019842,0.024709,1446.2
49,0.020926,0.019842,0.023694,1475.6
50,0.020279,0.019842,0.023333,1504.9
51,0.020941,0.019842,0.022700,1534.3
52,0.020976,0.019842,0.023748,1563.6
53,0.020032,0.019842,0.024293,1593.0
54,0.020424,0.019842,0.023344,1622.3
55,0.020654,0.019842,0.023042,1651.6
56,0.021041,0.019842,0.023154,1681.0
57,0.020554,0.019842,0.022260,1710.3
58,0.020554,0.019842,0.022354,1739.6
59,0.020908,0.019842,0.023793,1769.0
60,0.020306,0.019842,0.024707,1798.3
61,0.020443,0.019842,0.022481,1827.7
62,0.020790,0.019842,0.022722,1857.0
63,0.020908,0.019842,0.022389,1886.4
64,0.020006,0.019842,0.023394,1915.7
65,0.020616,0.019842,0.023308,1945.0
66,0.020948,0.019842,0.023814,1974.4
67,0.020827,0.019842,0.025898,2003.7
68,0.020700,0.019842,0.024190,2033.1
69,0.021177,0.019842,0.023684,2062.4
70,0.020552,0.019842,0.025518,2091.8
71,0.020773,0.019842,0.022572,2121.1
72,0.020190,0.019842,0.022462,2150.4
73,0.020666,0.019842,0.022612,2179.8
74,0.020600,0.019842,0.023326,2209.1
75,0.020844,0.019842,0.023477,2238.5
76,0.020780,0.019842,0.023663,2267.8
77,0.019866,0.019842,0.023487,2297.2
78,0.021068,0.019842,0.024018,2326.5
79,0.020323,0.019842,0.022150,2355.9
80,0.020803,0.019842,0.022388,2385.2
81,0.020505,0.019842,0.022965,2414.6
82,0.020838,0.019842,0.022968,2443.9
83,0.020988,0.019842,0.023882,2473.3
84,0.021156,0.019842,0.023942,2502.6
85,0.020446,0.019842,0.023813,2531.9
86,0.020286,0.019842,0.022924,2561.3
87,0.020709,0.019842,0.023571,2590.6
88,0.020441,0.019842,0.024444,2620.0
89,0.020686,0.019842,0.022754,2649.3
90,0.020232,0.019842,0.023001,2678.7
91,0.020072,0.019842,0.023890,2708.0
92,0.020824,0.019842,0.022243,2737.4
93,0.020814,0.019842,0.024479,2766.7
94,0.020106,0.019842,0.022326,2796.0
95,0.020891,0.019842,0.024435,2825.4
96,0.020540,0.019842,0.023528,2854.7
97,0.020123,0.019842,0.026205,2884.0
98,0.020713,0.019842,0.025180,2913.4
99,0.020609,0.019842,0.022087,2942.7
100,0.020934,0.019842,0.023194,2972.0
101,0.020771,0.019842,0.024120,3001.4
102,0.020613,0.019842,0.024318,3030.7
103,0.020545,0.019842,0.026811,3060.1
104,0.020476,0.019842,0.022899,3089.4
105,0.020694,0.019842,0.022967,3118.8
106,0.020589,0.019842,0.023347,3148.1
107,0.020313,0.019842,0.024485,3177.5
108,0.020934,0.019842,0.024818,3206.8
109,0.020632,0.019842,0.022721,3236.2
110,0.020507,0.019842,0.022182,3265.5
111,0.020438,0.019842,0.023365,3294.8
112,0.020858,0.019842,0.023494,3324.2
113,0.020345,0.019842,0.022338,3353.5
114,0.020162,0.019842,0.023568,3382.9
115,0.019927,0.019842,0.024277,3412.2
116,0.020749,0.019842,0.022810,3441.6
117,0.020426,0.019842,0.022716,3470.9
118,0.020635,0.019842,0.022441,3500.3
119,0.020556,0.019842,0.023621,3529.6
120,0.020610,0.019842,0.022848,3559.0
121,0.020993,0.019842,0.023258,3588.3
122,0.020074,0.019842,0.022792,3617.7
123,0.020453,0.019842,0.022632,3647.0
124,0.020127,0.019842,0.024012,3676.4
125,0.020323,0.019842,0.024136,3705.7
126,0.020519,0.019842,0.022222,3735.0
127,0.020080,0.019842,0.022247,3764.4
128,0.020735,0.019842,0.022971,3793.7
129,0.020591,0.019842,0.022559,3823.1
130,0.019717,0.019717,0.022873,3852.4
131,0.020840,0.019717,0.022866,3881.8
132,0.020845,0.019717,0.022751,3911.1
133,0.020476,0.019717,0.023970,3940.5
134,0.020721,0.019717,0.022733,3969.8
135,0.021122,0.019717,0.023261,3999.2
136,0.020276,0.019717,0.023567,4028.5
137,0.020793,0.019717,0.023340,4057.8
138,0.020197,0.019717,0.023433,4087.2
139,0.020824,0.019717,0.022999,4116.5
