step,m_k0,m_k1,m_k2
0,-0.010517,0.002403,0.010898
1,-0.010028,0.002291,0.010392
2,-0.009564,0.002185,0.009910
3,-0.009122,0.002084,0.009452
4,-0.008701,0.001988,0.009016
5,-0.008301,0.001897,0.008602
6,-0.007921,0.001810,0.008208
7,-0.007559,0.001727,0.007833
8,-0.007215,0.001648,0.007476
9,-0.006887,0.001574,0.007137
10,-0.011003,0.002533,0.011371
11,-0.010514,0.002421,0.010866
12,-0.010049,0.002313,0.010385
13,-0.009607,0.002212,0.009928
14,-0.009186,0.002115,0.009493
15,-0.008786,0.002022,0.009079
16,-0.008405,0.001935,0.008686
17,-0.008043,0.001851,0.008311
18,-0.007698,0.001772,0.007955
19,-0.007370,0.001696,0.007617
20,-0.011448,0.002625,0.011852
21,-0.010959,0.002513,0.011346
22,-0.010494,0.002406,0.010865
23,-0.010052,0.002305,0.010407
24,-0.009632,0.002208,0.009972
25,-0.009232,0.002117,0.009558
26,-0.008851,0.002029,0.009164
27,-0.008489,0.001946,0.008789
28,-0.008145,0.001867,0.008432
29,-0.007817,0.001792,0.008093
30,-0.011875,0.002722,0.012299
31,-0.011387,0.002610,0.011793
32,-0.010922,0.002503,0.011312
33,-0.010480,0.002402,0.010854
34,-0.010059,0.002306,0.010418
35,-0.009659,0.002214,0.010004
36,-0.009279,0.002127,0.009610
37,-0.008917,0.002044,0.009235
38,-0.008573,0.001965,0.008879
39,-0.008245,0.001890,0.008539
40,-0.012277,0.002804,0.012732
41,-0.011789,0.002693,0.012225
42,-0.011325,0.002587,0.011744
43,-0.010883,0.002486,0.011285
44,-0.010463,0.002390,0.010849
45,-0.010063,0.002299,0.010435
46,-0.009683,0.002212,0.010040
47,-0.009321,0.002129,0.009665
48,-0.008977,0.002051,0.009308
49,-0.008650,0.001976,0.008969
50,-0.012670,0.002904,0.013126
51,-0.012182,0.002792,0.012620
52,-0.011717,0.002685,0.012139
53,-0.011275,0.002584,0.011681
54,-0.010855,0.002487,0.011245
55,-0.010455,0.002396,0.010831
56,-0.010074,0.002309,0.010436
57,-0.009712,0.002226,0.010062
58,-0.009368,0.002147,0.009705
59,-0.009041,0.002072,0.009366
60,-0.013050,0.003010,0.013489
61,-0.012561,0.002897,0.012984
62,-0.012096,0.002789,0.012503
63,-0.011653,0.002687,0.012046
64,-0.011232,0.002590,0.011611
65,-0.010832,0.002497,0.011197
66,-0.010451,0.002409,0.010804
67,-0.010089,0.002326,0.010429
68,-0.009744,0.002246,0.010073
69,-0.009416,0.002170,0.009735
70,-0.013383,0.003058,0.013882
71,-0.012895,0.002947,0.013375
72,-0.012431,0.002841,0.012893
73,-0.011989,0.002740,0.012435
74,-0.011568,0.002644,0.011999
75,-0.011169,0.002553,0.011584
76,-0.010788,0.002466,0.011189
77,-0.010427,0.002383,0.010814
78,-0.010083,0.002305,0.010457
79,-0.009755,0.002230,0.010117
80,-0.013715,0.003133,0.014226
81,-0.013226,0.003022,0.013720
82,-0.012762,0.002916,0.013238
83,-0.012320,0.002815,0.012779
84,-0.011900,0.002719,0.012343
85,-0.011500,0.002628,0.011928
86,-0.011120,0.002541,0.011534
87,-0.010758,0.002458,0.011158
88,-0.010414,0.002380,0.010801
89,-0.010087,0.002305,0.010462
90,-0.014034,0.003215,0.014545
91,-0.013546,0.003103,0.014039
92,-0.013081,0.002997,0.013557
93,-0.012639,0.002896,0.013099
94,-0.012219,0.002799,0.012663
95,-0.011819,0.002708,0.012249
96,-0.011439,0.002621,0.011855
97,-0.011077,0.002538,0.011480
98,-0.010733,0.002459,0.011123
99,-0.010405,0.002384,0.010783
100,-0.014329,0.003273,0.014867
101,-0.013841,0.003162,0.014361
102,-0.013376,0.003056,0.013878
103,-0.012935,0.002955,0.013420
104,-0.012514,0.002859,0.012984
105,-0.012115,0.002768,0.012569
106,-0.011734,0.002681,0.012174
107,-0.011373,0.002599,0.011799
108,-0.011029,0.002520,0.011441
109,-0.010701,0.002445,0.011102
110,-0.014619,0.003349,0.015153
111,-0.014131,0.003237,0.014647
112,-0.013666,0.003130,0.014165
113,-0.013224,0.003029,0.013707
114,-0.012804,0.002933,0.013271
115,-0.012404,0.002841,0.012857
116,-0.012023,0.002754,0.012462
117,-0.011661,0.002671,0.012087
118,-0.011317,0.002592,0.011730
119,-0.010990,0.002517,0.011391
120,-0.014895,0.003421,0.015426
121,-0.014406,0.003309,0.014920
122,-0.013941,0.003202,0.014438
123,-0.013499,0.003100,0.013981
124,-0.013078,0.003004,0.013545
125,-0.012678,0.002912,0.013131
126,-0.012298,0.002824,0.012737
127,-0.011936,0.002741,0.012362
128,-0.011591,0.002662,0.012005
129,-0.011264,0.002586,0.011666
130,-0.015140,0.003458,0.015714
131,-0.014652,0.003347,0.015207
132,-0.014188,0.003241,0.014725
133,-0.013746,0.003140,0.014266
134,-0.013326,0.003044,0.013830
135,-0.012926,0.002953,0.013415
136,-0.012546,0.002867,0.013020
137,-0.012184,0.002784,0.012644
138,-0.011840,0.002706,0.012287
139,-0.011513,0.002631,0.011947
140,-0.015383,0.003513,0.015969
141,-0.014895,0.003402,0.015462
142,-0.014431,0.003296,0.014980
143,-0.013989,0.003195,0.014521
144,-0.013569,0.003099,0.014085
145,-0.013169,0.003008,0.013670
146,-0.012789,0.002922,0.013275
147,-0.012428,0.002839,0.012899
148,-0.012084,0.002761,0.012542
149,-0.011757,0.002686,0.012202
150,-0.016108,0.004534,0.015484
151,-0.015597,0.004378,0.015010
152,-0.015111,0.004229,0.014560
153,-0.014649,0.004088,0.014132
154,-0.014209,0.003953,0.013724
155,-0.013791,0.003825,0.013337
156,-0.013393,0.003704,0.012968
157,-0.013014,0.003588,0.012618
158,-0.012654,0.003478,0.012284
159,-0.012311,0.003373,0.011967
160,-0.015841,0.003647,0.016477
161,-0.015353,0.003536,0.015966
162,-0.014890,0.003431,0.015481
163,-0.014449,0.003331,0.015019
164,-0.014029,0.003236,0.014580
165,-0.013630,0.003145,0.014162
166,-0.013251,0.003059,0.013765
167,-0.012890,0.002977,0.013387
168,-0.012546,0.002899,0.013027
169,-0.012220,0.002824,0.012685
170,-0.016049,0.003696,0.016613
171,-0.015562,0.003585,0.016107
172,-0.015098,0.003479,0.015625
173,-0.014657,0.003379,0.015167
174,-0.014238,0.003283,0.014731
175,-0.013839,0.003193,0.014317
176,-0.013459,0.003106,0.013923
177,-0.013098,0.003024,0.013547
178,-0.012755,0.002946,0.013191
179,-0.012428,0.002872,0.012851
180,-0.016247,0.003740,0.016784
181,-0.015760,0.003629,0.016279
182,-0.015296,0.003524,0.015799
183,-0.014855,0.003423,0.015343
184,-0.014436,0.003328,0.014908
185,-0.014036,0.003237,0.014495
186,-0.013657,0.003150,0.014102
187,-0.013296,0.003068,0.013728
188,-0.012952,0.002990,0.013373
189,-0.012626,0.002916,0.013035
190,-0.016440,0.003785,0.016975
191,-0.015952,0.003673,0.016471
192,-0.015488,0.003568,0.015991
193,-0.015047,0.003467,0.015534
194,-0.014627,0.003371,0.015100
195,-0.014228,0.003280,0.014687
196,-0.013848,0.003194,0.014295
197,-0.013487,0.003111,0.013921
198,-0.013143,0.003033,0.013565
199,-0.012816,0.002958,0.013227
200,-0.016640,0.003866,0.017120
201,-0.016152,0.003753,0.016618
202,-0.015687,0.003645,0.016140
203,-0.015244,0.003543,0.015685
204,-0.014824,0.003445,0.015253
205,-0.014424,0.003353,0.014841
206,-0.014043,0.003265,0.014450
207,-0.013681,0.003181,0.014077
208,-0.013336,0.003101,0.013723
209,-0.013009,0.003025,0.013386
210,-0.016805,0.003894,0.017303
211,-0.016316,0.003781,0.016800
212,-0.015852,0.003674,0.016321
213,-0.015410,0.003572,0.015866
214,-0.014989,0.003475,0.015434
215,-0.014589,0.003383,0.015022
216,-0.014209,0.003295,0.014630
217,-0.013847,0.003212,0.014258
218,-0.013503,0.003132,0.013903
219,-0.013175,0.003057,0.013566
220,-0.016976,0.003951,0.017458
221,-0.016487,0.003837,0.016956
222,-0.016022,0.003729,0.016478
223,-0.015580,0.003626,0.016023
224,-0.015159,0.003529,0.015591
