donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,9.96,7.03,0.031196,0.013853,0.017173,0.009218,1.1
own,ctrl,1,1.000,14.52,13.63,0.032064,0.014475,0.018375,0.007671,0.4
own,ctrl,2,1.000,6.12,2.14,0.031359,0.014195,0.016768,0.009365,0.4
s1,ctrl,0,1.000,14.12,13.42,0.033488,0.010118,0.020476,0.006647,0.4
s1,ctrl,1,1.000,9.13,8.23,0.035346,0.008612,0.020724,0.006142,0.4
s1,ctrl,2,1.000,12.07,13.88,0.037598,0.007208,0.021439,0.005633,0.4
s2,ctrl,0,1.000,10.08,7.30,0.028198,0.014648,0.015278,0.008651,0.4
s2,ctrl,1,1.000,8.45,6.94,0.028564,0.012103,0.017763,0.008760,0.4
s2,ctrl,2,1.000,8.88,6.68,0.029894,0.014072,0.017206,0.009734,0.4
s3,ctrl,0,1.000,11.71,13.08,0.033990,0.010934,0.019032,0.006343,0.4
s3,ctrl,1,1.000,10.34,8.53,0.036431,0.008786,0.019494,0.006678,0.4
s3,ctrl,2,1.000,11.49,13.45,0.035482,0.009703,0.019384,0.006023,0.4
s4,ctrl,0,1.000,9.56,12.07,0.036485,0.008427,0.019791,0.006890,0.4
s4,ctrl,1,1.000,9.55,8.30,0.034668,0.008373,0.019375,0.006865,0.3
s4,ctrl,2,1.000,13.94,13.33,0.032064,0.014199,0.019134,0.007038,0.4
own_tonic,tonic,0,1.000,8.21,6.90,0.030151,0.013319,0.016995,0.008125,0.6
own_tonic,tonic,1,1.000,6.56,2.13,0.030680,0.012698,0.017685,0.007672,0.3
own_tonic,tonic,2,1.000,6.02,1.65,0.031453,0.012622,0.016951,0.008634,0.3
s1_tonic,tonic,0,1.000,13.45,16.48,0.037923,0.007125,0.021071,0.006019,0.6
s1_tonic,tonic,1,1.000,13.82,15.78,0.036825,0.006397,0.020085,0.006365,0.3
s1_tonic,tonic,2,1.000,12.46,13.56,0.036879,0.008680,0.021141,0.007463,0.3
s2_tonic,tonic,0,1.000,8.05,4.92,0.028483,0.011609,0.016503,0.007426,0.6
s2_tonic,tonic,1,1.000,7.99,6.91,0.028822,0.014842,0.017094,0.008955,0.3
s2_tonic,tonic,2,1.000,8.57,6.48,0.026598,0.012322,0.016086,0.008786,0.3
s3_tonic,tonic,0,1.000,9.62,7.87,0.034749,0.007127,0.019566,0.006701,0.6
s3_tonic,tonic,1,1.000,11.76,13.59,0.032891,0.008336,0.019576,0.004989,0.3
s3_tonic,tonic,2,1.000,9.29,8.68,0.035672,0.012699,0.020813,0.008540,0.3
s4_tonic,tonic,0,1.000,9.31,8.05,0.036065,0.014765,0.020597,0.009970,0.6
s4_tonic,tonic,1,1.000,12.73,18.26,0.036024,0.009252,0.020561,0.007232,0.3
s4_tonic,tonic,2,1.000,7.45,5.72,0.034465,0.009915,0.019365,0.007840,0.3
