donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,9.52,5.83,0.022624,0.014980,0.013184,0.009533,1.0
own,ctrl,1,1.000,13.16,9.66,0.019626,0.015626,0.011013,0.009792,0.4
own,ctrl,2,1.000,7.79,2.78,0.023465,0.017411,0.011390,0.008954,0.4
s0,ctrl,0,0.875,10.29,9.02,0.058431,0.027726,0.024276,0.016666,0.4
s0,ctrl,1,0.875,5.95,3.27,0.054213,0.028666,0.024021,0.015566,0.3
s0,ctrl,2,0.875,6.24,3.59,0.055027,0.028814,0.024401,0.015597,0.4
s1,ctrl,0,1.000,9.05,6.62,0.025784,0.019088,0.013933,0.008468,0.4
s1,ctrl,1,1.000,6.45,2.48,0.022135,0.012162,0.014558,0.009471,0.4
s1,ctrl,2,1.000,6.38,2.75,0.028185,0.017458,0.016638,0.011007,0.4
s3,ctrl,0,0.000,1.00,0.50,0.242594,0.050835,0.125722,0.030036,0.4
s3,ctrl,1,0.000,0.88,0.81,0.245470,0.052903,0.132142,0.029780,0.4
s3,ctrl,2,0.000,1.16,0.70,0.229560,0.045062,0.114085,0.027519,0.4
s4,ctrl,0,1.000,9.38,7.01,0.021498,0.014198,0.013106,0.007703,0.4
s4,ctrl,1,1.000,7.08,2.21,0.020711,0.015372,0.012090,0.007582,0.3
s4,ctrl,2,1.000,7.28,2.07,0.019057,0.011794,0.011947,0.006715,0.4
own_tonic,tonic,0,1.000,8.45,3.25,0.019938,0.014835,0.012423,0.008249,0.6
own_tonic,tonic,1,1.000,10.47,7.96,0.027696,0.021525,0.015667,0.011524,0.3
own_tonic,tonic,2,1.000,13.78,12.35,0.020440,0.015241,0.011210,0.009662,0.3
s0_tonic,tonic,0,0.875,5.88,3.10,0.062012,0.032507,0.026395,0.016623,0.6
s0_tonic,tonic,1,0.875,5.23,3.09,0.064684,0.033712,0.027402,0.017434,0.3
s0_tonic,tonic,2,0.875,8.67,6.72,0.064277,0.029606,0.025102,0.016040,0.3
s1_tonic,tonic,0,1.000,7.24,2.89,0.026367,0.022249,0.014839,0.009874,0.6
s1_tonic,tonic,1,1.000,12.00,8.27,0.025079,0.019387,0.015001,0.010463,0.3
s1_tonic,tonic,2,1.000,7.77,4.22,0.023383,0.013789,0.013570,0.007656,0.3
s3_tonic,tonic,0,0.000,0.82,0.59,0.233046,0.048959,0.123294,0.026160,0.6
s3_tonic,tonic,1,0.000,0.66,0.65,0.234565,0.043804,0.126375,0.028453,0.3
s3_tonic,tonic,2,0.000,0.30,0.47,0.234022,0.058015,0.134435,0.029856,0.3
s4_tonic,tonic,0,1.000,11.27,12.33,0.025445,0.015425,0.015359,0.009647,0.6
s4_tonic,tonic,1,1.000,10.02,5.39,0.020874,0.015979,0.011625,0.007968,0.3
s4_tonic,tonic,2,1.000,10.90,6.42,0.015910,0.014133,0.009502,0.006777,0.3
