donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,8.73,2.85,0.018202,0.014685,0.010017,0.008095,3.0
s0,0.625,4.52,3.72,0.094442,0.035976,0.045709,0.021430,0.7
s1,1.000,6.95,2.60,0.020955,0.016067,0.012560,0.007532,0.7
s3,0.000,2.56,1.43,0.204590,0.059526,0.073877,0.026040,0.7
s4,1.000,8.92,3.88,0.018989,0.014243,0.010064,0.007035,0.7
