donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,13.10,12.13,0.027629,0.016245,0.016978,0.013302,1.0
own,ctrl,1,1.000,13.90,11.08,0.026611,0.018613,0.017135,0.014625,0.4
own,ctrl,2,1.000,16.88,12.17,0.024306,0.018251,0.016194,0.014453,0.4
s0,ctrl,0,1.000,19.02,13.84,0.025770,0.017912,0.015860,0.013390,0.4
s0,ctrl,1,1.000,14.40,10.74,0.035455,0.015637,0.021134,0.012811,0.3
s0,ctrl,2,1.000,8.51,7.90,0.033325,0.016323,0.018842,0.012630,0.4
s1,ctrl,0,1.000,8.63,8.06,0.055420,0.027774,0.027772,0.016585,0.4
s1,ctrl,1,1.000,6.14,4.49,0.047865,0.020584,0.028907,0.015080,0.4
s1,ctrl,2,1.000,7.88,8.32,0.042562,0.023148,0.024797,0.017731,0.4
s2,ctrl,0,1.000,10.04,9.09,0.031576,0.015757,0.019211,0.012251,0.4
s2,ctrl,1,1.000,12.97,11.49,0.036336,0.016394,0.022291,0.014131,0.4
s2,ctrl,2,1.000,7.92,8.15,0.032471,0.015574,0.021732,0.012478,0.4
s4,ctrl,0,1.000,16.33,8.70,0.030178,0.020326,0.018011,0.015114,0.4
s4,ctrl,1,1.000,22.08,13.02,0.026435,0.018953,0.015055,0.012763,0.3
s4,ctrl,2,1.000,15.99,12.53,0.028727,0.019424,0.017312,0.013608,0.4
own_tonic,tonic,0,1.000,18.21,9.15,0.031874,0.015088,0.016831,0.012194,0.6
own_tonic,tonic,1,1.000,13.73,14.05,0.030924,0.019012,0.019110,0.014214,0.3
own_tonic,tonic,2,1.000,15.90,9.74,0.033108,0.015297,0.019087,0.013391,0.3
s0_tonic,tonic,0,1.000,11.63,6.57,0.029609,0.017277,0.019024,0.013273,0.6
s0_tonic,tonic,1,1.000,16.88,13.18,0.032430,0.016532,0.019888,0.013015,0.3
s0_tonic,tonic,2,1.000,17.55,15.79,0.032891,0.015564,0.019196,0.012731,0.3
s1_tonic,tonic,0,1.000,12.20,9.80,0.041707,0.028748,0.024304,0.021546,0.6
s1_tonic,tonic,1,1.000,7.63,4.69,0.039985,0.022716,0.024762,0.015180,0.3
s1_tonic,tonic,2,1.000,9.46,8.55,0.039320,0.019132,0.024334,0.015153,0.3
s2_tonic,tonic,0,1.000,15.09,11.65,0.026788,0.016805,0.018257,0.013076,0.6
s2_tonic,tonic,1,1.000,15.41,11.12,0.039103,0.013370,0.023886,0.011799,0.3
s2_tonic,tonic,2,1.000,13.81,14.82,0.035428,0.014170,0.022964,0.012389,0.3
s4_tonic,tonic,0,1.000,16.58,16.48,0.032796,0.017662,0.020909,0.014036,0.6
s4_tonic,tonic,1,1.000,12.18,9.55,0.035455,0.016304,0.020556,0.012585,0.3
s4_tonic,tonic,2,1.000,17.61,12.91,0.034030,0.020401,0.021346,0.014588,0.3
