donor,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,1.000,7.88,5.47,0.029636,0.018365,0.017631,0.011894,3.0
s0,0.000,0.15,0.41,0.490641,0.038859,0.245262,0.027274,0.7
s2,0.875,7.91,7.19,0.047078,0.035439,0.022206,0.015544,0.7
s3,1.000,6.03,3.06,0.030029,0.016559,0.017341,0.010796,0.7
s4,1.000,9.12,8.04,0.027832,0.016321,0.018117,0.011637,0.7
